Name_lang,ID,Parent,Ui_order
属性,1,-1,16
PvP,21,1,10
光辉事迹,81,-1,13
角色,92,-1,1
PvP,95,-1,5
任务,96,-1,2
探索,97,-1,3
死亡,122,1,3
击败,128,1,2
角色,130,1,1
社交,131,1,7
技能,132,1,5
任务,133,1,4
旅行,134,1,6
怪物,135,128,1
荣誉消灭,136,128,2
消灭,137,128,3
财富,140,130,1
消耗品,145,130,2
竞技场积分赛,152,21,1
战场,153,21,2
世界,154,21,3
世界事件,155,-1,9
冬幕节,156,155,9
万圣节,158,155,7
复活节,159,155,3
春节,160,155,1
仲夏节,161,155,5
美酒节,162,155,6
儿童周,163,155,4
竞技场,165,95,17
地下城和团队,168,-1,6
专业,169,-1,7
烹饪,170,169,12
钓鱼,171,169,13
专业,172,15234,6
专业,173,132,2
辅助技能,178,132,1
情人节,187,155,2
声望,201,-1,8
东部王国,14777,97,1
卡利姆多,14778,97,2
外域,14779,97,3
诺森德,14780,97,4
奥特兰克山谷,14801,95,5
阿拉希盆地,14802,95,3
风暴之眼,14803,95,4
战歌峡谷,14804,95,2
燃烧的远征,14805,168,2
巫妖王地下城,14806,168,3
地下城与团队副本,14807,1,9
经典旧世,14808,168,1
经典旧世,14821,14807,1
燃烧的远征,14822,14807,2
巫妖王之怒,14823,14807,3
东部王国,14861,96,1
外域,14862,96,3
诺森德,14863,96,4
经典旧世,14864,201,1
燃烧的远征,14865,201,2
巫妖王之怒,14866,201,3
冬拥湖,14901,95,8
巫妖王团队,14922,168,4
银色锦标赛,14941,15301,1
感恩节,14981,155,8
征服之岛,15003,95,7
大地的裂变地下城,15067,168,5
大地的裂变团队,15068,168,6
大地的裂变,15069,97,5
大地的裂变,15070,96,5
考古学,15071,169,14
大地的裂变,15072,201,4
吉尔尼斯之战,15073,95,9
双子峰,15074,95,10
托尔巴拉德,15075,15301,2
公会,15076,-1,15
任务,15077,15076,2
PvP,15078,15076,3
地下城和团队,15079,15076,4
专业,15080,15076,5
卡利姆多,15081,96,2
经典旧世,15082,15079,1
大地的裂变地下城,15083,15079,5
燃烧的远征,15084,15079,2
巫妖王地下城,15085,15079,3
巫妖王团队,15086,15079,4
大地的裂变团队,15087,15079,6
综合,15088,15076,1
声望,15089,15076,6
战场,15090,15078,1
竞技场,15091,15078,2
评级战场,15092,95,16
公会光辉事迹,15093,15076,7
大地的裂变,15096,14807,4
暗月马戏团,15101,155,10
潘达利亚地下城,15106,168,7
潘达利亚团队,15107,168,8
潘达利亚,15110,96,6
潘达利亚,15113,97,6
潘达利亚,15114,201,5
宠物对战,15117,-1,10
收集,15118,15117,1
战斗,15119,15117,2
等级,15120,15117,3
潘达利亚地下城,15153,15079,7
潘达利亚团队,15154,15079,8
碎银矿脉,15162,95,11
寇魔古寺,15163,95,12
熊猫人之谜,15164,14807,5
传承,15176,1,13
深风峡谷,15218,95,14
宠物对战,15219,1,11
德拉诺,15220,96,7
试炼场,15222,15301,4
试炼场,15227,1,12
德拉诺地下城,15228,168,9
德拉诺团队,15231,168,10
德拉诺,15232,201,6
德拉诺之王,15233,14807,6
绝版,15234,-1,14
德拉诺,15235,97,7
德拉诺地下城,15243,15079,9
德拉诺团队,15244,15079,10
藏品,15246,-1,11
玩具箱,15247,15246,1
坐骑,15248,15246,2
军团再临,15252,96,8
军团地下城,15254,168,11
军团团队,15255,168,12
军团再临,15257,97,8
军团再临,15258,201,7
外观,15259,15246,3
军团地下城,15262,15079,11
军团团队,15263,15079,12
军团再临,15264,14807,7
荣誉,15266,95,1
推广活动,15268,81,8
坐骑,15269,81,1
PvP,15270,81,5
团队副本,15271,81,4
地下城,15272,81,3
声望,15273,81,6
游戏活动,15274,81,7
地下城,15277,15234,4
团队副本,15278,15234,5
PvP,15279,15234,3
