ID,Title_lang,Description_lang,WorldPosition[0],WorldPosition[1],Type,PlayerConditionID,QuestID,LfgDungeonID,RewardItemID,UiTextureAtlasMemberID,UiTextureKitID,MapID,AreaTableID
1,仅限联盟，朋友！,,0,0,0,6617,0,0,124562,0,232,-1,0
3,阿苏纳,阿苏纳岛本是一座美好的世外桃源，但最近却遭到了各种势力的入侵——燃烧军团从天而降，艾萨拉女王的纳迦从海底崛起，被诅咒的幽灵在岛上徘徊。这一切似乎都是被岛上的精灵废墟中所隐藏的一件强大古物所引来的。,625,6355,1,39938,39718,0,0,0,0,1220,0
4,瓦尔莎拉,古老的瓦尔莎拉森林是半神塞纳留斯的家园，同时也是德鲁伊教的诞生之地。玛法里奥·怒风已回到这片神圣的森林中与他的导师沟通，并寻找艾露恩之泪。,3265,6241,1,39935,39731,0,0,0,0,1220,0
6,风暴峡湾,吉恩·格雷迈恩国王登上了强大的天火号飞船驶向风暴峡湾以寻找阿格拉玛之盾。然而，这片土地也是一支古代维库氏族的首都，他们的领袖正不择手段地想要把圣盾据为己有。,3117,1954,1,39937,39735,0,0,0,0,1220,0
7,风暴峡湾,大酋长希尔瓦娜斯·风行者率领她的私人舰队前往了风暴峡湾。然而，这片土地也是一支古代维库氏族的首都，他们的领袖正不择手段地想要把圣盾据为己有。,3117,1954,1,39939,39864,0,0,0,0,1220,0
8,至高岭,作为破碎群岛上最后的处女地之一，至高岭用它险峻的山峰守护着群岛北方的地平线。崎岖的山地中居住着高贵的牛头人和野蛮的地下种族卓格巴尔。两个种族间脆弱的和平很快就将因为燃烧军团的入侵而受到考验。,4926,4256,1,39936,39733,0,0,0,0,1220,0
9,测试任务提供,测试任务提供介绍,-9344.97,-2279.12,1,5703,47512,0,0,0,0,-1,0
12,"worldport 1116, 6971.02, 1004.63, 398.974, 299.925",Test for insets,6279,-26.6,0,5703,36810,0,0,0,0,1116,0
14,圣光秘殿,,-3200,9255,3,37830,0,0,0,5608,0,0,2268
15,猎魔地图：翼魔伊克兹尔,你的勇士发现了一个强大的恶魔，必须消灭它。,625,6455,2,37103,39885,0,0,0,0,1220,0
16,昔日回声,你的勇士发现了一个失落已久的泰坦通讯器。,2900,5400,2,37136,39886,0,0,0,0,1220,0
17,"worldport 533, 2719.85, -3098.21, 267.686, 285.619",测试插入2,2719,-3098,0,5703,36810,0,0,0,0,533,0
18,"worldport 0, 2368.83, -5353.17, 52.6645, 315.291",测试插入3,2368,-5353,0,5703,36810,0,0,0,0,0,0
20,英灵殿,,-3200,10000,3,37831,0,0,0,5613,0,1479,7813
21,测试提供,测试,2900,5400,3,5703,0,0,128966,0,0,-1,0
22,阿彻鲁斯：黑锋要塞,,-3200,10000,3,37835,0,0,0,5601,0,1220,7743
23,邪能之槌号,,-3200,10000,3,37841,0,0,0,5602,0,1481,8023
24,神射手营地,,-3200,9255,3,37832,0,0,0,5605,0,1220,7877
25,梦境林地,,-3200,10000,3,37840,0,0,0,5603,0,1220,7846
26,守护者圣殿,,-3200,9255,3,37837,0,0,0,5606,0,1513,7879
27,迷踪岛,,-3200,10000,3,37839,0,0,0,5607,0,1514,7902
28,虚空之光神殿,,-3200,10000,3,37834,0,0,0,5609,0,1512,7834
29,暗影大厅,,-3200,9255,3,37833,0,0,0,5610,0,1220,8011
30,大漩涡,,-3200,9255,3,37836,0,0,0,5611,0,1469,7745
31,恐痕裂隙,,-3200,9255,3,37838,0,0,0,5612,0,1522,7875
32,苏拉玛,经过一万年的自我封闭之后，夜之子精灵终于放开了保护苏拉玛城的魔法护盾，让古尔丹长驱直入，获取惊人的力量之源——暗夜井。试图推翻大魔导师艾利桑德的政变失败后，一小撮夜之子流亡者想要唤醒这片古老土地的力量，将苏拉玛从燃烧军团的掌控中解脱出来。,1778.3,4348.73,1,44817,44555,0,0,0,0,1220,0
40,祖达萨,赢得拉斯塔哈大王和赞枢利议会的信任。,-1489.27,1024.34,1,54073,47514,0,0,0,0,1642,0
41,纳兹米尔,与塔兰吉公主一起深入纳兹米尔的幽深沼泽，一举终结鲜血巨魔的威胁。,1920.37,939.103,1,54075,47512,0,0,0,0,1642,0
42,沃顿,加卡泽将军的秘密就掩藏在这片沙漠的某处。在连绵的沙丘间寻找证据，让他从权位上跌下。,2545.47,3837.28,1,54076,47513,0,0,0,0,1642,0
43,提拉加德海峡,揭露伯拉勒斯的腐败，赢得凯瑟琳·普罗德摩尔的信任。,584.562,-77.9022,1,61846,47960,0,0,0,0,1643,0
44,德鲁斯瓦,维克雷斯勋爵夫妇是普罗德摩尔家族的忠实盟友。调查他们为何突然失踪，以及德鲁斯瓦让人不安的传言。,-454.389,2574.49,1,61848,47961,0,0,0,0,1643,0
45,斯托颂谷地,传奇般的库尔提拉斯舰队失踪了。搜索斯托颂家族避世隐居的海洋秘术师，从他们口中寻找答案吧。,2513.85,537.756,1,61849,47962,0,0,0,0,1643,0
148,提拉加德海峡,在提拉加德海峡协助暗影猎手塔金。,-295,-1473,1,61822,51800,0,0,0,262,1643,0
149,德鲁斯瓦,在德鲁斯瓦协助加里维克斯和伊崔格,-413,4110,1,61823,51801,0,0,0,262,1643,0
150,斯托颂谷地,在斯托颂谷地协助雷克萨。,3941,469,1,61824,51802,0,0,0,262,1643,0
151,祖达萨,在祖达萨协助凯尔希·钢烁。,-1410,-663,1,61798,51570,0,0,0,261,1642,0
