Name_lang,ID,UiTextureKitID,UiNameColor,UiBarOverlayColor,UiBarBackgroundColor,ChrSpecializationID,Flags,ArtifactCategoryID,UiModelSceneID,SpellVisualKitID
丹多尔之怒,1,207,-11776,-382936,-2816,0,0,1,0,0
灰烬使者,2,207,-11776,16765504,4006400,70,0,1,28,82183
欺诈者的双刃,3,206,-2200833,16122111,8650889,577,0,1,23,82147
艾露尼斯，护法者之杖,4,208,-1267719,6343151,8615067,62,0,1,26,82174
大地守护者之鳞,11,215,-44766,11010048,3276800,73,0,1,20,82029
堕落王子之剑,12,214,-3804673,9152481,1447762,251,0,1,22,82144
加尼尔，母亲之树,13,217,-2031755,-5579161,-16291053,105,0,1,24,82149
诅咒之喉,15,214,-3804673,-1494733,-12778752,250,0,1,22,82144
天启,16,214,-3804673,-12517523,-16761586,252,0,1,22,82144
吞噬者之牙,17,216,-45544,-1278118,-6935508,261,0,1,21,82029
雄鹰之爪，荒野诸神之矛,34,226,-2031755,-13053570,-16760525,255,0,1,46,82153
瓦拉加尔战剑,35,215,-44766,11010048,3276800,72,0,1,20,82029
斯多姆卡，灭战者,36,215,-44766,11010048,3276800,71,0,1,20,82029
堕落者之颅,37,229,-4163342,-11204234,-16121829,266,2,1,32,82197
萨格拉斯权杖,38,229,-4163342,-7319653,-13500291,267,0,1,32,82197
乌萨勒斯，逆风收割者,39,229,-4163342,-6665828,-11199626,265,0,1,32,82197
莱登之拳,40,225,-9057793,-11808266,-16711616,262,0,1,31,82193
毁灭之锤,41,225,-9057793,-11806981,-13022058,263,2,1,31,82193
莎拉达尔，潮汐权杖,42,225,-9057793,-16473972,-16753298,264,0,1,31,82193
弑君者,43,216,-45544,-2522525,-9889768,259,0,1,21,82029
恐惧之刃,44,216,-45544,-1589760,0,260,0,1,21,82029
图雷，纳鲁道标,45,227,-8851726,-9699335,-16766881,257,0,1,29,82184
圣光之怒,46,227,-8851726,-10424321,-16739937,256,0,1,29,82184
萨拉塔斯，黑暗帝国之刃,47,241,-4163342,-7580513,-11986828,258,2,1,30,82190
白银之手,48,207,-11776,16765504,4006400,65,0,1,28,82183
真理守护者,49,207,-11776,16765504,4006400,66,0,1,28,82183
诸天之拳,50,228,-9044026,-12779585,-15226471,269,0,1,27,82181
神龙，迷雾之杖,51,228,-9044026,-11733812,-16755897,270,0,1,27,82181
福枬，云游者之友,52,228,-9044026,-12452628,-16083317,268,0,1,27,82181
黑檀之寒，阿洛迪的圣杖,53,208,-1267719,6343151,8615067,64,0,1,26,82174
烈焰之击,54,208,-1267719,-1065376,-6281667,63,2,1,26,82174
萨斯多拉，风行者的遗产,55,226,-2031755,-526230,-12430833,254,0,1,46,82153
泰坦之击,56,226,-2031755,-143103,0,253,0,1,46,82153
乌索克之爪,57,217,-2031755,-5579161,-16291053,104,0,1,24,82149
阿莎曼之牙,58,217,-2031755,-5579161,-16291053,103,0,1,24,82149
月神镰刀,59,217,-2031755,-5579161,-16291053,102,0,1,24,82149
奥达奇战刃,60,206,-2200833,16122111,8650889,581,0,1,23,82147
幽光鱼竿,73,227,-1,-10976565,-16772353,0,0,2,0,0
橡木使者,74,207,-11776,16765504,4006400,70,0,1,0,0
Test Artifact 2,80,207,-11776,16765504,4006400,70,0,1,18,23596
Test Artifact,81,207,-11776,16765504,4006400,65,0,1,0,0
测试神器,82,207,-11776,16765504,4006400,66,0,1,0,0
欧文测试神器,89,0,-16777216,-1732055,0,0,0,1,0,0
正义之具,194,227,-4207580,-1645248,-1890009,0,0,2,0,0
战争之翼,195,227,-4207580,-1645248,-1890009,0,0,2,0,0
晋升堡垒之韧,196,227,-4207580,-1645248,-1890009,0,0,2,0,0
轻足先锋,197,227,-4207580,-1645248,-1890009,0,0,2,0,0
正义复仇,198,227,-4207580,-1645248,-1890009,0,0,2,0,0
雷文德斯信条,199,214,-3804673,-1494733,-12778752,0,0,2,0,0
雷文德斯信条,200,214,-3804673,-1494733,-12778752,0,0,2,0,0
雷文德斯信条,201,214,-3804673,-1494733,-12778752,0,0,2,0,0
雷文德斯信条,202,214,-3804673,-1494733,-12778752,0,0,2,0,0
雷文德斯信条,203,214,-3804673,-1494733,-12778752,0,0,2,0,0
天赋系统1,205,214,-3804673,-1494733,0,0,0,2,0,0
天赋系统2,223,214,-3804673,-1494733,0,0,0,2,0,0
天赋系统3,225,214,-3804673,-1494733,0,0,0,2,0,0
