Description_lang,SortedProperty_lang,ID,ItemClass,ItemSubClass,InventoryType,OrderIndex,ParentCategory,DefaultAuctionHouseFilter,AuctionHouseExtraColumn
武器,物品等级,1,3,0,13,100,0,0,1
单手,物品等级,2,0,0,0,10,1,0,1
单手斧,物品等级,3,3,3,0,10,2,0,1
单手锤,物品等级,4,3,7,0,20,2,0,1
单手剑,物品等级,5,3,10,0,30,2,0,1
战刃,物品等级,6,3,12,0,40,2,0,1
匕首,物品等级,7,3,18,0,50,2,0,1
拳套,物品等级,8,3,16,0,60,2,0,1
魔杖,物品等级,9,3,56,0,70,2,0,1
双手,物品等级,10,0,0,0,20,1,0,1
双手斧,物品等级,11,3,4,0,10,10,0,1
双手锤,物品等级,12,3,8,0,20,10,0,1
双手剑,物品等级,13,3,11,0,30,10,0,1
长柄武器,物品等级,14,3,9,0,40,10,0,1
法杖,物品等级,15,3,13,0,50,10,0,1
远程,物品等级,16,0,0,0,30,1,0,1
弓,物品等级,17,3,5,0,10,16,0,1
弩,物品等级,18,3,55,0,20,16,0,1
枪械,物品等级,19,3,6,0,30,16,0,1
投掷武器,物品等级,20,3,34,0,40,16,0,1
杂项,物品等级,21,0,0,0,40,1,0,1
鱼竿,物品等级,22,3,57,0,10,21,0,1
其他,物品等级,23,3,17,0,20,21,0,1
护甲,物品等级,24,5,0,0,200,0,0,1
板甲,物品等级,25,5,23,0,10,24,0,1
符文铭刻,物品等级,26,5,23,0,10,25,12,1
头部,物品等级,27,5,23,1,20,25,0,1
肩部,物品等级,28,5,23,3,30,25,0,1
胸部,物品等级,29,5,23,5,40,25,0,1
腰部,物品等级,30,5,23,6,50,25,0,1
腿部,物品等级,31,5,23,7,60,25,0,1
脚部,物品等级,32,5,23,8,70,25,0,1
腕部,物品等级,33,5,23,9,80,25,0,1
手部,物品等级,34,5,23,10,90,25,0,1
锁甲,物品等级,35,5,22,0,20,24,0,1
符文铭刻,物品等级,36,5,22,0,10,35,12,1
头部,物品等级,37,5,22,1,20,35,0,1
肩部,物品等级,38,5,22,3,30,35,0,1
胸部,物品等级,39,5,22,5,40,35,0,1
腰部,物品等级,40,5,22,6,50,35,0,1
腿部,物品等级,41,5,22,7,60,35,0,1
脚部,物品等级,42,5,22,8,70,35,0,1
腕部,物品等级,43,5,22,9,80,35,0,1
手部,物品等级,44,5,22,10,90,35,0,3
皮甲,物品等级,45,5,21,0,30,24,0,1
符文铭刻,物品等级,46,5,21,0,10,45,12,1
头部,物品等级,47,5,21,1,20,45,0,1
