ID,SourceAlliance_lang,SourceHorde_lang,AzeriteEssenceID,Tier,MajorPowerDescription,MinorPowerDescription,MajorPowerActual,MinorPowerActual
5,永恒王宫团队副本|n|cFFFFD200组合：|r沧海圣匣|n|cFFFFD200掉落：|r 艾萨拉之辉、女王法庭或艾萨拉女王,,2,1,293019,294668,293019,294668
6,永恒王宫团队副本|n|cFFFFD200组合：|r沧海圣匣|n|cFFFFD200掉落：|r 艾萨拉之辉、女王法庭或艾萨拉女王,,2,2,294653,294687,298080,298082
7,永恒王宫团队副本|n|cFFFFD200组合：|r沧海圣匣|n|cFFFFD200掉落：|r 艾萨拉之辉、女王法庭或艾萨拉女王,,2,3,294650,294688,298081,298083
8,永恒王宫团队副本|n|cFFFFD200掉落：|r 艾萨拉女王 - 史诗难度,,2,4,294655,294689,298081,298083
9,战场|n|cFFFFD200任务：|r “席卷战场”|n|cFFFFD200交还任务NPC：|r 加布里埃尔元帅|n|cFFFFD200地区：|r 伯拉勒斯艾什凡码头,战场|n|cFFFFD200任务：|r “席卷战场”|n|cFFFFD200交还任务NPC：|r 山德·希尔伯曼|n|cFFFFD200地区：|r 穆贾巴拉,3,1,293031,294910,293031,294910
10,"战场|n|cFFFFD200成就：|r""战场斗士""|n|cFFFFD200商人出售：|r加布里埃尔元帅|n|cFFFFD200地区：|r伯拉勒斯艾什凡码头|n|cFFFFD200价格：|r25 荣耀印记","战场|n|cFFFFD200成就：|r""战场斗士""|n|cFFFFD200商人出售：|r山德·希尔伯曼|n|cFFFFD200地区：|r穆贾巴拉|n|cFFFFD200价格：|r25 荣耀印记",3,2,294906,294919,300009,300012
11,"战场|n|cFFFFD200成就：|r""战场战术家""|n|cFFFFD200商人出售：|r加布里埃尔元帅|n|cFFFFD200地区：|r伯拉勒斯艾什凡码头|n|cFFFFD200价格：|r25 荣耀印记","战场|n|cFFFFD200成就：|r""战场战术家""|n|cFFFFD200商人出售：|r山德·希尔伯曼|n|cFFFFD200地区：|r穆贾巴拉|n|cFFFFD200价格：|r25 荣耀印记",3,3,294907,294920,300010,300013
12,"战场|n|cFFFFD200成就：|r ""战场大师""|n|cFFFFD200商人出售：|r 加布里埃尔元帅|n|cFFFFD200地区：|r 伯拉勒斯艾什凡码头","战场|n|cFFFFD200成就：|r ""战场大师""|n|cFFFFD200商人出售：|r 山德·希尔伯曼|n|cFFFFD200地区：|r 穆贾巴拉",3,4,294908,294922,300010,300013
13,海岛探险|n|cFFFFD200任务：|r “联盟的艾泽里特”|n|cFFFFD200交还任务NPC：|r 弗林·法温德|n|cFFFFD200地区：|r 伯拉勒斯码头|n,海岛探险|n|cFFFFD200任务：|r “部落的艾泽里特”|n|cFFFFD200交还任务NPC：|r 雷兹奥昆船长|n|cFFFFD200地区：|r 赞达拉港,4,1,295186,295078,295186,295078
14,"海岛探险|n|cFFFFD200组合：|r 泽姆兰的失落藏宝图碎片|n|cFFFFD200掉落：|r 海岛探险|n|cFFFFD200任务桌：|r ""海盗王的失落宝藏""|n|cFFFFD200地区：|r 伯拉勒斯码头","海岛探险|n|cFFFFD200组合：|r 泽姆兰的失落藏宝图碎片|n|cFFFFD200掉落：|r 海岛探险|n|cFFFFD200任务桌：|r ""海盗王的失落宝藏""|n|cFFFFD200地区：|r 赞达拉港",4,2,295209,295208,298628,298627
15,"海岛探险|n|cFFFFD200收集：|r 世界血脉情报|n|cFFFFD200任务奖励：|r ""联盟的艾泽里特""|n|cFFFFD200交还任务NPC：|r 弗林·法温德|n|cFFFFD200任务桌：|r ""追踪世界血脉""|n|cFFFFD200地区：|r 伯拉勒斯码头","海岛探险|n|cFFFFD200收集：|r 世界血脉情报|n|cFFFFD200任务奖励：|r ""联盟的艾泽里特""|n|cFFFFD200交还任务NPC：|r 雷兹奥昆船长|n|cFFFFD200任务桌：|r ""追踪世界血脉""|n|cFFFFD200地区：|r 赞达拉港",4,3,295160,295165,299334,299333
16,海岛探险|n|cFFFFD200任务：|r “联盟的艾泽里特”|n|cFFFFD200交还任务NPC：|r 弗林·法温德|n|cFFFFD200任务桌：|r “终极世界血脉”|n|cFFFFD200地区：|r 伯拉勒斯码头|n,海岛探险|n|cFFFFD200任务：|r “部落的艾泽里特”|n|cFFFFD200交还任务NPC：|r 雷兹奥昆船长|n|cFFFFD200任务桌：|r “终极世界血脉”|n|cFFFFD200地区：|r 赞达拉港,4,4,295210,295166,299334,299333
17,史诗地下城|n|cFFFFD200组合：|r 聚焦生命心能|n|cFFFFD200掉落：|r 地下城终点首领,,5,1,295258,295246,295258,295246
18,史诗地下城|n|cFFFFD200组合：|r 聚焦生命心能|n|cFFFFD200掉落：|r 地下城终点首领,,5,2,295262,295251,299336,299335
19,史诗地下城|n|cFFFFD200组合：|r 聚焦生命心能|n|cFFFFD200掉落：|r 地下城终点首领,,5,3,295263,295252,299338,299337
20,"史诗钥石地下城|n|cFFFFD200赛季：|r 第三赛季及以后|n|cFFFFD200成就：|r ""“争霸艾泽拉斯”钥石大师""|n|cFFFFD200商人出售：|r 魔术师瓦西里恩|n|cFFFFD200地区：|r 伯拉勒斯汇帆市场","史诗钥石地下城|n|cFFFFD200赛季：|r 第三赛季及以后|n|cFFFFD200成就：|r ""“争霸艾泽拉斯”钥石大师""|n|cFFFFD200商人出售：|r 魔术师瓦西里恩|n|cFFFFD200地区：|r 达萨罗百商集市",5,4,295264,295253,299338,299337
21,史诗地下城|n|cFFFFD200组合：|r 聚焦生命心能|n|cFFFFD200掉落：|r 地下城终点首领,,7,1,294926,294964,294926,294964
22,史诗地下城|n|cFFFFD200组合：|r 聚焦生命心能|n|cFFFFD200掉落：|r 地下城终点首领,,7,2,295307,294970,300002,300004
23,"史诗钥石地下城|n|cFFFFD200赛季：|r 第三赛季及以后|n|cFFFFD200成就：|r ""“争霸艾泽拉斯”钥石大师""|n|cFFFFD200商人出售：|r 魔术师瓦西里恩|n|cFFFFD200地区：|r 伯拉勒斯汇帆市场","史诗钥石地下城|n|cFFFFD200赛季：|r 第三赛季及以后|n|cFFFFD200成就：|r ""“争霸艾泽拉斯”钥石大师""|n|cFFFFD200商人出售：|r 魔术师瓦西里恩|n|cFFFFD200地区：|r 达萨罗百商集市",7,4,295306,294972,300003,300005
24,史诗地下城|n|cFFFFD200组合：|r 聚焦生命心能|n|cFFFFD200掉落：|r 地下城终点首领,,7,3,294945,294969,300003,300005
29,麦卡贡|n|cFFFFD200声望：|r锈栓抵抗军 - 友善|n|cFFFFD200商人出售：|r失窃的御用贩卖机|n|cFFFFD200地区：|r锈栓镇|n|cFFFFD200价格：|r1个电流振荡器和2个S.P.A.R.E.零件箱,,6,1,295337,295293,295337,295293
30,麦卡贡|n|cFFFFD200声望：|r锈栓抵抗军 - 尊敬|n|cFFFFD200商人出售：|r失窃的御用贩卖机|n|cFFFFD200地区：|r锈栓镇|n|cFFFFD200价格：|r5个电流振荡器和10个S.P.A.R.E.零件箱,,6,2,295364,295363,299345,299343
31,麦卡贡|n|cFFFFD200声望：|r锈栓抵抗军 - 崇敬|n|cFFFFD200商人出售：|r失窃的御用贩卖机|n|cFFFFD200地区：|r锈栓镇|n|cFFFFD200价格：|r8个电流振荡器和20个S.P.A.R.E.零件箱,,6,3,295352,295351,299347,299346
32,麦卡贡|n|cFFFFD200声望：|r 锈栓补给品|n|cFFFFD200商人出售：|r 失窃的御用贩卖机|n|cFFFFD200地区：|r 锈栓镇,,6,4,295358,295333,299347,299346
45,守护巨龙|n|cFFFFD200任务：|r “知子莫若母”|n|cFFFFD200任务给予人：|r 麦格尼·铜须|n|cFFFFD200地区：|r 心之秘室,,12,1,295373,295365,295373,295365
46,守护巨龙|n|cFFFFD200艾泽拉斯之心等级：|r 54|n|cFFFFD200任务：|r “黑暗中的梦境”|n|cFFFFD200任务给予人：|r 卡雷|n|cFFFFD200地区：|r 心之秘室,,12,2,295377,295372,299349,299348
47,守护巨龙|n|cFFFFD200艾泽拉斯之心等级：|r 60|n|cFFFFD200任务：|r “调查暮光高地”|n|cFFFFD200任务给予人：|r 卡雷|n|cFFFFD200地区：|r 心之秘室,,12,3,295379,295369,299353,299350
48,守护巨龙|n|cFFFFD200艾泽拉斯之心等级：|r 70|n|cFFFFD200任务：|r “蓝龙军团之雷”|n|cFFFFD200任务给予人：|r 卡雷|n|cFFFFD200地区：|r 心之秘室,,12,4,295380,295381,299353,299350
49,麦卡贡|n|cFFFFD200声望：|r锈栓抵抗军 - 友善|n|cFFFFD200商人出售：|r失窃的御用贩卖机|n|cFFFFD200地区：|r锈栓镇|n|cFFFFD200价格：|r1个电流振荡器和2个S.P.A.R.E.零件箱,,13,1,295746,295750,295746,295750
