ID,Name_lang,Description_lang,IconFileDataID,PetTypeEnum,Cooldown,BattlePetVisualID,Flags
7,亚历山大之手,冲向敌人，对其造成伤害。,132109,2,0,0,0
70,Heal Back Line Test,治疗后排50点，但有2轮的冷却时间。,135915,0,2,0,0
71,Damage Test,,135807,6,0,0,0
72,MultiEffect Test,,135817,0,0,0,0
73,Multi Turn Test,"猛咬目标，立即造成[StandardDamage(1,1)]点伤害，然后在下一轮造成[StandardDamage(2,1)]点伤害。

持续[numTurns()]轮。",0,1,0,0,0
74,MultiEffect and Multi Turn Test,,0,1,0,0,0
77,强力陷阱,尝试抓住一只生命值低于35%的宠物。你每失败一次，抓捕几率即可提高25%。,646380,0,0,0,6
78,Apply Timed Dot Test,,0,0,5,0,0
79,Aura Damage10 Test,,0,-1,0,0,0
80,Apply Aura Test,,237179,0,0,0,0
81,Aura Bomb 75 Test,,0,0,0,0,0
82,Apply Dot until cancel test,,0,6,0,0,0
83,Apply Pad Aura Test,,460858,2,0,0,0
84,PadAuraTest,,132325,-1,0,104,0
85,Apply Stun test,,135891,1,0,0,0
86,Stun Aura Test,asdfasdfasdf,135906,-1,0,103,0
87,Apply Swap Lock,,460694,9,0,0,0
88,Swap Lock Aura,,132089,-1,0,0,0
97,昏晕之击,,0,6,0,0,0
110,撕咬,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

猛咬敌人，造成[StandardDamage(1,1)]点[School()]伤害。",132127,7,0,0,0
111,重拳,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

猛击敌人，造成[StandardDamage(1,1)]点[School()]伤害。",132298,0,0,0,0
112,啄击,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

用尖喙戳刺敌人，造成[StandardDamage(1,1)]点[School()]伤害。",133707,2,0,0,0
113,燃烧,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

用烈焰冲击敌人，造成[StandardDamage(1, 1)]点元素伤害。",132839,6,0,0,0
114,射线,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

用奥术力量射线冲击敌人，造成[StandardDamage(1,1)]点[petTypeName(abilityPetType())]伤害。",135189,5,0,0,0
115,吐息,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

用龙之吐息席卷敌人，造成[StandardDamage(1, 1)]点[School()]伤害。",135807,1,0,0,0
116,震击,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

朝目标射出电能箭，造成[StandardDamage(1,1)]点[School()]伤害。",136099,9,0,0,0
117,染疫之爪,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

用疫病之爪撕扯敌人，造成[StandardDamage(1, 1)]点[School()]伤害。",237390,3,0,0,0
118,水流喷射,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

用水流冲击敌人，造成[StandardDamage(1,1)]点[petTypeName(abilityPetType())]伤害。",463570,8,0,0,0
119,抓挠,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

抓挠敌人，造成[StandardDamage(1,1)]点[School()]伤害。",611425,4,0,0,0
120,凛风冲击,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

对敌人造成[StandardDamage(1,1)]点[School()]伤害。

如果目标|cFF0070DD被冰冻|r则对敌人的队伍造成额外[StandardDamage(1,4)]点伤害。",135833,6,3,0,0
121,凋零缠绕,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

造成[StandardDamage(1,1)]点亡灵伤害，并为使用者恢复相当于所造成伤害[points(1,3)]%的生命值。",136145,3,0,0,0
122,扫尾,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

造成[StandardDamage(1,2)]点[School()]伤害。

如果使用者最后出手，则造成[StandardDamage(1,1)]点[School()]伤害。",237407,1,0,0,0
123,治疗波,"为使用者回复[StandardDamage(1,1)]点生命值。",136042,8,3,0,2
124,狂暴,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

进入狂暴状态，造成[StandardDamage(1,1)]点[School()]伤害。

狂暴可持续[numTurns()]轮。",132176,7,3,0,0
125,Stun Test 2.0,TEST: Patty Mac Stun,460857,3,0,0,0
131,Stun Aura Test 2.0,,0,-1,0,3,0
132,Custom Scripted Effect Test,,132090,0,0,0,0
133,Aura - Damage Shield 2.0,,0,-1,0,2,0
134,Damage Shield 2.0test,,0,0,0,0,0
135,原始陷阱,尝试抓住一只生命值低于35%的宠物。你每失败一次，抓捕几率即可提高30%。,638662,0,0,0,6
149,Heal Test 2.0,,538569,4,0,0,0
150,Custom Scripted Turn Test,,236216,4,0,0,0
151,剧毒长牙,"每轮造成[StandardDamage(1,1)]点[School()]伤害。

|cFF1EFF00中毒。|r",136067,7,0,25,1
152,剧毒长牙,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

立即造成[StandardDamage(1,1)]点[School()]伤害，并使目标|cFF1EFF00中毒|r，于每轮造成额外[StandardDamage(1,1,379)]点[School(379)]伤害，持续[duration(1,2)]轮。",136067,7,0,0,0
153,攻击降低,"造成的伤害降低[abs(abilityStateMod( STATE_Mod_DamageDealtPercent, 153 ))]%。",653219,-1,0,334,3
154,减速,"速度降低[abs(abilityStateMod(25,154))]%。",653221,-1,0,316,3
155,嘶鸣,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

造成[StandardDamage(1,1)]点[School()]伤害，并使目标的速度降低[abs(abilityStateMod(25,154))]%，持续[duration(1,2)]轮。",132211,7,3,0,0
156,毒牙,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

造成[StandardDamage(1,1)]点[School()]伤害。每击中一次伤害提高[FormatDamage (pointsincreaseperuse(1,1)*AttackBonus())]点。最高可造成[FormatDamage (pointsmax(1,1)*AttackBonus())]点[School()]伤害。",236177,7,0,0,0
157,Jacob's Test Ability,"The target [cond(unitHasAura(220, ENEMY), ""does"", ""does not"")] have [abilityName(220)] on them.",132311,2,0,0,2
158,反击,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

造成[StandardDamage(1,1)]点[School()]伤害。

如果你在本轮被击中，则造成额外[StandardDamage(1,2)]点[School()]伤害。",132269,0,2,0,0
159,钻地,"[StandardAccuracy(2,1)] |cffffffff命中几率|r

钻入地下，在1轮内不可攻击。

在下一轮中，你发动攻击，造成[StandardDamage(2, 1)] 点[School()]伤害。",136025,7,4,0,0
160,吞噬,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

造成[StandardDamage(1,1)]点[School()]伤害。

为使用者回复相当于所造成伤害[points(1,3)]%的生命值。",136214,3,1,0,0
161,肾上腺素,"速度提高[abs(abilityStateMod(25,161))]%。",648208,-1,0,113,2
162,激素刺激,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

造成[StandardDamage(1,1)]点[School()]伤害，并使你的速度提高[abs(abilityStateMod(25,161))]%，持续[duration(1,2)]轮。",132307,4,0,0,0
163,奔踏,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

开始奔踏，在第一轮造成[FormatDamage(SimpleDamage(1,1)+SimpleDamage(1,2)+SimpleDamage(1,3))]点[School()]伤害，在第二轮造成[FormatDamage(SimpleDamage(2,1)+SimpleDamage(2,2)+SimpleDamage(2,3))]点[School()]伤害，在第三轮造成[FormatDamage(SimpleDamage(3,1)+SimpleDamage(3,2)+SimpleDamage(3,3))]点[School()]伤害。

被奔踏击中的对手在[duration(1,4)]轮内受到的伤害提高[abs(abilityStateMod( 24, 542 ))]%。

奔踏可持续[numTurns()]轮。",134060,4,0,0,0
164,蜷伏,"你所受到的伤害降低[abs(abilityStateMod(24,164))]%。",132118,-1,0,27,2
165,蜷伏,"使用者压低身子紧贴地面，使受到的所有伤害降低50%，持续[duration(1,2)]轮。",132118,4,4,0,2
166,坚果弹幕,"每轮对当前宠物造成[StandardDamage(1,1)]点[School()]伤害。",134057,4,0,0,0
167,坚果弹幕,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

朝敌人投掷坚果，造成[FormatDamage(SimpleDamage(1,1)+SimpleDamage(1,2)+SimpleDamage(1,3))]点[School()]伤害。

坚果会继续砸向敌人的当前宠物，每轮造成[StandardDamage(1,1, 166)]点[School()]伤害，持续[duration(1,4)]轮。",134057,4,1,0,0
168,愈体之焰,"回复[StandardDamage(1,1)]点生命值，外加相当于使用者从上次攻击中受到一半伤害的生命值。",135794,1,3,0,2
169,深呼吸,"[StandardAccuracy(2,1)] |cffffffff命中几率|r

利用1轮进行深呼吸。

使用者会在下一轮施放毁灭性的吐息攻击，造成[StandardDamage(2,1)]点[School()]伤害。",135826,1,0,0,0
170,离地升空,"[StandardAccuracy(2,1)] |cffffffff命中几率|r

向上高飞，在1轮内无法攻击。

在下一轮中，你发动攻击，造成[StandardDamage(2, 1)]点[School()]伤害。",132128,2,4,0,0
171,灼燃大地,"每轮对双方队伍位于前排的宠物造成[StandardDamage(1,1)]点[School()]伤害。

所有宠物都被视作正在|cFFFF2020燃烧|r。",237588,1,0,172,0
172,灼燃大地,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

烧灼大地，造成[StandardDamage(1,1)]点[School()]伤害，并且每轮对所有激活的宠物造成[StandardDamage(1,1,171)]点[School(171)]伤害，持续[duration(1,2)]轮。

在灼燃大地的持续时间内，所有宠物都被视作正在|cFFFF2020燃烧|r。",237588,1,3,0,0
173,灸灼,"回复[StandardDamage(1,1)]点生命值，外加相当于使用者从上次攻击中受到一半伤害的生命值。",236218,6,3,0,2
174,昏迷,无法对这只宠物下达命令。,135860,-1,0,103,3
175,火山,"在2轮后地面爆裂，持续2轮，使当前敌方宠物受到[StandardDamage(3,1,175)]点[School()]伤害，并有25%的几率使目标昏迷[duration(3,3,175)]轮。

[StandardAccuracy(3,1)] |cffffffff命中几率|r",524305,6,0,288,1
176,火山,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

使敌人队伍脚下的大地震颤。

在2轮过后，地面爆裂，使当前敌方宠物受到[StandardDamage(3,1,175)]点[School()]伤害，持续2轮，并有25%的几率在接下来的1轮中陷入昏迷。",524305,6,5,0,0
177,献祭,"每轮造成[StandardDamage(1,1)]点元素伤害。

|cFFFF2020燃烧|r",135817,6,0,28,0
178,献祭,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

立即造成[StandardDamage(1,1)]点[School()]伤害。敌人|cFFFF2020燃烧|r，每轮受到额外[StandardDamage(1,1,177)]点[School()]伤害，持续[duration(1,2)]轮。",135817,6,0,0,0
179,焚烧,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

造成[StandardDamage(1,1)]点[School()]伤害。

如果目标正在|cFFFF2020燃烧|r则可造成额外[StandardDamage(1,3)]点[School()]伤害。",135827,6,4,0,0
184,飞羽,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

朝敌人掷出1-2根飞羽，每一击造成[StandardDamage(1,1)]点[School()]伤害。

如果使用者率先攻击，则可额外攻击1次。",132924,2,0,0,0
185,鲁莽之击,"你受到的伤害提高[abs(abilityStateMod( 24, 185 ))]%。",464973,-1,0,530,3
186,鲁莽之击,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

造成[StandardDamage(1, 1)]点飞行伤害，但使你在[duration(1,3)]轮内受到的伤害提高[abs(abilityStateMod(24, 185 ))]%。",132158,2,1,0,0
187,精准,"命中几率提高[abs(abilityStateMod(41,187))]%。",132212,-1,0,0,2
188,精准,"使你队伍的命中几率提高[abs(abilityStateMod(41,187))]%，持续4轮。",132212,2,0,0,2
189,飓风,"每轮对你的队伍造成[StandardDamage(1,1)]点[School()]伤害。

[StandardAccuracy(1,1)] |cffffffff命中几率|r",136018,2,0,225,0
190,飓风,"生成旋风，每轮有[accuracy(1,1,189)]%的几率对敌人的队伍造成[StandardDamage(1,1,189)]点[School()]伤害。

持续[duration(1,1)]轮。",136018,2,5,0,0
193,侧击,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

侧击敌人1-2次，每一击造成[StandardDamage(1,1)]点[School()]伤害。

如果使用者率先攻击，则可额外攻击一次。",537468,4,0,0,0
194,代谢增速,"[StandardAccuracy(1,1)] |cffffffff命中几率|r

立即造成[StandardDamage(1,1)]点[School()]伤害，并使你的速度提高[abs(abilityStateMod( 25, 195 ))]%，持续[duration(1,2)]轮。",132307,5,0,0,0
195,代谢增速,"速度提高[abs(abilityStateMod( 25, 195 ))]%。",648208,-1,0,26,2
196,肾上腺,"爆击几率提高[abs(abilityStateMod( 40, 196 ))]%。
精准降低[abs(abilityStateMod( 41, 196 ))]%。",134339,-1,0,0,2
197,肾上腺,"使你的爆击几率提高[abs(abilityStateMod(40, 841))]%，持续[duration(1,1)]轮。",134339,5,0,0,2
