ID,Title_lang,Description_lang,UiTextureKitID,RewardQuestID,Prerequisite,Field_9_0_1_35755_007,Completed,OnlyStallIf,UiQuestDetailsThemeID,Flags,DisplayPriority,Field_10_0_2_45779_012,Field_10_0_2_46144_013
1,阵营战役,身为联盟的勇士，你的职责是增援战事，对抗部落和他们的新盟友。,261,0,5793,5793,73395,88077,8,1,0,0,0
2,阵营战役,为了部落！,262,0,5793,5793,73395,0,10,0,0,0,0
3,Test Campaign,,261,52262,5703,0,0,0,0,0,0,0,0
111,雷文德斯的主宰者,雷文德斯大帝可能知道某些秘密，可以终结这场心能枯竭。深入他在雷文德斯的国度，了解更多情报。,5279,0,76298,89063,0,85362,16,0,95,105475,0
113,温西尔战役,雷文德斯的救赎之路极其艰险，但堕罪堡的黑暗王子已经准备好踏上这条路了。他需要你的帮助才能从主宰者及其爪牙手中夺得对雷文德斯的控制权。,5285,0,76299,70102,92582,80502,20,0,94,105475,0
114,晋升堡垒,你被派遣前去调查在噬渊里遇到的神秘渊誓格里恩。只有统御晋升堡垒的执政官才知道他们的身份。,5280,0,77903,89061,80035,85362,15,0,98,105475,0
115,战争的艺术,野心勃勃的通灵领主的土地也面临着灭绝的危机。你的到来将使迥然不同的残部重新融合为一支足以挑战命运的大军。,5287,0,78568,70104,92799,0,19,0,94,105475,0
117,法夜战役,炽蓝仙野的林地濒临灭亡。每一棵天界巨树陨落，寒冬女王的绝望都会滋长。女王和她的魅夜王庭需要你的帮助才能恢复森林的平衡。,5302,0,78569,70103,92586,0,22,0,94,105475,0
118,兵主之刃,玛卓克萨斯的大军突袭了晋升堡垒。你受命前往这个战痕密布的国度，从而探究原因。,5282,0,88931,89062,0,85362,18,0,97,105475,0
119,格里恩战役,晋升堡垒高贵的格里恩面临着危险的局面，弃誓者部队大有扫平国度之势。格里恩如果希望夺回晋升堡垒，拯救暗影界，就需要你的帮助。,5283,0,78609,70101,86729,0,17,0,94,105475,0
124,炽蓝仙野的林地,你有个重要的消息要带给寒冬女王。去炽蓝仙野的天界林地找她。,5301,0,84196,89060,0,85362,21,0,96,105475,0
125,暗影界战役,这是给位于战役之间的玩家分类的一般性战役。,5362,0,89137,89138,89140,0,26,0,99,105475,0
126,黑暗迫近,德纳修斯已经图穷匕见，你必须决定如何回应。,5284,0,85641,89059,0,0,26,0,94,105475,0
130,暗影界,,0,0,5703,5703,0,0,0,1,0,0,0
131,命运丝线,,0,0,87258,89064,0,0,26,0,99,105475,0
133,盟约教学,,0,0,5703,5703,0,0,0,0,0,0,0
134,盟约教学,,0,0,5703,5703,0,0,0,0,0,0,0
135,盟约教学,,0,0,5703,5703,0,0,0,0,0,0,0
136,盟约教学,,0,0,5703,5703,0,0,0,0,0,0,0
137,盟约教学,,0,0,5703,5703,0,0,0,0,0,0,0
138,统御之链,展现9.1新内容的战役。,5362,0,92542,92543,92550,0,26,0,93,105475,0
140,追赶！,,0,0,5703,5703,0,0,0,0,0,0,0
141,追赶！,,0,0,5703,5703,0,0,0,0,0,0,0
142,追赶！,,0,0,5703,5703,0,0,0,0,0,0,0
143,追赶！,,0,0,5703,5703,0,0,0,0,0,0,0
144,追赶！,,0,0,5703,5703,0,0,0,0,0,0,0
145,追赶！,,0,0,5703,5703,0,0,0,0,0,0,0
