ID,Name_lang,Shortcut_lang,Flags,FactionGroup,Ruleset
1,综合 - %s,综合,1572875,0,0
2,交易 - %s,交易,1048635,0,0
22,本地防务 - %s,本地防务,1114123,0,0
26,寻求组队,寻求组队,262152,0,0
27,大脚世界频道,大脚世界频道,8,0,0
28,集合石,集合石,8,0,0
32,新手聊天,新手聊天,14680072,0,1
33,zzOLD Shadowlands Beta Discussion,ShadowlandsBetaDiscussion,2097160,0,0
34,zzOLD Shadowlands PTR Discussion,ShadowlandsPTRDiscussion,2097160,0,2
35,War Within Test Discussion,地心之战测试讨论,6291465,0,0
36,克罗米时间 - 大地的裂变,克罗米时间,2097160,0,2
37,克罗米时间 - 大地的裂变,克罗米时间,2097160,0,2
38,克罗米时间 - 巫妖王之怒,克罗米时间,2097160,0,2
39,克罗米时间 - 熊猫人之谜,克罗米时间,2097160,0,2
40,克罗米时间 - 德拉诺之王,克罗米时间,2097160,0,2
41,克罗米时间 - 军团再临,克罗米时间,2097160,0,2
42,交易 (服务) - %s,服务,34603067,0,0
