ID,Name_lang,Sex,BaseSection,UiCustomizationType,Flags,ComponentSection[0],ComponentSection[1],ComponentSection[2],RaceID
1,肤色,3,0,0,4,-1,-1,-1,0
2,脸型,3,1,1,0,-1,-1,-1,0
3,发型,3,3,2,0,-1,-1,-1,0
4,发色,3,3,3,4,-1,-1,-1,0
5,胡须,3,2,4,0,-1,-1,-1,0
6,纹身样式,3,5,5,1,12,-1,-1,4
7,犄角形状,3,6,6,0,-1,-1,-1,0
8,眼罩,3,7,7,0,-1,-1,-1,0
9,纹身颜色,3,5,8,5,12,-1,-1,4
10,刺环,1,2,4,0,-1,-1,-1,1
11,刺环,1,2,4,0,-1,-1,-1,2
12,刺环,1,2,4,0,-1,-1,-1,3
13,面纹,1,2,4,0,-1,-1,-1,4
14,特色,3,2,4,0,-1,-1,-1,5
15,头发,1,2,4,0,-1,-1,-1,6
16,犄角形状,3,3,2,0,-1,-1,-1,6
17,犄角颜色,3,3,3,4,-1,-1,-1,6
18,耳环,1,2,4,0,-1,-1,-1,7
19,獠牙,3,2,4,0,-1,-1,-1,8
20,耳朵,3,2,4,0,-1,-1,-1,9
21,耳环,1,2,4,0,-1,-1,-1,10
22,耳朵,1,2,4,0,-1,-1,-1,22
23,犄角形状,1,2,4,0,-1,-1,-1,11
24,犄角形状,1,2,4,0,-1,-1,-1,30
25,符文,3,7,7,0,-1,-1,-1,30
26,耳环,1,2,4,0,-1,-1,-1,24
27,耳环,1,2,4,0,-1,-1,-1,25
28,耳环,1,2,4,0,-1,-1,-1,26
29,獠牙,3,6,6,0,-1,-1,-1,31
30,耳环,3,7,7,0,-1,-1,-1,31
31,配饰,1,2,4,0,-1,-1,-1,31
32,纹身样式,3,5,5,1,13,-1,-1,31
34,纹身样式,3,5,5,1,12,-1,-1,10
35,纹身颜色,3,5,8,5,12,-1,-1,10
36,纹身样式,3,5,5,1,12,-1,-1,30
37,纹身样式,3,5,5,1,13,-1,-1,28
38,头发,1,2,4,0,-1,-1,-1,28
39,犄角形状,3,3,2,0,-1,-1,-1,28
40,犄角颜色,3,3,3,4,-1,-1,-1,28
41,耳环,1,2,4,0,-1,-1,-1,29
42,纹身样式,3,5,5,1,13,-1,-1,27
43,耳环,1,2,4,0,-1,-1,-1,27
44,耳环,0,2,4,0,-1,-1,-1,27
46,姿态,0,7,7,0,-1,-1,-1,2
47,纹身样式,0,6,6,0,13,-1,-1,34
48,纹身样式,1,5,5,0,13,-1,-1,34
49,姿态,0,7,7,0,-1,-1,-1,36
50,肤色,3,0,0,5,-1,-1,-1,36
52,刺环,0,5,5,0,-1,-1,-1,34
153,花纹,3,5,5,3,13,-1,-1,35
155,耳环,1,6,6,0,-1,-1,-1,32
156,项链,1,7,7,0,-1,-1,-1,32
157,手臂升级,3,6,6,0,0,1,-1,37
158,腿部升级,3,7,7,0,5,6,-1,37
159,改造模块,3,5,5,0,9,10,-1,37
160,嘴,3,6,6,0,-1,-1,-1,35
161,耳朵,3,2,4,0,-1,-1,-1,35
162,肤色,3,0,0,5,-1,-1,-1,35
163,纹身样式,3,5,5,0,-1,-1,-1,0
164,胡须,0,2,4,0,-1,-1,-1,6
165,肤色,3,0,0,4,-1,-1,-1,6
166,配饰,1,2,4,0,-1,-1,-1,36
167,配饰,1,2,4,0,-1,-1,-1,34
168,眉毛,1,2,4,0,-1,-1,-1,32
169,肤色,3,0,0,4,-1,-1,-1,28
170,胡须,0,2,4,0,-1,-1,-1,28
171,肤色,3,0,0,4,-1,-1,-1,24
172,胡须,0,2,4,0,-1,-1,-1,24
173,发型,0,3,2,0,-1,-1,-1,24
174,发型,3,3,4,0,-1,-1,-1,35
175,面部,3,1,1,0,-1,-1,-1,36
176,面部,3,1,1,0,-1,-1,-1,35
177,面部,3,1,1,0,-1,-1,-1,6
178,面部,3,1,1,0,-1,-1,-1,28
179,面部,3,1,1,0,-1,-1,-1,24
180,刺环,1,2,4,0,-1,-1,-1,23
