Name_lang,FemaleName_lang,Description_lang,ID,ClassID,OrderIndex,PetTalentType,Role,Flags,SpellIconFileID,PrimaryStatPriority,AnimReplacements,MasterySpellID[0],MasterySpellID[1]
奥术,奥术,"操纵奥术之力，以压倒性的能量毁灭敌人。

偏好武器：法杖、魔杖、匕首和剑",62,8,0,0,2,3,135932,0,362,190740,0
火焰,火焰,"使用灼热的火球和燃烧的烈焰烧尽敌人。

偏好武器：法杖、魔杖、匕首和剑",63,8,1,0,2,3,135810,0,362,12846,0
冰霜,冰霜,"使用冰霜魔法冻结敌人，再彻底粉碎他们的身体。

偏好武器：法杖、魔杖、匕首和剑",64,8,2,0,2,67,135846,0,362,76613,0
神圣,神圣,"唤起圣光之力来保护和治疗盟友并驱逐邪恶。

偏好武器：剑、锤，加上盾",65,2,0,0,1,5,135920,1,0,183997,0
防护,防护,"使用神圣的魔法为自己和盟友提供防护。

偏好武器：剑、锤、斧，加上盾",66,2,1,0,0,4,236264,5,0,76671,0
惩戒,惩戒,"正义的十字军，用神圣魔法和武器审判并制裁敌人。

偏好武器：双手剑、锤和斧",70,2,2,0,2,68,135873,5,0,267316,0
武器,武器,"久经沙场的武器大师，移动灵活，攻击充满压制性。

偏好武器：双手斧、锤和剑",71,1,0,0,2,68,132355,5,0,262111,0
狂怒,狂怒,"暴怒的狂战士，掀起的暴力飓风能够将敌人切碎。

偏好武器：双持斧、锤和剑",72,1,1,0,2,20,132347,5,0,76856,0
防护,防护,"坚毅的保护者，使用盾牌为团队构筑可靠的防御。

偏好武器：斧、锤、剑，加上盾",73,1,2,0,0,4,132341,5,0,76857,0
狂野,狂野,在疯狂的执念驱使下不断追逐猎物，这些猛兽会不择手段地夺取胜利；对这些掠食者而言，死亡也不过是短暂的休憩。,74,0,0,0,2,0,236159,0,0,0,0
狡诈,狡诈,狡猾的生物，擅长化解针对自己及其盟友的致命攻击。,79,0,2,2,2,0,132150,0,0,0,0
坚韧,坚韧,健壮而老练的防御者，他们无疑会将自己厚实的皮肤和防护性外壳挡在针对其盟友的伤害之前。,81,0,1,1,0,0,132121,0,0,0,0
平衡,平衡,"变形为强大的枭兽，释放奥术和自然的平衡之力。

偏好武器：法杖、匕首和锤",102,11,0,0,2,331,136096,0,363,393014,0
野性,野性,"致命的猎豹形态，利用撕咬和流血造成大量伤害。

偏好武器：法杖和长柄武器",103,11,1,0,2,260,132115,3,363,77493,0
守护,守护,"强大的熊形态，吸收伤害并保护盟友。

偏好武器：法杖和长柄武器",104,11,2,0,0,4,132276,3,363,155783,0
恢复,恢复,"使用自然魔法使盟友重焕活力。

偏好武器：法杖、匕首和锤",105,11,3,0,1,3,136041,0,363,77495,0
鲜血,鲜血,"黑暗的守护者，控制和腐蚀生命能量来抵御攻击。

偏好武器：双手斧、锤和剑",250,6,0,0,0,4,135770,5,0,77513,0
冰霜,冰霜,"冰冻末日的使者，引导符文能量，用武器猛攻敌人。

偏好武器：双持斧、锤和剑",251,6,1,0,2,4,135773,5,0,77514,0
邪恶,邪恶,"枯萎与凋零的主宰，能够散播疫病，召唤不死仆从。

偏好武器：双手斧、锤和剑",252,6,2,0,2,68,135775,5,0,77515,0
野兽控制,野兽控制,"对荒野了如指掌，驯服多种多样的野兽来协助作战。

偏好武器：弓、弩和枪",253,3,0,0,2,66,461112,2,0,76657,0
射击,射击,"百步穿杨的神射手，擅长远距离夺走敌人的性命。

偏好武器：弓、弩和枪",254,3,1,0,2,2,236179,2,0,193468,0
生存,生存,"机敏的游侠，擅长剧毒、炸药和动物协同攻击。

偏好武器：长柄武器和法杖",255,3,2,0,2,260,461113,2,0,263135,0
戒律,戒律,"使用魔法护盾保护盟友，也能治愈他们的伤口。

偏好武器：法杖、魔杖、匕首和锤",256,5,0,0,1,67,135940,0,353,271534,0
神圣,神圣,"多才多艺，能照顾单体和团队，死后也能继续治疗。

偏好武器：法杖、魔杖、匕首和锤",257,5,1,0,1,3,237542,0,353,77485,0
暗影,暗影,"使用邪恶的暗影魔法和可怕的虚空魔法来根除敌人。

偏好武器：法杖、魔杖、匕首和锤",258,5,2,0,2,11,136207,0,353,343690,0
奇袭,奇袭,"致命的使毒高手，能用匕首迅速而冷酷地除掉敌人。

偏好武器：匕首",259,4,0,0,2,68,236270,3,0,76803,0
狂徒,狂徒,"无情的游荡剑客，擅长与敌人短兵相接。

偏好武器：斧、锤、剑和拳套",260,4,1,0,2,4,236286,3,0,76806,0
敏锐,敏锐,"阴影中的追猎者，擅长对猎物发起致命的伏击。

偏好武器：匕首",261,4,2,0,2,4,132320,3,0,76808,0
元素,元素,"驾驭元素的施法者，使用自然的毁灭之力打击敌人。

偏好武器：锤、匕首，加上盾",262,7,0,0,2,75,136048,0,369,168534,0
增强,增强,"信仰图腾之力，使用灌注元素能量的武器攻击敌人。

偏好武器：双持斧、锤和拳套",263,7,1,0,2,260,237581,2,369,77223,0
恢复,恢复,"召唤先祖之魂和水之净化能量来治愈盟友的创伤。

偏好武器：锤、匕首，加上盾",264,7,2,0,1,3,136052,0,369,77226,0
痛苦,痛苦,"暗影魔法大师，擅长吸取能量和持续伤害法术。

偏好武器：法杖、魔杖、匕首和剑",265,9,0,0,2,67,136145,0,357,77215,0
