ID,Name_lang,Description_lang,BountySetID,SkillLineID,DeathTeleportSpellID,Field_9_0_2_36165_006,Field_9_0_2_36165_007,FactionID,CurrencyTypesID,RequiredPlayerConditionID
1,格里恩,格里恩是冥世的坚定守护者，他们会将亡者的灵魂带入暗影界。格里恩永远忠于使命，尽心效力，只有证明自己价值的人才能跻身他们的行列。,111,2730,315066,346042,346046,2407,1829,0
2,温西尔,温西尔是高贵的监督者，看管着因骄傲与邪恶而身负重罪的灵魂。他们为苦难的灵魂指明了严苛的赎罪之路，并用收割的心能维护他们国度的力量。,112,2731,344545,346037,346043,2413,1830,0
3,法夜,陨落的自然之灵沉睡在宁静祥和的森林里，法夜便是他们的照看者。与自然结缘者可以加入他们的事业，确保重获新生的灵魂能再次回到永恒的循环中。,114,2732,344538,346039,346044,2465,1831,0
4,通灵领主,在通灵领主之间，强者会获得嘉奖，弱者被弃若敝履。野心勃勃、争斗不休的灵魂被铸成不朽的大军，也铸就了捍卫暗影界的壁垒。,113,2733,344544,346041,346045,2410,1832,0
12,马鲁克半人马,欧恩哈拉平原上各个半人马氏族都将自己归为马鲁克半人马的成员。,119,0,0,0,0,2503,2002,104408
13,龙鳞探险队,探险者协会和神圣遗物学会联合起来在巨龙群岛探险。,119,0,0,0,0,2507,2021,104394
14,伊斯卡拉海象人,巨龙群岛坚韧的海象人部族。,119,0,0,0,0,2511,2087,104409
15,瓦德拉肯联军,瓦德拉肯是巨龙军团耀眼的主城，他们在此建立了联军，协助凡人种族。,119,0,0,0,0,2510,2088,104407
20,峈姆鼹鼠人,鼹鼠人居住在巨龙群岛地下的峈姆。,119,0,0,0,0,2564,2402,108239
21,梦境守望者,许多种族构成的同盟，誓要守护翡翠梦境，抗击所有威胁。,119,0,0,0,0,2574,2653,115959
23,桶腿船团,一群不合群的海盗，充满自由精神，聚集在桶腿船长的旗下。,0,0,0,0,0,2593,2814,119189
24,多恩诺嘉尔议会,[DNT],120,0,0,0,0,2590,2900,117972
25,邃渊协盟,[DNT],120,0,0,0,0,2594,2898,117991
26,陨圣峪阿拉希人,[DNT],120,0,0,0,0,2570,2901,118011
27,斩离之丝,[DNT],120,0,0,0,0,2600,2904,118037
28,[DNT] 11.0 Delves Season 1,[DNT],0,0,0,0,0,2644,3022,121067
29,[DNT] TBD The Undermine,[DNT] The Undermine,120,0,0,0,0,2653,3120,129040
31,[DNT] 11.0 Delves Season 2,[DNT],0,0,0,0,0,2683,3130,129178
32,加乐宫会员奖励,[DNT],0,0,0,0,0,2685,3137,132346
