ID,Name_lang,NameAlt_lang,Title_lang,TitleAlt_lang,Classification,CreatureType,CreatureFamily,StartAnimState,DisplayID[0],DisplayID[1],DisplayID[2],DisplayID[3],DisplayProbability[0],DisplayProbability[1],DisplayProbability[2],DisplayProbability[3],AlwaysItem[0],AlwaysItem[1],AlwaysItem[2]
3,食腐者,,,,0,6,0,0,987,0,0,0,1,1,1,1,0,0,0
89,地狱火爪牙,,,,0,3,108,0,87778,0,0,0,1,1,1,1,0,0,0
304,地狱战马,,,,0,3,0,0,2346,0,0,0,1,1,1,1,0,0,0
305,白马,,,,0,1,0,0,2410,0,0,0,1,1,1,1,0,0,0
416,小鬼,,,,0,3,23,0,64799,0,0,0,1,1,1,1,0,0,0
417,地狱猎犬,,,,0,3,15,0,77398,0,0,0,1,1,1,1,0,0,0
444,小猪大人,,,,0,14,0,0,22938,0,0,0,1,1,1,1,0,0,0
721,兔子,,,,0,8,0,0,328,4626,0,0,1,1,1,1,0,0,0
1748,大领主伯瓦尔·弗塔根,,,,1,7,0,0,5566,0,0,0,1,1,1,1,2178,143,0
1860,虚空行者,,,,0,3,16,0,77397,0,0,0,1,1,1,1,0,0,0
1863,魅魔,,,,0,3,17,0,77396,0,0,0,1,1,1,1,0,0,0
2671,机械松鼠,,,,0,12,0,0,7937,0,0,0,1,1,1,1,0,0,0
2748,阿扎达斯,,远古巨石卫士,,1,5,0,0,5988,0,0,0,1,1,1,1,2557,0,0
3524,幽灵狼,,,,0,1,0,0,1236,0,0,0,1,1,1,1,0,0,0
3771,冷心唤魔者,,,,0,3,0,0,2013,0,0,0,0,0,0,0,0,0,0
3823,幽爪奔跑者,,,,0,1,1,0,802,0,0,0,0,0,0,0,0,0,0
3956,哈克兰·月林,,炼金术供应商,,0,7,0,0,4183,0,0,0,0,0,0,0,0,0,0
4075,老鼠,,,,0,8,0,0,1141,1418,2176,0,2,2,1,1,0,0,0
4274,吞噬者芬鲁斯,,,,1,1,0,0,20180,0,0,0,0,1,1,1,0,0,0
4275,大法师阿鲁高,,,,1,7,0,0,2353,0,0,0,0,1,1,1,6322,0,0
4780,黑山羊,,,,0,1,0,0,2784,0,0,0,1,1,1,1,0,0,0
5198,极地座狼,,,,0,1,0,0,1166,0,0,0,1,1,1,1,0,0,0
7109,碧火魔仆,,,,0,3,0,0,11334,0,0,0,0,0,0,0,0,0,0
7380,黑尾白猫,,,,0,12,0,0,5585,0,0,0,1,1,1,1,0,0,0
7381,黑斑白猫,,,,0,12,0,0,5555,0,0,0,1,1,1,1,0,0,0
7382,虎皮猫,,,,0,12,0,0,5554,0,0,0,1,1,1,1,0,0,0
7383,黑纹灰猫,,,,0,12,0,0,5448,0,0,0,1,1,1,1,0,0,0
7384,黄猫,,,,0,12,0,0,5586,0,0,0,1,1,1,1,0,0,0
7385,灰猫,,,,0,12,0,0,5556,0,0,0,1,1,1,1,0,0,0
7386,白猫,,,,0,12,0,0,9990,0,0,0,1,1,1,1,0,0,0
7387,绿翼鹦鹉,,,,0,12,0,3,5207,0,0,0,1,1,1,1,0,0,0
7388,美冠鹦鹉,,,,0,12,0,3,6189,0,0,0,1,1,1,1,0,0,0
7389,金翼鹦鹉,,,,0,12,0,3,6190,0,0,0,1,1,1,1,0,0,0
7390,红尾鹦鹉,,,,0,12,0,3,6191,0,0,0,1,1,1,1,0,0,0
7391,花羽鹦鹉,,,,0,12,0,3,6192,0,0,0,1,1,1,1,0,0,0
7392,农场小鸡,,,,0,12,0,0,304,0,0,0,1,1,1,1,0,0,0
7393,白色小鸡,,,,0,12,0,0,304,0,0,0,1,1,1,1,0,0,0
7394,灰色小鸡,,,,0,12,0,0,5369,0,0,0,1,1,1,1,0,0,0
7395,幽暗城蟑螂,,,,0,12,0,0,2177,0,0,0,1,1,1,1,0,0,0
7543,黑龙宝宝,,,,0,12,0,3,6288,0,0,0,1,1,1,1,0,0,0
7544,红龙宝宝,,,,0,12,0,3,6290,0,0,0,1,1,1,1,0,0,0
7545,绿龙宝宝,,,,0,12,0,3,6291,0,0,0,1,1,1,1,0,0,0
7546,青铜龙宝宝,,,,0,12,0,3,6292,0,0,0,1,1,1,1,0,0,0
7547,蓝龙宝宝,,,,0,12,0,3,6293,0,0,0,1,1,1,1,0,0,0
7548,精灵龙宝宝,,,,0,12,303,0,6294,0,0,0,1,1,1,1,0,0,0
7549,树蛙,,,,0,12,0,0,6295,0,0,0,1,1,1,1,0,0,0
7550,林蛙,,,,0,12,0,0,901,0,0,0,1,1,1,1,0,0,0
7551,蓝蛙,,,,0,12,0,0,6296,0,0,0,1,1,1,1,0,0,0
7552,岛蛙,,,,0,12,0,0,6297,0,0,0,1,1,1,1,0,0,0
7553,棕色猫头鹰,,,,0,12,0,3,4615,0,0,0,1,1,1,1,0,0,0
7554,白色猫头鹰,,,,0,14,0,3,6298,0,0,0,1,1,1,1,0,0,0
7555,黑色猫头鹰,,,,0,12,0,3,6299,0,0,0,1,1,1,1,0,0,0
7556,黄色猫头鹰,,,,0,12,0,3,6300,0,0,0,1,1,1,1,0,0,0
7560,雪兔,,,,0,12,0,0,328,0,0,0,1,1,1,1,0,0,0
7561,白鳞蛇,,,,0,12,0,0,2955,0,0,0,1,1,1,1,0,0,0
7562,棕色蟒蛇,,,,0,12,0,0,2957,0,0,0,1,1,1,1,0,0,0
7563,蓝鳞蛇,,,,0,12,0,0,2956,0,0,0,1,1,1,1,0,0,0
7565,黑色王蛇,,,,0,12,0,0,1206,0,0,0,1,1,1,1,0,0,0
7566,血纹蛇,,,,0,12,0,0,2954,0,0,0,1,1,1,1,0,0,0
7567,赤练蛇,,,,0,12,0,0,6303,0,0,0,1,1,1,1,0,0,0
7568,赤环蛇,,,,0,12,0,0,2954,0,0,0,1,1,1,1,0,0,0
7569,绿色水蛇,,,,0,12,0,0,1986,0,0,0,1,1,1,1,0,0,0
7570,小精灵,,,,0,12,0,0,1824,0,0,0,1,1,1,1,0,0,0
7952,祖尼尔,,迅猛龙饲养员,,0,7,0,0,7037,0,0,0,100,0,0,0,6680,0,0
8376,机械小鸡,,,,0,12,0,0,7920,0,0,0,1,1,1,1,0,0,0
9656,步行炸弹,,,,0,12,0,0,8909,0,0,0,1,1,1,1,0,0,0
9657,发条机器人,,,,0,12,0,0,8910,0,0,0,1,1,1,1,0,0,0
9662,精龙宝宝,,,,0,12,303,3,6294,0,0,0,1,1,1,1,0,0,0
9936,腐化猫,,,,0,12,0,0,9209,0,0,0,1,1,1,1,0,0,0
10259,座狼幼崽,,,,0,12,0,0,9563,9572,0,0,1,0,0,0,0,0,0
10261,燃烧地狱犬,,,,0,3,0,0,1913,0,0,0,0,0,0,0,0,0,0
10414,缝补憎恶,,,,1,6,0,0,1693,0,0,0,0,0,0,0,0,0,0
10578,波贝,,见习巫医,,0,7,0,0,9911,0,0,0,100,0,0,0,4993,0,0
10598,烟网小蜘蛛,,,,0,12,0,0,27718,0,0,0,1,1,0,0,0,0,0
11236,红鹦鹉,,,,0,12,0,3,9554,0,0,0,1,1,1,1,0,0,0
11325,熊猫宝宝,,,,0,12,0,0,10990,0,0,0,1,1,1,1,0,0,0
11326,迷你破坏神,,恐惧之王,,0,12,0,0,10992,0,0,0,1,1,1,1,0,0,0
11327,跳虫,,,,0,12,0,0,10993,0,0,0,1,1,1,1,0,0,0
11502,拉格纳罗斯,,,,1,4,0,0,11121,0,0,0,0,1,1,1,0,0,0
11822,月光林地守望者,月光林地守望者,,,0,7,0,0,11774,11775,11776,11777,25,25,25,25,14475,0,12523
11859,末日守卫,,,,0,3,19,0,64965,0,0,0,0,1,1,1,0,0,0
12222,爬行污泥怪,,,,1,15,0,0,14350,0,0,0,0,0,0,0,0,0,0
12350,紫色骑乘迅猛龙,,,,0,1,0,0,6473,0,0,0,1,1,1,1,0,0,0
12419,逼真的蟾蜍,,,,0,12,0,0,901,0,0,0,1,1,1,1,0,0,0
14042,雷塔玛,,莫洛加缚灵者,,0,7,0,0,14193,0,0,0,0,0,0,0,0,0,0
14143,阿里亚,,莫洛加,,0,12,0,0,14192,0,0,0,0,0,0,0,0,0,0
14305,人类孤儿,,,,0,12,0,0,338,0,0,0,0,1,1,1,0,0,0
14421,棕色土拨鼠,,,,0,12,0,0,1072,0,0,0,1,1,1,1,0,0,0
14444,兽人孤儿,,,,0,12,0,0,14589,0,0,0,0,1,1,1,0,0,0
14505,恐惧战马,,,,0,3,0,0,14554,0,0,0,1,1,1,1,0,0,0
14629,圆头钳嘴龟,,,,0,12,0,0,14657,0,0,0,1,1,1,1,0,0,0
14630,硬皮钳嘴龟,,,,0,12,0,0,14658,0,0,0,1,1,1,1,0,0,0
14631,绿色钳嘴龟,,,,0,12,0,0,14659,0,0,0,1,1,1,1,0,0,0
14632,鹰喙钳嘴龟,,,,0,12,0,0,14660,0,0,0,1,1,1,1,0,0,0
14633,白色钳嘴龟,,,,0,12,0,0,14661,0,0,0,1,1,1,1,0,0,0
14744,霜狼嗥叫者,,,,0,1,0,0,92901,0,0,0,1,1,1,1,0,0,0
14755,绿色小神龙,,,,0,12,0,3,14778,0,0,0,1,1,1,1,0,0,0
