ID,ContainerName_lang,ContainerDescription_lang,MinAmount,MaxAmount,ContainerIconID,ContainerQuality,OnLootSpellVisualKitID,CurrencyTypeID
12,微型艾泽里特裂片,使你的艾泽拉斯之心获得%d点|4神器能量:神器能量;。,1,49,2065629,2,101693,1553
13,小型艾泽里特碎屑,使你的艾泽拉斯之心获得%d点|4神器能量:神器能量;。,50,99,2065623,2,101693,1553
14,小型艾泽里特碎片,使你的艾泽拉斯之心获得%d点|4神器能量:神器能量;。,100,149,2065624,2,101693,1553
15,小型艾泽里特之簇,使你的艾泽拉斯之心获得%d点|4神器能量:神器能量;。,150,199,2065622,2,101693,1553
16,闪光的艾泽里特晶体,使你的艾泽拉斯之心获得%d点|4神器能量:神器能量;。,200,299,2065586,3,101692,1553
17,闪光的艾泽里特,使你的艾泽拉斯之心获得%d点|4神器能量:神器能量;。,300,399,2065611,3,101692,1553
18,闪光的艾泽里特晶簇,使你的艾泽拉斯之心获得%d点|4神器能量:神器能量;。,400,499,2065610,3,101692,1553
19,闪耀的艾泽里特碎片,使你的艾泽拉斯之心获得%d点|4神器能量:神器能量;。,500,749,2065617,4,101486,1553
20,闪耀的艾泽里特之核,使你的艾泽拉斯之心获得%d点|4神器能量:神器能量;。,750,999,2065616,4,101486,1553
21,闪耀的艾泽里特母岩,使你的艾泽拉斯之心获得%d点|4神器能量:神器能量;。,1000,1999,2065619,4,101486,1553
31,嗡鸣的艾泽里特之心,使你的艾泽拉斯之心获得%d点|4神器能量:神器能量;。,2000,30000000,2065618,4,101486,1553
132,第七军团奖章,在第七军团中的声望提高%d点。,1,199,2065569,2,0,1599
133,艾泽拉斯的勇士奖章,在艾泽拉斯的勇士中的声望提高%d点。,1,299,2065570,2,0,1579
134,荣耀战团奖章,在荣耀战团中的声望提高%d点。,1,199,2065571,2,0,1600
135,灰烬骑士团奖章,在灰烬骑士团中的声望提高%d点。,1,199,2065572,2,0,1592
136,普罗德摩尔海军部奖章,在普罗德摩尔海军部中的声望提高%d点。,1,199,2065573,2,0,1593
137,风暴之末奖章,在风暴之末中的声望提高%d点。,1,199,2065574,2,0,1594
138,始祖龟求知者奖章,在始祖龟求知者中的声望提高%d点。,1,299,2065576,2,0,1598
139,赞达拉帝国奖章,在赞达拉帝国中的声望提高%d点。,1,199,2065579,2,0,1597
140,塔兰吉远征队奖章,在塔兰吉远征队中的声望提高%d点。,1,199,2065575,2,0,1595
141,沃顿奈奖章,在沃顿奈中的声望提高%d点。,1,199,2065577,2,0,1596
142,第七军团奖章,在第七军团中的声望提高%d点。,200,1000000,2065569,3,0,1599
143,艾泽拉斯的勇士奖章,在艾泽拉斯的勇士中的声望提高%d点。,300,1000000,2065570,3,0,1579
144,荣耀战团奖章,在荣耀战团中的声望提高%d点。,200,1000000,2065571,3,0,1600
145,灰烬骑士团奖章,在灰烬骑士团中的声望提高%d点。,200,1000000,2065572,3,0,1592
146,灰烬骑士团奖章,在灰烬骑士团中的声望提高%d点。,200,1000000,2065572,3,0,1592
147,普罗德摩尔海军部奖章,在普罗德摩尔海军部中的声望提高%d点。,200,1000000,2065573,3,0,1593
148,风暴之末奖章,在风暴之末中的声望提高%d点。,200,1000000,2065574,3,0,1594
149,始祖龟求知者奖章,在始祖龟求知者中的声望提高%d点。,300,1000000,2065576,3,0,1598
150,赞达拉帝国奖章,在赞达拉帝国中的声望提高%d点。,200,1000000,2065579,3,0,1597
151,塔兰吉远征队奖章,在塔兰吉远征队中的声望提高%d点。,200,1000000,2065575,3,0,1595
152,沃顿奈奖章,在沃顿奈中的声望提高%d点。,200,1000000,2065577,3,0,1596
155,晋升者奖章,在晋升者中的声望提高%d点。,1,1000000,3257748,3,0,1804
156,不朽军团奖章,在不朽军团中的声望提高%d点。,1,1000000,3492310,3,0,1805
157,荒猎团奖章,在荒猎团中的声望提高%d点。,1,1000000,3575389,3,0,1806
158,收割者之庭奖章,在收割者之庭中的声望提高%d点。,1,1000000,3514227,3,0,1807
159,名望纹章,你在盟约里的名望提高%d点。,0,0,3726261,5,0,1822
160,灰烬王庭威望,在灰烬王庭中的声望提高%d点。,1,1000000,3641397,3,0,1837
161,女伯爵香气扑鼻的感谢信,和女伯爵的友谊提高%d点。,1,1000000,1505932,3,0,1838
162,伦德尔草草写下的感谢字条,和伦德尔与棍脸的友谊提高%d点。,1,1000000,1505955,3,0,1839
163,带有硕大的赞赏拇指印的羊皮纸,和石首的友谊提高%d点。,1,1000000,1505957,3,0,1840
164,卡希尔关于聚会欢乐之处的10条论点,和地穴看守者卡希尔的友谊提高%d点。,1,1000000,134331,3,0,1841
165,女男爵瓦丝琪的正式感谢卡片,和女男爵瓦丝琪的友谊提高%d点。,1,1000000,133472,3,0,1842
166,莫格莱尼老练而简洁的感谢信,和亚历山德罗斯·莫格莱尼的友谊提高%d点。,1,1000000,133473,3,0,1845
167,写在投注票背面的感谢字条,和沃尔大师的友谊提高%d点。,1,1000000,134329,3,0,1844
168,包裹在软泥里的感谢字条,和魔药设计师马里莱斯的友谊提高%d点。,1,1000000,237246,3,0,1843
169,写在正规羊皮纸上的感情洋溢的感谢信,和西卡的友谊提高%d点。,1,1000000,1505958,3,0,1846
170,裴拉戈斯用词周到的感谢字条,和克雷雅与裴拉戈斯的友谊提高%d点。,1,1000000,1505933,3,0,1847
171,拘谨而正式的感谢信,和文官阿得赖斯提斯的友谊提高%d点。,1,1000000,1505935,3,0,1848
172,在一张画了一半的设计图背面草草写下的感谢信,和米卡尼科斯的友谊提高%d点。,1,1000000,134330,3,0,1849
173,丘法的发光橡实,和丘法的友谊提高%d点。,1,1000000,1052644,3,0,1850
