Description_lang,ID,DataTag
微小,1,65
小号,2,66
中号,3,67
大号,4,68
超大,5,69
矮人,6,74
蛮锤矮人,7,75
铜须矮人（铁炉堡）,8,76
黑铁矮人,9,77
土灵（多恩）,10,78
人类,11,79
暴风城,12,80
库尔提拉斯人,13,81
吉尔尼斯人/狼人,14,82
精灵,15,83
血精灵,16,84
暗夜精灵,17,85
虚空精灵,18,86
夜之子,19,87
牛头人,20,88
德莱尼,21,89
兽人,22,90
地精,23,91
狐人,24,92
巨魔,25,93
暗矛巨魔,26,94
赞达拉巨魔,27,95
亡灵,28,96
侏儒,29,97
熊猫人,30,98
哈籁尼尔,31,452
经典旧世,32,99
燃烧的远征,33,100
巫妖王之怒,34,101
大地的裂变,35,102
熊猫人之谜,36,103
德拉诺之王,37,104
军团再临,38,105
争霸艾泽拉斯,39,106
暗影国度,40,107
巨龙时代,41,108
地心之战,42,109
至暗之夜,43,110
魔兽世界周年庆典,44,111
美酒节,45,112
儿童周,46,113
暗月马戏团,47,114
悼念日,48,115
焰火表演,49,116
万圣节,50,117
收获节,51,118
情人节,52,119
新年,53,120
仲夏火焰节,54,121
复活节,55,122
感恩节,56,123
海盗日,57,124
冬幕节,58,125
其它,59,126
大胆,60,141
休闲,61,142
悠然,62,143
可爱,63,144
高雅,64,145
法夜,65,146
邪能,66,147
奢华,67,148
光明,68,149
机械,69,150
自然,70,151
海盗,71,152
浪漫,72,153
朴素,73,154
幽灵,74,155
虚空,75,156
维库人,76,157
奇异,77,158
联盟,78,159
部落,79,160
春天,80,161
夏天,81,162
秋季,82,163
冬天,83,164
路 道路,84,202
毯 毯子,85,201
杯 杯子 茶杯 酒杯 水杯杯具,86,196
餐具 银制餐具 厨具 叉 勺 刀,87,198
饮品 饮料 酒 酒水,88,195
食物 餐点 大餐 点心,89,194
厨房,90,199
盘 盘子,91,197
书 书籍 书典,92,190
瓶 花瓶,93,189
画 画作 油画 画布,94,192
水 池,95,236
椅 椅子,96,177
沙发 躺椅,97,178
橱 橱柜,98,185
架 架子 架台,99,184
柜 柜子 柜台 柜面,100,182
桌 桌子,101,181
台 台子,102,180
人偶 假人,103,224
厨具 炉灶 火炉 烤架,104,222
制造 工艺 制作 专业技能,105,221
柱 柱子 立柱 柱子,106,208
栏 栅栏 围栏,107,209
隔板 隔板墙 墙壁,108,207
粗犷,109,70
民间,110,71
阔绰,111,72
节日/事件,112,73
魔法,113,458
龙希尔,114,484
鱼人,115,505
炼金,116,127
考古学,117,140
锻造,118,128
烹饪,119,138
附魔,120,129
工程学,121,130
钓鱼,122,139
草药学,123,135
铭文,124,131
珠宝加工,125,132
制皮,126,133
采矿,127,136
剥皮,128,137
裁缝,129,134
红色,130,165
橙色,131,166
黄色,132,167
绿色,133,168
蓝色,134,169
紫罗兰/紫色,135,170
棕色,136,171
黑色,137,172
白色,138,173
灰色,139,174
粉色,140,577
机械侏儒,141,620
玛格汉兽人,142,631
阿曼尼巨魔,143,639
温西尔,144,558
法夜,145,643
格里恩,146,644
通灵领主,147,645
平台 地台 基础 舞台 底部,148,729
梁 横梁 龙骨 木板 木板条,149,730
