Name_lang,ID,DyeColorCategoryID,GradientTextureIndex,ItemID,SwatchColorStart,SwatchColorEnd,SortOrder
暖色柚木,3,2,1,259053,-3761562,-14808573,300
基础桦木,4,2,2,259078,-75605,-12571100,304
棕牧豆木,5,2,3,259096,-6324389,-14873596,302
松木,6,2,4,259097,-5790596,-15396605,308
黑木,7,2,5,259098,-7372429,-16185590,307
高地桦木,8,2,6,259099,-2109778,-10463152,305
圣橡木褐,9,2,7,259100,-1653892,-14282491,303
浅淡茶棕,10,2,8,259101,-4149098,-14806509,306
红木,11,2,9,259102,-9878988,-13428202,299
心材木料,12,2,10,259103,-7119307,-15398392,301
雷钢,13,3,52,259104,-4140594,-15724271,200
紫铜,14,3,53,259105,-3699899,-15660537,216
赞达拉金,15,3,54,259106,-669635,-14218240,212
黄铜,16,3,55,259107,-1847687,-15200255,210
青铜,17,3,56,259108,-1595068,-10801390,214
黑铁,18,3,57,259109,-7959152,-16316664,205
库尔提拉斯钢材,19,3,58,259110,-6105647,-15461613,202
黄金,20,3,59,258838,-2114016,-3835119,213
镔爪,21,3,60,259111,-9206155,-16052726,208
黑金,22,3,61,259112,-6520009,-15988990,211
部落红,23,1,102,259113,-5170146,-14351870,100
苍郁绿,24,1,103,259114,-12607410,-16248059,132
联盟蓝,25,1,104,259115,-12626542,-16447725,121
肯瑞托紫罗兰,26,1,105,259116,-7451976,-15726821,107
沙怒黄,27,1,106,259117,-4875226,-14937339,150
艾尔文南瓜,28,1,107,259118,-1408997,-9879781,163
虚空风暴紫红,29,1,108,259119,-4695372,-14283993,105
骨白,30,1,109,259120,-1592,-5990278,153
黑曜石黑,31,1,110,259121,-12564915,-16711423,191
土灵棕,32,1,111,259122,-9086921,-15660023,160
风暴峡湾灰,33,1,112,259123,-9146519,-15659508,192
银鼠草绿,34,1,113,259124,-6244468,-14275551,138
安戈洛绿,35,1,114,259125,-14714011,-16247535,130
虚空紫罗兰,36,1,115,259126,-10405966,-15856364,108
火焰花红,37,1,116,259127,-5685473,-15268092,170
卡利姆多黄沙,38,1,117,259128,-3366567,-14937593,159
泽风蓝,39,1,118,259129,-8074523,-14726823,123
夜歌丁香,40,1,119,259130,-6586406,-13557167,109
魔力酒,41,1,120,259131,-5552003,-14415090,104
科多皮褐,42,1,121,259132,-6003902,-14415349,162
尘泥绿,43,1,122,259133,-6841541,-15986428,139
翡翠梦绿,44,1,123,259134,-10569071,-16246510,131
午夜幽蓝,45,1,124,259135,-12693806,-16250079,122
漩涡青蓝,46,1,125,259136,-5711133,-15917536,124
太阳草黄,47,1,126,259137,-2665,-1849512,152
草原烁金,48,1,127,259138,-1851307,-6129407,151
吉尔尼斯玫红,49,1,128,259139,-5887417,-15203320,102
月莓紫晶,50,1,129,259140,-8501643,-15530480,106
沃顿褐灰,51,1,130,259141,-9015724,-15331064,154
棘齿锈痕,52,1,131,259142,-9225937,-15267834,172
墓苔绿,53,1,132,259143,-10786983,-16183799,137
被遗忘者梅色,54,1,133,259144,-9215364,-15725039,113
木喉棕,55,1,134,259145,-9610414,-15199471,155
纳沙塔尔海军蓝,56,1,135,259146,-11775890,-16053233,120
灰熊丘陵绿,57,1,136,259147,-11573440,-15985656,133
海贤青蓝,58,1,137,259148,-12746368,-16116973,125
上层精灵大理石白,59,1,138,259149,-2568760,-14147555,193
地根草,60,1,139,259150,-8688086,-16054010,140
魔皇草深红,61,1,140,259151,-9885913,-15858427,190
辛特兰桃木,62,1,141,259152,-8042424,-15661048,173
暮色百合灰,63,1,142,259153,-5465645,-10859651,110
雨粟花红,64,1,143,259154,-1610899,-14152684,103
