ID,Text_lang,RelationshipFlags,EmotesTextID
1,%s赞同%s的观点。,0,1
2,%s赞同你的观点。,1,1
3,你赞同%s的观点。,2,1
4,%s表示赞同。,4,1
5,你表示赞同。,6,1
6,%s让%s感到很惊奇！,0,2
7,你让%s感到很惊奇！,1,2
8,%s让你感到很惊奇！,2,2
9,%s感到很惊奇！,4,2
10,你感到很惊奇！,6,2
11,%s向%s愤怒地挥起拳头。,0,3
12,%s向你愤怒地挥起拳头。,1,3
13,你向%s愤怒地挥起拳头。,2,3
14,%s愤怒地挥起拳头。,4,3
15,你愤怒地挥起拳头。,6,3
16,%s对%s愤怒地挥起拳头。,8,3
17,%s对你愤怒地挥起拳头。,9,3
18,%s愤怒地挥起拳头。,12,3
19,%s向%s表示道歉。对不起！,0,4
20,%s向你表示道歉。对不起！,1,4
21,你向%s表示道歉。对不起！,2,4
22,%s向大家表示道歉。对不起！,4,4
23,你向大家表示道歉。对不起！,6,4
24,%s向%s大声喝彩。真棒！,0,5
25,%s向你大声喝彩。真棒！,1,5
26,你向%s大声喝彩。真棒！,2,5
27,%s大声喝彩。真棒！,4,5
28,你大声喝彩。好！,6,5
29,%s太害羞了……根本没有引起%s的注意。,0,6
30,%s太害羞了……无法引起你的注意。,1,6
31,你太害羞了……从而无法引起%s的注意。,2,6
32,%s非常害羞。,4,6
33,你非常害羞。,6,6
34,%s招手示意%s过来。,0,7
35,%s招手示意你过去。,1,7
36,你招手示意%s过来。,2,7
37,%s招手示意大家都过去。,4,7
38,你招手示意大家都过去。,6,7
39,%s正在祈求%s。真可怜。,0,8
40,%s在祈求你。好可怜啊。,1,8
41,你在祈求%s。好可怜啊。,2,8
42,%s向周围大家祈求。好可怜啊。,4,8
43,你向你周围的人祈求。真可怜。,6,8
44,%s向她周围的人祈求。真可怜。,12,8
45,%s咬了%s一口。啊！,0,9
46,%s咬了你一口。啊！,1,9
47,你咬了%s一口。啊！,2,9
48,%s四下张望，想找个人咬一口。,4,9
49,你四下张望，想找个人咬一口。,6,9
50,%s的伤口渗出了鲜血。,4,10
51,你的伤口渗出了鲜血。,6,10
52,%s对%s眨了眨眼。,0,11
53,%s对你眨了眨眼。,1,11
54,你对%s眨了眨眼。,2,11
55,%s眨了眨眼。,4,11
56,你眨了眨眼。,6,11
57,%s看着%s，满脸通红。,0,12
58,%s对着你脸红了。,1,12
59,你对着%s脸红了。,2,12
60,%s脸红了。,4,12
61,你脸红了。,6,12
62,%s重重地敲了一下%s的脑袋，发出“咚”的一声。,0,13
