Description_lang,StandingModified_lang,StandingChangedText_lang,ID,FactionID,TextureFileID,Flags
农夫老方视你为%s。老方喜欢泽地百合和香烤野雉。,,,2,1283,0,0
吱吱视你为%s。吱吱喜欢蓝色羽毛和谷地小炒。,,,16,1277,0,0
艾拉视你为%s。艾拉喜欢玉猫和虾饺。,,,17,1275,0,0
玉儿·采苇视你为%s。玉儿喜欢玉猫和鸳鸯鱼拼盘。,,,18,1282,0,0
吉娜·泥爪视你为%s。吉娜喜欢泽地百合和迷雾汤。,,,19,1281,0,0
郝瀚·泥爪视你为%s。郝瀚喜欢红宝石碎片和碳烤虎肉排。,,,20,1279,0,0
醉鬼贾古视你为%s。贾古喜欢可爱的苹果和煎炸胡萝卜。,,,21,1273,0,0
老农山掌视你为%s。山掌喜欢蓝色羽毛和炖龟肉。,,,22,1276,0,0
阿烁视你为%s。阿烁喜欢可爱的苹果和锦绣鱼。,,,23,1278,0,0
迪娜·泥爪视你为%s。迪娜喜欢红宝石碎片和焰灵鲑鱼。,,,24,1280,0,0
诺米是一个非常聪明的%s厨师。你每教他一课，他都会变得更加熟练！,,,25,1357,0,0
纳特视你为%s。纳特喜欢喝酒。如果你多送他一些稀有鱼类，他或许会分你几口！,,,26,1358,0,0
你目前在搏击竞技场中的等级为%s。,,,28,2372,666624,0
你目前在比兹莫搏击俱乐部中的等级为%s。,,,43,2371,666623,0
你%s暗矛起义军。,,,72,1440,666624,0
托莫克现在是你的%s。,,,160,1736,666623,0
防御者艾萝娜现在是你的%s。,,,162,1738,666623,0
艾达·晨光现在是你的%s。,,,163,1740,666623,0
德尔瓦·铁拳现在是你的%s。,,,164,1733,666623,0
薇薇安现在是你的%s。,,,165,1739,666623,0
鸦爪祭司伊沙尔现在是你的%s。,,,166,1737,666623,0
利奥拉现在是你的%s。,,,167,1741,666623,0
%s,,,171,1374,666624,0
%s,,,172,1419,666623,0
"首席奥术师塔莉萨处于%s状态。

这个夜之子极度渴望|cFF66BBFF远古魔力|r，这种资源可以在苏拉玛各地找到。",,,181,1860,1391545,0
"希尔格林处于%s状态。

这个夜之子极度渴望|cFF66BBFF远古魔力|r。苏拉玛有着许多自然资源，但没有哪一种能像暗夜井那么强大。",,,182,1861,1391545,0
"首席传送师欧库勒斯处于%s状态。

这个夜之子极度渴望|cFF66BBFF远古魔力|r，这种资源可以在苏拉玛各地找到。",,,183,1862,1391545,0
占位符,,,184,949,666623,0
"奥术师瓦尔托伊处于%s状态。

这个夜之子极度渴望|cFF66BBFF远古魔力|r，这种资源可以在苏拉玛各地找到。",,,185,1919,1391545,0
咒法师马戈斯把你视作%s。他并不热衷于魔法。他真正的爱好是钓鱼！,,,193,1975,0,0
欧莉萨拉和安吉莉克把你视作%s。她们希望尽力为有需要的人提供必要的医疗补给品。,,,195,1984,0,0
Arne Test - is currently your %s.,,,198,0,666623,0
“活水”伊丽西娅视你为%s。在阿苏纳和她钓鱼。,,,199,2097,0,0
阿库勒视你为%s。在至高岭和他钓鱼。,,,200,2099,0,0
英帕斯视你为%s。在破碎海滩和他钓鱼。,,,202,2102,0,0
守护者蕾娜视你为%s。在瓦尔莎拉和她钓鱼。,,,204,2098,0,0
莎乐丝视你为%s。在苏拉玛和她钓鱼。,,,206,2101,0,0
科尔宾视你为%s。在风暴峡湾和他钓鱼。,,,208,2100,0,0
克罗米视你为%s。,,,209,2135,0,0
