ID,Text_lang,SortIndex,Min_level,Max_level,ContentTuningID
201,|cffffd100小窍门：|r 你可以通过移动、跳跃或<ESC>键来取消施法。,2,0,0,6416
222,|cffffd100小窍门：|r 你可以按下<Ctrl>键并点击物品查看该物品装备在自己身上的效果。,4,0,0,6416
223,|cffffd100小窍门：|r 名称呈灰色的物品属于粗糙品质，在游戏中一般没什么用处，应该出售给商人。,5,0,0,6419
224,|cffffd100小窍门：|r 名称呈白色的物品在某些情况下有用，玩家可以使用这类物品或在拍卖所中进行出售。,6,0,0,6419
225,|cffffd100小窍门：|r 你可以使用游戏中设立的邮箱向同服务器的其它玩家或你的其他角色发送邮件。,7,0,0,6416
226,|cffffd100小窍门：|r 你可以在打开聊天对话框时按下<Shift>键并点击物品，将物品链接到对话中供他人查看。,8,0,0,6417
227,|cffffd100小窍门：|r你可以按下<ESC>键，在选项的快捷键中可重新设置动作条的快捷键。,11,0,0,6415
229,|cffffd100小窍门：|r 如果目标在你的微缩地图上显示为灰色，那说明它在山洞或内部空间里，与你不在同一区域。,12,0,0,6415
230,|cffffd100小窍门：|r 你可以利用表情系统做出各种有趣的动作，例如键入/跳舞可以让你翩翩起舞。,17,0,0,6416
231,|cffffd100小窍门：|r你可以按下<ESC>键打开主菜单，即可自定义游戏选项。,20,0,0,6416
234,|cffffd100小窍门：|r 小地图旁的邮件图标表示你有新邮件！你可以在邮箱处收取新邮件。,21,0,0,6416
235,|cffffd100小窍门：|r 你可以按下<ESC>键调出界面选项窗口中为游戏界面添加额外的动作条。,22,0,0,6424
236,|cffffd100小窍门：|r 如果你按住Shift键并右键点击目标拾取物品，你将自动拾取目标上的所有物品。,23,0,0,6417
237,|cffffd100小窍门：|r 如果你喜欢和某人一起游戏，请将他添加到你的好友列表中！,27,0,0,6416
240,|cffffd100小窍门：|r 如果你不再想收到某些玩家的任何消息，你可以右键点击他们的名字并选择屏蔽。当然你也可以随时取消屏蔽。,159,0,0,6414
241,|cffffd100小窍门：|r 你可以利用功能键选定队伍成员。F1键选中自己；F2键选中第二个队伍成员，以此类推。,31,0,0,6418
242,|cffffd100小窍门：|r 组队时请保持礼貌，下次他们会再邀请你加入队伍的！,30,0,0,6423
243,|cffffd100小窍门：|r 在声望面板点击某个阵营，你可以获取更多有关这个阵营的信息，并进行相关操作。,32,0,0,6417
244,|cffffd100小窍门：|r 头像下方带有一个星星标识的怪物是稀有怪物，掉落的物品比一般怪物要好。,33,0,0,6415
245,|cffffd100小窍门：|r 在浏览地图时，使用鼠标滚轮可以放大地图，仔细查看某个地区。,36,0,0,6423
251,|cffffd100小窍门：|r 完成任务和地下城是提升等级的最佳方式。,45,0,0,6420
254,|cffffd100小窍门：|r 在使用<Print Screen>键截屏前，你可以按下Alt+Z键打开或关闭游戏操作界面。,44,0,0,6417
256,|cffffd100小窍门：|r 在地图上点击鼠标右键可以退回到大陆或者世界地图，点击左键可以放大特定区域。,40,0,0,6419
258,|cffffd100小窍门：|r 在聊天窗口中按下<Shift>键并点击玩家名称，可显示关于该玩家的更多信息。,3,0,0,6424
261,|cffffd100小窍门：|r 任务给予者头上的蓝色问号表示该任务可重复完成。,48,0,0,6418
263,|cffffd100小窍门：|r 你可以使用<Tab>键循环选定你面前最近的敌人。,13,0,0,6415
281,|cffffd100小窍门：|r 按住<Shift>键再点击一件商人正在出售的物品可以指定你要购买的数量。,50,0,0,6415
