ID,Name_lang,Description_lang,GarrAbilityCategoryID,GarrFollowerTypeID,IconFileDataID,FactionChangeGarrAbilityID,Flags
4,兽人克星,提高战胜兽人的几率。,1,1,897144,0,1
5,暴风雪,由法师施放，可同时伤害许多敌人。,0,1,135857,0,0
6,盾墙,由战士施放，可显著降低所受伤害。,0,1,132362,0,0
7,登山家,提高在山地中赢得战斗的几率。,6,1,236848,0,1
8,冰冷血脉,提高在雪地中赢得战斗的几率。,6,1,236833,0,1
9,废土行者,提高在沙漠中赢得战斗的几率。,6,1,236846,0,1
10,信仰飞跃,由牧师施放，帮助目标躲避伤害（或给他们捣蛋）。,0,1,463835,0,0
11,治疗祷言,由牧师施放，可治疗一群盟友。,0,1,135943,0,0
29,优等生,此追随者完成任务时获得的经验提高50%。,7,1,236225,0,33
30,天生领袖,提高所有追随者完成任务后获得的经验值。,0,1,236362,0,3
36,恶魔克星,提高战胜恶魔的几率。,1,1,254651,0,1
37,野兽克星,提高战胜野兽的几率。,1,1,298659,0,1
38,食人魔克星,提高战胜食人魔的几率。,1,1,236695,0,1
39,原兽克星,提高战胜原兽及其爪牙的几率。,1,1,254105,0,1
40,戈隆克星,提高战胜毁灭者及其爪牙的几率。,1,1,236412,0,1
41,元素克星,提高战胜元素之怒的几率。,1,1,254652,0,1
42,虚空克星,提高战胜畸变怪和亡灵的几率。,1,1,298680,0,1
43,利爪克星,提高战胜鸦人及其爪牙的几率。,1,1,952507,0,1
44,自然学家,提高在森林中赢得战斗的几率。,6,1,236830,0,1
45,穴居人,提高在地下赢得战斗的几率。,6,1,409595,0,1
46,游击队员,提高在丛林中赢得战斗的几率。,6,1,236850,0,1
47,刺客大师,极大提高任务成功率。,11,1,458726,0,19
48,沼泽行者,提高在沼泽中赢得战斗的几率。,6,1,236819,0,1
49,平原旅人,提高在平原上赢得战斗的几率。,6,1,236712,0,1
52,采矿,被指派到矿井时可提高产品订单的产量。,5,1,4620679,0,33
53,草药学,被指派到药圃时可提供草药学加成，还能提高产品订单的产量。,5,1,4620675,0,33
54,炼金术,被指派到炼金实验室时可提供炼金加成，并提高炼金任务的成功率。,5,1,4620669,0,33
55,锻造,被指派到熔炉时可降低你的物品耐久损失，提高产品订单的产量，以及锻造任务的成功率。,5,1,4620670,0,33
56,附魔,被指派到附魔研究室时可提供各种附魔加成，并提高附魔任务的成功率。,5,1,4620672,0,33
57,工程学,被指派到工坊时可出售工程学装置，并提高产品订单的产量，以及工程学任务的成功率。,5,1,136243,0,33
58,铭文,被指派到铭文师之家时可以制造特殊的文件，并提高产品订单的产量，以及铭文任务的成功率。,5,1,4620676,0,33
59,珠宝加工,被指派到珠宝店时可提供各种珠宝加工加成，并提高珠宝加工任务的成功率。,5,1,4620677,0,33
60,制皮,被指派到制革厂时可制造各种帐篷，并提高产品订单的产量，以及制皮任务的成功率。,5,1,4620678,0,33
61,裁缝,被指派到裁缝店时可提供各种裁缝加成，并提高裁缝任务的成功率。,5,1,4620681,0,33
62,剥皮,被指派到畜棚时能根据追随者的等级提高产品订单的产量。,5,1,4620680,0,33
63,侏儒之友,提高与侏儒一起执行任务的成功率。,4,1,236446,73,9
64,人道主义者,提高与人类一起执行任务的成功率。,4,1,236447,71,9
65,矮人血脉,提高与矮人一起执行任务的成功率。,4,1,236443,70,9
66,月亮之子,提高与暗夜精灵一起执行任务的成功率。,4,1,236450,74,9
67,阿古斯之友,提高与德莱尼一起执行任务的成功率。,4,1,236442,72,9
68,狼犬伙伴,提高与狼人一起执行任务的成功率。,4,1,528692,75,9
69,酒鬼,提高与熊猫人一起执行任务的成功率。,4,1,626190,0,1
70,德拉诺之子,提高与兽人一起执行任务的成功率。,4,1,236451,65,5
71,死亡诱惑,提高与亡灵一起执行任务的成功率。,4,1,236457,64,5
72,图腾崇拜者,提高与牛头人一起执行任务的成功率。,4,1,236454,67,5
73,巫术狂信徒,提高与巨魔一起执行任务的成功率。,4,1,236456,63,5
74,精灵一族,提高与血精灵一起执行任务的成功率。,4,1,236440,66,5
75,经济学家,提高与地精一起执行任务的成功率。,4,1,632354,68,5
76,持久耐力,提高持续时间超过7小时的任务的成功率。,8,1,135987,0,1
77,能量爆发,提高持续时间少于7小时的任务的成功率。,8,1,136088,0,1
78,独来独往,提高独自执行任务的成功率。,9,1,538568,0,3
79,拾荒者,使完成任务后获得的要塞物资提高100%。,7,1,413571,0,1
80,额外训练,使所有追随者完成任务所获得的经验值提高30%。,7,1,975743,0,1
100,嘲讽,迫使敌人攻击战士。,0,1,136080,0,0
101,多重射击,由猎人施放，可同时伤害许多敌人。,0,1,132330,0,0
102,英勇飞跃,由战士施放，可迅速躲避伤害。,0,1,236171,0,0
103,急速射击,显著提高猎人的爆发性伤害。,0,1,132208,0,0
104,闷棍,由潜行者施放，可压制一个危险的敌人（或者骚扰你一下）。,0,1,132310,0,0
105,脚踢,由潜行者施放，可打断施法（超级讨厌）。,0,1,132219,0,0
106,治疗链,由萨满祭司施放，可治疗一群盟友。,0,1,136042,0,0
107,净化灵魂,由萨满祭司施放，可移除一个有害魔法效果。,0,1,236288,0,0
108,咆哮,迫使目标攻击德鲁伊。,0,1,132270,0,0
114,黑暗命令,迫使目标攻击死亡骑士。,0,1,136088,0,0
115,白骨之盾,用一面骨盾保护死亡骑士。,0,1,458717,0,0
116,枯萎凋零,由死亡骑士施放，可同时伤害许多敌人。,0,1,136144,0,0
117,心灵冰冻,冻结对手的思维，打断施法。,0,1,237527,0,0
118,符文武器增效,显著提高死亡骑士的爆发性伤害。,0,1,135372,0,0
119,反魔法护罩,保护死亡骑士不受有害魔法效果的伤害。,0,1,136120,0,0
