ID,ClassSpec_lang,ClassSpec_Male_lang,ClassSpec_Female_lang,UiTextureAtlasMemberID,GarrFollItemSetID,FollowerClassLimit,Flags
2,鲜血死亡骑士,鲜血死亡骑士,鲜血死亡骑士,3487,6,0,0
3,冰霜死亡骑士,冰霜死亡骑士,冰霜死亡骑士,3487,7,0,0
4,邪恶死亡骑士,邪恶死亡骑士,邪恶死亡骑士,3487,8,0,0
5,平衡德鲁伊,平衡德鲁伊,平衡德鲁伊,3485,9,0,0
7,野性德鲁伊,野性德鲁伊,野性德鲁伊,3485,10,0,0
8,守护德鲁伊,守护德鲁伊,守护德鲁伊,3485,11,0,0
9,恢复德鲁伊,恢复德鲁伊,恢复德鲁伊,3485,12,0,0
10,野兽控制猎人,野兽控制猎人,野兽控制猎人,3477,13,0,0
12,射击猎人,射击猎人,射击猎人,3477,14,0,0
13,生存猎人,生存猎人,生存猎人,3477,15,0,0
14,奥术法师,奥术法师,奥术法师,3482,16,0,0
15,火焰法师,火焰法师,火焰法师,3482,17,0,0
16,冰霜法师,冰霜法师,冰霜法师,3482,18,0,0
17,酒仙武僧,酒仙武僧,酒仙武僧,3480,19,0,0
18,织雾武僧,织雾武僧,织雾武僧,3480,20,0,0
19,踏风武僧,踏风武僧,踏风武僧,3480,21,0,0
20,神圣圣骑士,神圣圣骑士,神圣圣骑士,3486,22,0,0
21,防护圣骑士,防护圣骑士,防护圣骑士,3486,23,0,0
22,惩戒圣骑士,惩戒圣骑士,惩戒圣骑士,3486,24,0,0
23,戒律牧师,戒律牧师,戒律牧师,3479,25,0,0
24,神圣牧师,神圣牧师,神圣牧师,3479,26,0,0
25,暗影牧师,暗影牧师,暗影牧师,3479,27,0,0
26,奇袭潜行者,奇袭潜行者,奇袭潜行者,3481,28,0,0
27,战斗潜行者,战斗潜行者,战斗潜行者,3481,29,0,0
28,敏锐潜行者,敏锐潜行者,敏锐潜行者,3481,30,0,0
29,元素萨满祭司,元素萨满祭司,元素萨满祭司,3484,31,0,0
30,增强萨满祭司,增强萨满祭司,增强萨满祭司,3484,32,0,0
31,恢复萨满祭司,恢复萨满祭司,恢复萨满祭司,3484,33,0,0
