ID,Name_lang,GarrClassSpecID,PlayerConditionID,IconFileDataID,FlavorGarrStringID,OrderIndex
9,结群小鬼,102,42846,1396680,47,0
10,野生小鬼,102,40902,1396698,48,1
11,黑暗收割助祭,103,41214,1396691,49,0
16,黑暗收割祈祷者,103,41213,1452660,50,1
17,提瑞斯秘法会学徒,72,41574,1396696,20,0
18,肯瑞托召唤师,72,41575,1396699,21,1
19,水元素,73,42839,1396675,18,0
20,奥术傀儡,73,41573,1401852,19,1
21,玄牛弟子,67,42840,1396688,22,0
22,玄牛高手,67,40092,1396705,23,1
23,白虎弟子,66,40012,1396706,25,0
24,白虎高手,66,40138,1396707,26,1
25,小型元素,97,42847,1396645,40,0
26,巨型元素,97,41422,1396658,41,1
27,唤地者萨满,98,40260,1396708,42,0
28,大地之环地卜师,98,41421,1401884,43,1
29,升腾者,139,41525,1396660,44,0
30,弓箭手小队,86,42842,1401885,14,0
31,隐秘神射手,86,41557,1401886,15,1
32,追踪者,85,41559,1401887,16,0
33,探路者,85,41560,1401888,17,1
34,梦境林地树人,81,42843,1396694,10,0
35,塞纳留斯的女儿,81,41580,1396686,11,1
36,利爪德鲁伊,82,41581,1396668,12,0
37,林地守护者,82,41582,1396684,13,1
38,新晋侍从,87,42841,1396701,28,0
39,持盾方阵兵,87,41588,1396702,29,1
40,白银之手骑士,88,41589,1396703,30,0
41,白银之手圣殿骑士,88,41590,1396704,31,1
42,瓦拉加尔候选者,99,42845,1401869,51,0
43,瓦拉加尔雷铸者,99,41592,1401871,52,1
44,女武神,100,41593,1401854,53,0
45,瓦尔基拉女武神,100,41594,1401874,54,1
46,灰舌战士,79,42844,1401873,6,0
47,纳迦忠仆,79,41635,1401889,7,1
48,伊利达雷精锐,80,41636,1401865,8,0
49,变身的伊利达雷精锐,80,41637,1401883,9,1
50,结群食尸鬼,75,42837,1401858,2,0
51,结群恶鬼,75,42838,1401859,3,1
52,黑锋骑士,76,41676,1401866,4,0
53,黑锋掠夺者,76,41677,1401855,5,1
54,盗匪,93,42848,1401891,36,0
55,迪菲亚盗贼,93,41707,1401892,37,1
56,无冕者格斗家,94,41705,1401893,38,0
57,海盗,94,41704,1401894,39,1
58,天神,105,40060,1401861,59,0
59,助祭,91,42849,1086381,32,0
60,虚空之光圣贤,91,41906,1066217,33,1
61,狂热者,92,41907,1066169,34,0
62,黑暗狂热者,92,41908,1066121,35,1
63,战争古树,96,42818,1452563,58,0
64,憎恶,77,43780,1401851,0,0
65,库斯卡蛮兵,144,47107,1551349,0,0
66,恐怖图腾战士,145,47112,1551342,80,0
67,肯瑞托卫士,147,48413,1604890,68,0
68,黑锋寒霜骑士,148,48417,1605028,64,0
69,突击队,149,49177,1605040,75,0
70,梦境林地防御者,150,48415,1589538,66,0
71,破坏魔,151,48416,1589536,65,0
72,大地之环卫兵,152,48408,1589546,73,0
73,宁静大师,153,48412,1605031,69,0
74,恶魔卫士蛮兵,154,48407,1589549,74,0
75,戴兜帽的祭司,155,48410,1589544,71,0
76,白银之手十字军,156,48411,1605020,70,0
77,拉文霍德刺客,157,48409,1605036,72,0
78,夜之子猎人,158,48414,1551348,67,0
80,突击队,149,49178,1605021,75,1
81,克罗库山岭猎手,160,50765,1712229,77,0
82,被虚空净化的克罗库,161,51511,1712228,78,0
83,光铸盾卫,162,51512,1694048,76,0
