ID,Name_lang,Tooltip_lang,BuildingType,SpecType,RequiredUpgradeLevel,IconFileDataID,Param[0],Param[1]
2,展示栏,使你的兽栏能够公开展示额外五头坐骑。,0,0,0,132224,100,0
3,坐骑贸易,一名稀有坐骑商人在你要塞的兽栏中开设了商店。,0,1,0,413588,5,0
7,召回传送门,允许你中断当前任务并立即召回追随者。,0,5,0,511651,0,0
8,猎头,花费10份材料，随机招募一名拥有特殊专长、技能或职责的追随者。,0,6,0,134149,0,0
9,黑石大厨,开启要塞日常烹饪任务。,0,6,0,236571,0,0
11,矿车,额外的矿工会在你的矿车里装满矿石和其它奇怪的东西。,0,7,3,961629,0,0
12,果园,在你的要塞内开辟一座果园，可生产稀有水果。,9,7,0,133977,0,0
13,精致的剥皮小刀,每小时的皮革产量提高10%。,0,7,0,924154,0,0
22,碎石机,碾碎挖矿时挖出的废石可获得额外材料，可用于修路、制造水泥等。,0,7,3,135236,0,0
23,群体传送,移除每天第一个需要5名追随者参与的任务的行动时间。,0,5,0,413583,0,0
24,城市旅行,开启通往除奥格瑞玛和暴风城之外其他城市的传送门。,0,5,0,135744,0,0
25,机械采摘机,可自动收获药圃中的草药。,0,7,0,132996,0,0
26,PattyMack Test Spec,,0,4,0,0,0,0
27,黑石,每次运到的货物可提供更多的黑石矿石原料。,0,3,0,0,0,0
28,真铁,每次运到的货物可提供更多的真铁矿石原料。,0,3,0,0,0,0
31,水产品,每天提供新鲜的鱼，直接送往你的渔夫小屋！,0,6,3,970842,0,0
32,鱼饵,大大提高你在要塞水域钓鱼时发现鱼饵的几率。,0,6,3,970852,0,0
33,穴居者,使你有一定几率在要塞水域里抓到深寒鲦鱼。这种鱼可以用来召唤深寒穴居者。,0,6,3,970814,0,0
34,学徒实验室,你的炼金实验室开始招收学徒，他们可以每天为你提供一些药水。,0,6,3,413574,0,0
35,转化,实验室专研物质的转化属性，提高质变水晶的日产量。,0,6,3,967514,0,0
36,药剂,实验室专研炼金催化反应，提高炼金催化剂的日产量。,0,6,3,967512,0,0
37,强效战斗的召唤,强化受你战斗的召唤技能影响的部队，可造成更多伤害。,0,6,3,975738,0,0
38,急救,召唤一名急救护士NPC，可每天提供药水和绷带。,0,6,3,135966,0,0
39,监狱,让偶尔抓到的盗贼缴纳罚款或者提供有用情报来赎罪。,0,6,3,136058,0,0
40,矿井守卫,要塞守卫将巡视你的矿井，驱逐充满敌意的鬣蜥人。,0,6,3,132110,0,0
41,大批采购,降低购买建筑和更改专精的成本。,0,6,3,132761,0.5,0
