Name_lang,Description_lang,ID,GarrTalentTreeID,Tier,UiOrder,IconFileDataID,PlayerConditionID,GarrAbilityID,Flags,TalentType,PrerequisiteTalentID,ResearchCostSource,ActiveDurationSecs,GarrTalentSocketPropertiesID
嗜血,可以使用嗜血技能，每天派出的第一个任务的成功率提高${$a701}%。,39,31,0,1,136012,41962,578,0,0,0,0,0,0
复生,在所有任务中可以使用复生技能，成功完成任务有${$a772}%几率使一支消耗殆尽的部队恢复$m772点活力。,40,31,1,1,451167,41955,646,0,0,0,0,0,0
先祖恩赐,你的勇士在成功完成任务后有几率带回勇士武器或装备。,41,31,2,1,237574,41958,788,0,0,0,0,0,0
先祖传说,你可以装备的传说物品数量提高${$a898}。,42,31,5,0,237571,41961,0,0,0,0,0,0,0
元素知识,新招募的小型元素变为巨型元素，使其任务成功率提高${$a638-$a637}%。,43,31,3,0,893777,41959,0,0,0,0,0,0,0
大地的低语,"新招募的唤地者萨满变为大地之环地卜师，获得：

|TInterface\ICONS\ABILITY_RHYOLITH_MAGMAFLOW_WAVE.BLP:20:20:0:0|t |Cffffffff熔岩风暴|R
$@garrabdesc583",44,31,3,1,451165,41959,0,0,0,0,0,0,0
升腾！,"你可以招募升腾者。

升腾者可以随机使带有|C00b3ffff危害|R、|C00b3ffff法术|R或|C00b3ffff爪牙|R的任务成功率提高${$a650}%，此外升腾者还拥有：

|TInterface\ICONS\ABILITY_DUALWIELDSPECIALIZATION.BLP:20:20:0:0|t |Cffffffff升腾者之怒|R
$@garrabdesc531",46,31,4,1,132148,41960,0,0,0,0,0,0,0
幽魂步,你可以下达工作订单，用职业大厅资源交易获得每周3个破碎命运印记中的1个。,49,31,4,0,636335,41960,0,0,0,0,0,0,0
训练场,你的小型和巨型元素、唤地者和地卜师的招募上限提高${$a702}。,52,31,2,0,135776,41958,579,0,0,0,0,0,0
元素束缚,可以获得火焰领主、大地领主、风之领主和水之领主的帮助。每天会有一个随机的元素领主出现在你的职业大厅中，给你提供一个强大的战斗增益。,53,31,1,0,135988,41955,0,0,0,0,0,0,0
灵魂的召唤,使你非重复类的任务奖励额外升级为稀有或史诗品质的几率提高。,54,31,0,0,136014,41962,0,0,0,0,0,0,0
鸿运高照,使你非重复类的任务奖励额外升级为稀有或史诗品质的几率提高。,248,4,0,0,636335,41962,0,0,0,0,0,0,0
启迪,"新招募的部队有几率提升一个等级，使其更为强大。

弟子有几率会变为高手，高手有几率变为大师。",249,4,1,1,648628,41955,0,0,0,0,0,0,0
玄牛之道,新招募的玄牛弟子变为玄牛高手，使其任务成功率提高${$a897-$a695}%。,250,4,3,0,620829,41959,0,0,0,0,0,0,0
白虎之道,"新招募的白虎弟子变为白虎高手，获得：

|TInterface\ICONS\ABILITY_MONK_CRANEKICK_NEW.BLP:20:20:0:0|t |Cffffffff神鹤引项踢|R
$@garrabdesc576",251,4,3,1,611420,41959,0,0,0,0,0,0,0
院舍,你的玄牛弟子、玄牛高手、白虎弟子和白虎高手的招募上限提高${$a694}。,252,4,2,0,651489,41958,571,0,0,0,0,0,0
红包,可以使用红包技能，每天派出的第一个任务的成功率提高${$a693}%。,253,4,0,1,134268,41962,570,0,0,0,0,0,0
酒坊,"每天可以使用一次风暴烈酒旅店中的冒泡的桶。

从冒泡的桶喝酒可以获得宝贵的增益，协助你在破碎群岛完成任务。",254,4,1,0,651573,41955,0,0,0,0,0,0,0
朝圣之旅,你的勇士在成功完成任务后有几率带回勇士武器或装备。,255,4,2,1,775462,41958,785,0,0,0,0,0,0
天选之人,你可以下达工作订单，用职业大厅资源交易获得每周3个破碎命运印记中的1个。,256,4,4,0,656322,41960,0,0,0,0,0,0,0
天神眷顾,"可以招募至尊天神。

天神拥有随机的武僧专精，可以应对|C00b3ffff首领|R，此外还拥有：

|TInterface\ICONS\INV_CELESTIALSERPENTMOUNT.BLP:20:20:0:0|t |Cffffffff群星回响|R
$@garrabdesc749",257,4,4,1,656166,41960,0,0,0,0,0,0,0
武学传说,你可以装备的传说物品数量提高${$a898}。,258,4,5,0,606548,41961,0,0,0,0,0,0,0
艾露恩的眷顾,使你非重复类的任务奖励额外升级为稀有或史诗品质的几率提高。,347,107,0,0,236151,41962,0,0,0,0,0,0,0
回收,你的勇士在成功完成任务后有几率带回勇士武器或装备。,348,107,2,1,1033478,41958,787,0,0,0,0,0,0
旅行形态,在所有任务中可以使用旅行形态技能，使任务时长缩短${100-$a715*100}%。,349,107,1,1,132144,41955,592,0,0,0,0,0,0
休眠,你的梦境林地树人、塞纳留斯的女儿、利爪德鲁伊和林地守护者招募上限提高${$a900}。,350,107,2,0,132136,41958,753,0,0,0,0,0,0
欢笑姐妹,新招募的梦境林地树人变为塞纳留斯的女儿，使其任务成功率提高${$a679-$a678}%。,351,107,3,0,136021,41959,0,0,0,0,0,0,0
森林之力,"新招募的利爪德鲁伊变为林地守护者，获得：

|TInterface\ICONS\ABILITY_DRUID_FLOURISH.BLP:20:20:0:0|t |Cffffffff野性成长|R
$@garrabdesc558",352,107,3,1,132113,41959,0,0,0,0,0,0,0
根须,可以使用根须技能，如果每天派出的第一个任务中带有|C00b3ffff爪牙|R，则该任务成功率提高${$a714}%。,353,107,0,1,134412,41962,591,0,0,0,0,0,0
常青,获得两块肥沃的土地，可以在上面播种和收割植物。每3天可以提供非常有用的物品，可在破碎群岛使用。,354,107,1,0,612099,41955,0,0,0,0,0,0,0
艾露恩的选择,你可以下达工作订单，用职业大厅资源交易获得每周3个破碎命运印记中的1个。,355,107,4,0,611423,41960,0,0,0,0,0,0,0
