ID,Title_lang,GarrTypeID,ClassID,MaxTiers,UiOrder,Flags,UiTextureKitID,GarrTalentTreeType,PlayerConditionID,FeatureTypeIndex,FeatureSubtypeIndex,CurrencyID
4,,3,10,7,0,0,0,0,0,0,0,0
31,,3,7,7,0,0,0,0,0,0,0,0
107,,3,11,7,0,0,0,0,0,0,0,0
110,,3,9,7,0,0,0,0,0,0,0,0
113,,3,3,7,0,0,0,0,0,0,0,0
116,,3,8,7,0,0,0,0,0,0,0,0
119,,3,2,7,0,0,0,0,0,0,0,0
122,,3,1,7,0,0,0,0,0,0,0,0
125,,3,12,7,0,0,0,0,0,0,0,0
128,,3,6,7,0,0,0,0,0,0,0,0
131,,3,4,7,0,0,0,0,0,0,0,0
134,,3,5,7,0,0,0,0,0,0,0,0
150,,111,0,8,0,0,0,1,0,0,0,0
151,,3,0,7,0,0,253,0,0,0,0,0
152,战争研究,9,0,6,0,1,0,0,0,0,0,0
153,战争研究,9,0,6,0,1,0,0,0,0,0,0
260,Visions Research [NYI],9,0,6,0,0,253,0,0,0,0,0
263,纯净圣母的研究 - 单人,9,0,4,0,0,253,0,0,0,0,0
264,纯净圣母的研究 - 组队,9,0,4,0,0,253,0,0,0,0,0
265,纯净圣母的研究 - 搏命,9,0,2,0,0,253,0,0,0,0,0
266,纯净圣母的研究 - 竞速,9,0,2,0,0,253,0,0,0,0,0
267,纯净圣母的研究 - 探索,9,0,3,0,0,253,0,0,0,0,0
268,纯净圣母的研究 - 里程碑,9,0,2,0,0,253,1,0,0,0,0
271,纯净圣母的研究,9,0,6,0,0,5273,1,0,0,0,1719
272,娜德佳，迷雾之刃,111,0,5,0,0,253,1,0,6,0,0
275,织梦者,111,0,12,0,16,0,0,79281,6,3,0
276,尼娅,111,0,12,0,16,0,0,79279,6,3,0
304,德莱文将军,111,0,12,0,16,0,0,79288,6,2,0
307,传送网络,111,0,3,0,16,0,0,0,2,3,0
308,传送网络,111,0,3,0,16,5283,0,0,2,1,0
309,传送网络,111,0,3,0,16,0,0,0,2,2,0
310,传送网络,111,0,3,0,16,0,0,0,2,4,0
311,心能导流器,111,0,3,0,16,0,0,0,1,3,0
312,心能导流器,111,0,3,0,16,5283,0,0,1,1,0
313,心能导流器,111,0,3,0,16,0,0,0,1,4,0
314,心能导流器,111,0,3,0,16,0,0,0,1,2,0
315,指挥台,111,0,3,0,16,0,0,0,3,3,0
316,指挥台,111,0,3,0,16,5283,0,0,3,1,0
317,指挥台,111,0,3,0,16,0,0,0,3,2,0
318,指挥台,111,0,3,0,16,0,0,0,3,4,0
319,女王的温室,111,0,5,0,16,0,0,0,5,3,0
320,晋升之路,111,0,5,0,16,5283,0,0,5,1,0
321,憎恶工厂,111,0,5,0,16,0,0,0,5,4,0
324,灰烬王庭,111,0,5,0,0,0,1,0,5,2,0
325,魔药设计师马里莱斯,111,0,12,0,16,0,0,79284,6,4,0
326,雷文德斯 - 储备升级,111,0,3,0,16,5285,0,0,4,2,0
327,晋升堡垒 - 储备升级,111,0,3,0,16,5283,0,0,4,1,0
328,炽蓝仙野 - 储备升级,111,0,3,0,16,5305,0,0,4,3,0
329,玛卓克萨斯- 储备升级,111,0,3,0,16,5287,0,0,4,4,0
330,艾米妮,111,0,12,0,16,0,0,79285,6,4,0
334,柯莱恩,111,0,12,0,16,0,0,79283,6,3,0
335,Chris Test Tree Set,3,0,2,0,0,0,0,0,0,0,0
345,引导心能,111,0,1,0,0,5283,1,0,7,1,0
346,引导心能,111,0,1,0,0,5305,1,0,7,3,0
347,引导心能,111,0,1,0,0,5287,1,0,7,4,0
348,引导心能,111,0,1,0,0,5285,1,0,7,2,0
349,骨匠海尔米尔,111,0,12,0,16,0,0,81502,6,4,0
357,裴拉戈斯,111,0,12,0,16,0,0,81504,6,1,0
360,克雷雅,111,0,12,0,16,0,0,81505,6,1,0
365,米卡尼科斯,111,0,12,0,16,0,0,81506,6,1,0
368,娜德佳，迷雾之刃,111,0,12,0,16,0,0,81503,6,2,0
392,癫狂公爵西塔尔,111,0,12,0,16,0,0,83261,6,2,0
393,晋升堡垒 - 盟约技能,111,0,2,0,0,5283,1,0,0,1,0
395,玛卓克萨斯 - 盟约技能,111,0,2,0,0,5287,1,0,0,4,0
396,雷文德斯 - 盟约技能,111,0,2,0,0,5279,1,0,0,2,0
397,炽蓝仙野 - 盟约技能,111,0,2,0,0,5301,1,0,0,3,0
461,万物之盒,111,0,6,0,4,5400,1,0,0,0,1904
463,幼龙精通进度,111,0,9,0,0,0,0,0,0,0,42
465,装置升级控制台,111,0,3,0,0,253,1,0,0,0,1979
466,元尊核心,111,0,4,0,0,5273,1,0,0,0,1979
467,幼龙精通进度,111,0,3,0,0,0,1,0,0,0,0
468,元尊核心JZB,9,0,7,0,0,5273,0,0,0,0,1979
474,密文研究控制台,111,0,7,0,12,5415,1,0,8,0,1979
476,波可波克自定义,111,0,6,0,0,5419,0,0,0,0,0
479,雷霆蜥蜴塑像,111,0,3,0,0,5166,1,0,0,0,2011
482,驭龙术技能,111,0,9,0,0,5273,1,0,0,0,0
483,怪物猎手的装备架,111,0,5,0,0,5419,0,0,0,0,0
484,高级驭龙术,111,0,9,0,0,0,1,0,0,0,2045
485,席卡尔狩猎战术,111,0,4,0,0,5415,1,0,0,0,2003
486,选择你的伙伴,111,0,2,0,0,5487,0,0,0,0,2003
487,提莱氏族进度,111,0,4,0,0,5419,1,0,0,0,0
488,海象人钓鱼,111,0,5,0,0,5415,1,0,0,0,0
489,远征队补给品,111,0,6,0,0,5481,1,99463,0,0,2003
491,狩猎行动配置,111,0,4,0,0,5487,0,0,0,0,2003
492,钴蓝集所奥能,111,0,1,0,0,0,1,0,0,0,2003
