ID,BaseTag,TagText_lang,Flags
9597,BUG_BUTTON,Bug及建议,1
9598,CHARACTER_BUTTON,角色信息,1
9599,MAINMENU_BUTTON,主菜单,3
9600,QUESTLOG_BUTTON,任务日志,1
9601,SPELLBOOK_BUTTON,法术书,1
9602,BACKPACK_TOOLTIP,行囊,1
9603,INVENTORY_TOOLTIP,物品栏,1
9605,MELEE_ATTACK,近战攻击,1
9606,ATTACK_SPEED_SECONDS,攻击速度（秒）,1
9607,UNSPENT_TALENT_POINTS,剩余天赋点数：%s,1
9610,DAMAGE_BONUS_TOOLTIP,增加武器伤害,1
9613,EXPERIENCE_COLON,经验值：,1
9614,GUILD_TEMPLATE,%2$s - %1$s,1
9615,HEALTH_COLON,生命值：,1
9616,INTELLECT_COLON,智力：,1
9617,DEFENSE_TOOLTIP,防御,1
9618,MAGIC_RESISTANCES_COLON,魔法抗性：,1
9619,MANA_COLON,法力值：,1
9620,MODIFIERS_COLON,管理员：,1
9621,PLAYER_LEVEL,等级%s |c%s%s %s|r,1
9622,PROFICIENCIES_COLON,精通：,1
9623,SPIRIT_COLON,精神：,1
9625,REPUTATION,声望,1
9626,RESISTANCE0_NAME,护甲,1
9627,RESISTANCE1_NAME,神圣抗性,1
9628,RESISTANCE2_NAME,火焰抗性,1
9629,RESISTANCE3_NAME,自然抗性,1
9630,RESISTANCE4_NAME,冰霜抗性,1
9633,STRENGTH_COLON,力量：,1
9634,TITLE_TEMPLATE,%2$s - %1$s,1
9635,CONTAINER_SLOTS,%d格%s,1
9636,EQUIP_CONTAINER,装备容器,1
9637,HEADSLOT,头部,1
9638,NECKSLOT,颈部,1
9639,SHOULDERSLOT,肩部,1
9640,BACKSLOT,背部,1
9641,SHIRTSLOT,衬衣,1
9642,CHESTSLOT,胸部,1
9643,WAISTSLOT,腰部,1
9644,LEGSSLOT,腿部,1
9645,FEETSLOT,脚,1
9646,WRISTSLOT,腕部,1
9647,HANDSSLOT,手,1
9648,FINGER1SLOT,手指,1
9649,TRINKET0SLOT,饰品,1
9650,TRINKET1SLOT,饰品,1
