ID,Name_lang
1,Test Exclusive Category
4,反魔法护罩
5,寒冰锁链
6,树皮术
7,猎豹形态
8,日月之蚀
9,变形大师
10,旅行形态
11,冰冻陷阱
12,冰霜陷阱
13,法术反制
14,寒冰屏障
15,怒雷破
16,滚地翻
17,奉献
18,自由之手
19,审判
20,消散
21,守护之魂
22,信仰飞跃
23,救赎之魂
24,渐隐术
25,闪避
26,消失
27,野性狼魂
28,幽魂之狼
29,根基图腾
30,闪电之盾
31,萨满之怒
32,灵魂行者的恩赐
33,生命分流
34,不灭决心
35,英勇打击
36,剑在人在
37,英勇飞跃
38,怒击
39,盾墙
40,亡者复生
41,水元素
42,变形术外观
43,复仇之怒
44,心灵震爆
45,伪装
46,逃脱
47,治疗宠物
48,威慑
49,豹群守护
50,闪现术
51,移花接木
52,复苏之雾
53,荣耀圣令
54,复仇者之盾
55,神圣愤怒
56,神圣震击
57,愈合祷言
58,真言术：盾
59,光明之泉
60,群体驱散
61,复原
62,净化术
63,冲锋
64,拳击
65,乘胜追击
66,旋风斩
67,野蛮咆哮
68,清创生血
69,复活宠物
70,熔岩猛击
71,月夜枭兽造型
72,精灵之火
73,驱邪术
74,战吼
75,黑暗游侠
76,鱼叉猛刺
77,凶暴野兽
78,猎人印记
79,信号弹
80,冰霜之路
81,幻影步
82,妖术
83,恶魔卫士
84,碎玉闪电
85,破碎灵魂
86,虚空形态
87,滑翔
88,暗影形态
89,死亡之握
90,召唤魅魔
91,灵魂碎片
92,暗影魔
93,神圣马驹
94,水生形态
95,飞行形态
195,召唤萨亚德
197,奥术魔宠
198,手枪射击
