ID,Question_lang
28,GM对您的问题给出了正确的回答或解决办法吗？
29,这些指示是否很容易理解，或者很容易根据这些指示作出行动？
30,GM在与您对话时是否表现得对相关知识有足够了解？是否对您表示了足够的尊重？是否足够耐心？
31,您对提交帮助请求之后GM联系您所花费的时间长短评价如何？
32,您对帮助您的GM总体评价是？
33,根据您的经验，WoW的GM服务与其它游戏相比如何？
35,基于本次的用户服务体验，您有多大可能向朋友推荐我们的产品和服务？
36,您的问题得到处理了吗？
37,我对GM服务的总体感觉是：
38,本次服务GM的响应时间是：
39,该客服人员的专业水平是：
40,该客服人员的沟通技巧是：
41,该客服人员的总体服务评价是：
42,您对魔兽世界的整体满意度如何？
43,您有多大可能在今后继续玩魔兽世界？
44,您有多大可能向朋友推荐魔兽世界？
45,基于您最近与客服的联系，您对客服人员本次提供服务的满意度如何？
46,该客服人员对我联系客服的原因非常清楚。
47,我被当作了一名尊贵的顾客来对待。
48,该客服人员提供了清晰准确的信息。
49,该客服人员向我解释了如何解决我的问题。
50,您的问题得到解答了吗？
51,您对客服人员与您取得联系之前的等待时间是否满意？
52,该问题在您与客服进行了几次联系后得以解决？
53,这名客服人员对业务十分熟悉。
