CustomGossipDescriptionString_lang,CompletedOptionDescriptionString_lang,ID,GossipMenuID,UiTextureKitID
斯科杜斯之厅不过是托加斯特的无数囚区之一。狱卒斯科杜斯使用野兽、锁链和陷阱来折磨他的囚犯和入侵他的领域的人。,已获得奖励 - 再次完成此难度可以获得少量的额外灵魂灰烬,1,26048,5352
,,2,26191,5336
,,3,26192,5336
断骨密室里，暗影界各处的囚犯的骨头不断碎裂，然后再度愈合，这种残酷的循环就是对他们的折磨。释放这些灵魂，让他们复仇。,已获得奖励 - 再次完成此难度可以获得少量的额外灵魂灰烬,4,26375,5354
凇心间隙悬浮在托加斯特高耸的尖塔之间，是渊誓格里恩的巢穴。他们会进行空袭，将有勇无谋的闯入者丢进下方的黑暗深渊。,已获得奖励 - 再次完成此难度可以获得少量的额外灵魂灰烬,5,26377,5355
莫尔特雷加的地形十分奇异，而且不断变化，困在这里的灵魂也失去了他们从前的模样。典狱长的军队利用他们进行通灵术的实验，将其转化为可怖的怪物。,已获得奖励 - 再次完成此难度可以获得少量的额外灵魂灰烬,6,26378,5353
上层区域是典狱长最热忱的仆从的领域。精英渊誓部队和他们的温西尔盟友在此巡逻，守护着主人最强大的防御工事。,已获得奖励 - 再次完成此难度可以获得少量的额外灵魂灰烬,7,26379,5357
地如其名，扭曲回廊以难以预料的方式纵贯托加斯特的所有囚区，由典狱长的所有类型的爪牙看守。进入这18层塔楼的冒险者里很少有人能够返回。,已获得奖励,8,26380,5358
灵魂在此遭受残酷的命运，他们被注入灵魂熔炉，熔铸到武器和护甲里，给典狱长的军队增添战力。当心这些大厅里肆虐的火焰。,已获得奖励 - 再次完成此难度可以获得少量的额外灵魂灰烬,9,26376,5356
斯科杜斯之厅不过是托加斯特的无数囚区之一。狱卒斯科杜斯使用野兽、锁链和陷阱来折磨他的囚犯和入侵他的领域的人。,已获得奖励 - 再次完成此难度可以获得少量的额外灵魂灰烬,10,26655,5352
断骨密室里，暗影界各处的囚犯的骨头不断碎裂，然后再度愈合，这种残酷的循环就是对他们的折磨。释放这些灵魂，让他们复仇。,已获得奖励 - 再次完成此难度可以获得少量的额外灵魂灰烬,11,26656,5354
灵魂在此遭受残酷的命运，他们被注入灵魂熔炉，熔铸到武器和护甲里，给典狱长的军队增添战力。当心这些大厅里肆虐的火焰。,已获得奖励 - 再次完成此难度可以获得少量的额外灵魂灰烬,12,26657,5356
凇心间隙悬浮在托加斯特高耸的尖塔之间，是渊誓格里恩的巢穴。他们会进行空袭，将有勇无谋的闯入者丢进下方的黑暗深渊。,已获得奖励 - 再次完成此难度可以获得少量的额外灵魂灰烬,13,26658,5355
莫尔特雷加的地形十分奇异，而且不断变化，困在这里的灵魂也失去了他们从前的模样。典狱长的军队利用他们进行通灵术的实验，将其转化为可怖的怪物。,已获得奖励 - 再次完成此难度可以获得少量的额外灵魂灰烬,14,26659,5353
上层区域是典狱长最热忱的仆从的领域。精英渊誓部队和他们的温西尔盟友在此巡逻，守护着主人最强大的防御工事。,已获得奖励 - 再次完成此难度可以获得少量的额外灵魂灰烬,15,26660,5357
地如其名，扭曲回廊以难以预料的方式纵贯托加斯特的所有囚区，由典狱长的所有类型的爪牙看守。进入这18层塔楼的冒险者里很少有人能够返回。|n|n不受万物之盒影响。,已获得奖励,16,26661,5358
,,17,25967,5283
,,18,26513,5283
,,19,26517,5287
,,20,26516,5285
,,21,26514,5302
,,22,26131,5283
,,23,26132,5302
,,24,26133,5287
,,25,26041,5285
,,26,26324,5283
,,27,26323,5283
,,28,26327,5283
,,29,26322,5283
,,30,26326,5283
,,31,26328,5287
,,32,26342,5287
,,33,26344,5287
,,34,26341,5287
,,35,26343,5287
,,36,26346,5302
,,37,26347,5302
,,38,26348,5302
,,39,26345,5302
,,40,26349,5302
,,41,26356,5285
,,42,26355,5285
,,43,26358,5285
,,44,26354,5285
,,45,26357,5285
最近刚发现的坚钢宝库是典狱长囚禁他最憎恨的囚犯的地方。,已获得奖励 - 再次完成此难度可以获得少量的额外灵魂灰烬,46,26812,5354
闯过8层塔楼，挑战来自托加斯特所有区域的生物和首领。你越往上攀登，难度就会越高。|n|n推荐带上朋友一起挑战|n|n不受万物之盒影响。,已获得奖励,47,27436,5358
闯过8层塔楼，挑战来自托加斯特所有区域的生物和首领。你越往上攀登，难度就会越高。|n|n推荐带上朋友一起挑战|n|n不受万物之盒影响。,已获得奖励,48,27491,5358
,,50,32917,5551
,,51,32924,5551
,,52,33048,5551
,,53,33148,5551
,,54,33198,5551
,,56,33340,5551
,,57,33398,5551
,,58,33426,5551
,,59,33664,5551
,,60,33804,5551
,,61,33912,5551
,,63,33965,5551
,,64,34040,5551
