ID,Name_lang,OrderIndex
1,决战奥格瑞玛,1
2,东部王国,0
3,卡利姆多,0
5,死亡矿井,0
6,血槌炉渣矿井,0
7,钢铁码头,0
8,奥金顿,0
9,通天峰,0
10,恐轨车站,1
11,永茂林地,0
12,影月墓地,10
13,黑石塔上层,0
14,悬槌堡,0
15,黑石铸造厂,0
16,纳克萨玛斯,0
17,冰冠堡垒,0
18,通灵学院,0
19,影牙城堡,0
20,地狱火城墙,0
21,鲜血熔炉,0
22,破碎大厅,0
23,奴隶围栏,0
24,幽暗沼泽,0
25,蒸汽地窟,0
26,法力陵墓,0
27,奥金尼地穴,0
28,塞泰克大厅,0
29,暗影迷宫,0
30,血色大厅,0
31,血色修道院,0
32,逃离敦霍尔德,0
33,开启黑暗之门,0
34,能源舰,0
35,生态船,0
36,禁魔监狱,0
37,魔导师平台,0
38,乌特加德城堡,0
39,乌特加德之巅,0
40,艾卓-尼鲁布,0
41,魔环,0
42,闪电大厅,0
43,岩石大厅,0
44,净化斯坦索姆,0
45,达克萨隆要塞,0
46,古达克,0
47,安卡赫特：古代王国,0
48,紫罗兰监狱,0
49,魔枢,0
50,冠军的试炼,0
51,灵魂洪炉,0
52,萨隆矿坑,0
53,映像大厅,0
54,潮汐王座,0
55,黑石岩窟,0
56,格瑞姆巴托,0
57,起源大厅,0
58,巨石之核,0
59,旋云之巅,0
60,托维尔失落之城,0
61,青龙寺,10
62,风暴烈酒酿造厂,0
63,影踪禅院,0
64,魔古山宫殿,0
65,围攻砮皂寺,0
66,残阳关,0
67,永茂林地,0
68,德拉诺,0
69,外域,0
70,诺森德,0
71,潘达利亚,0
73,十字军的试炼,0
74,红玉圣殿,0
75,黑翼血环,0
76,暮光堡垒,0
77,风神王座,0
78,火焰之地,0
79,巨龙之魂,0
80,魔古山宝库,5
81,恐惧之心,4
82,永春台,3
83,雷电王座,2
84,随机潘达利亚地下城,0
86,塞拉摩的沦陷,0
102,酝酿风暴,0
103,公海激战,0
104,雪山血战,0
105,遗忘之王古墓,0
106,潘达利亚的黑暗之心,0
107,随机潘达利亚场景战役,0
108,怒焰之谜,0
109,随机德拉诺地下城,0
110,地狱火堡垒,0
111,随机军团再临地下城,0
112,艾萨拉之眼,9
113,黑心林地,12
114,英灵殿,10
115,奈萨里奥的巢穴,10
116,突袭紫罗兰监狱,40
117,守望者地窟,13
118,黑鸦堡垒,17
119,噬魂之喉,40
120,群星庭院,10
121,魔法回廊,40
122,翡翠梦魇,40
123,暗夜要塞,3
124,破碎群岛,0
125,重返卡拉赞,41
126,勇气试炼,2
127,卡拉赞下层,5
128,卡拉赞上层,6
129,永夜大教堂,41
130,恐痕裂隙,0
131,萨格拉斯之墓,4
132,安托鲁斯，燃烧王座,5
133,执政团之座,41
134,阿古斯,0
135,奥迪尔,0
136,随机争霸艾泽拉斯地下城,0
137,阿塔达萨,30
138,地渊孢林,10
139,塞塔里斯神庙,30
140,暴富矿区！！,30
141,诸王之眠,30
142,自由镇,10
143,风暴神殿,30
144,托尔达戈,30
145,维克雷斯庄园,30
146,围攻伯拉勒斯,30
247,库尔提拉斯,0
248,赞达拉,0
249,海岛探险,0
251,达萨罗之战,0
252,风暴熔炉,0
253,麦卡贡行动,30
254,永恒王宫,0
255,激流堡之战,0
256,麦卡贡行动 - 垃圾场,30
257,麦卡贡行动 - 车间,30
258,尼奥罗萨，觉醒之城,0
259,凋魂之殇,20
260,彼界,20
261,赎罪大厅,20
262,塞兹仙林的迷雾,20
263,赤红深渊,20
264,晋升高塔,20
265,通灵战潮,20
266,伤逝剧场,20
267,纳斯利亚堡,0
269,世界首领,0
270,暗影国度,0
271,统御圣所,0
272,塔扎维什，帷纱集市,20
273,扭曲回廊,0
274,斯科杜斯之厅,1
275,上层区域,1
276,灵魂熔炉,0
277,莫尔特雷加,0
278,断骨密室,0
279,凇心间隙,0
280,塔扎维什：琳彩天街,20
281,塔扎维什：索·莉亚的宏图,20
282,初诞者圣墓,0
283,典狱长的挑战,0
284,巨龙时代,0
302,艾杰斯亚学院,10
303,蕨皮山谷,10
304,注能大厅,10
305,奈萨鲁斯,10
306,红玉新生法池,10
307,碧蓝魔馆,10
308,诺库德阻击战,10
309,奥达曼：提尔的遗产,10
310,化身巨龙牢窟,0
313,亚贝鲁斯，焰影熔炉,0
