ID,Description_lang
1,"这一次，暗月马戏团来到了风景如画的艾尔文森林。

去拜访希拉斯·暗月和他的马戏团，玩一玩考验头脑和胆量的游戏，看一看来自艾泽拉斯各地的奇特珍品……还有更多的乐趣在等着你！"
2,艾泽拉斯的大庆典！每个种族的主城中都会燃放美丽的烟花，每小时一次，整夜不停！
4,"在荆棘谷沿岸举行的钓鱼大赛。钓到尽可能多的可口鱼！

你会不会成为第一个钓到可口鱼并赢得大奖的钓鱼大师呢？在比赛开始后的两个小时内都能够钓起可口鱼，但是如果你想赢的话，动作一定要快哦！"
8,"美酒节最初是矮人的节日，但现在已经成为了艾泽拉斯所有种族都喜欢的节日！

前往铁炉堡外面的联盟营地，或是奥格瑞玛外面的部落营地参加狂欢吧！"
9,艾泽拉斯的各大主城中，弥漫着浪漫温馨的气息。卫兵与市民们正在忙碌地送出和收到各种代表倾慕之情的礼物。
10,一个欢笑与庆祝的时刻，以纪念一年中最热的季节。
11,"在日落之后，伴随着每小时一次的焰火舞会，仲夏火焰节将缓缓落下帷幕。

想要观看表演的话，可以前去各大主城或者藏宝海湾。"
12,让孤儿看看英雄的生活是怎样的！拜访暴风城的孤儿监护员奈丁加尔，奥格瑞玛的孤儿监护员巴特维尔，沙塔斯城的孤儿院长莫希，达拉然的孤儿监护员艾蕊娅，达萨罗的看护者帕戴，或是伯拉勒斯的孤儿院长维斯特森。让孩子们梦想成真吧！
13,冬天爷爷正在带着烟林牧场的礼物访问铁炉堡和奥格瑞玛。整个艾泽拉斯到处充满着节日的喜庆气氛！
14,复活节到了。许多彩蛋巧妙地隐藏在每个种族的新手区域——年轻的英雄们初次检验自己力量的地方，你能找到多少呢？
15,"万圣节是被遗忘者庆祝自己摆脱天灾军团控制的节日。

艾泽拉斯的旅店老板们会向所有上门问候的人送出糖果或恶作剧，到处都是欢乐的笑声。"
16,收获节的意义，在于纪念那些为帮助朋友和伙伴而牺牲的英雄们。奥格瑞玛和铁炉堡外都在举行盛宴，向那些英雄表示敬意。
17,月光林地的德鲁伊每年都会举行一次庆典，以庆祝他们对一股远古的邪恶力量所取得的胜利。在春节期间，艾泽拉斯的人民可以祭拜睿智的祖先，共享美味的盛宴，还有……绚丽的烟花！
18,由矮人创立的美酒节，现在已经成为世界性的享受美酒与快乐时光的欢庆节日。
21,"德梅萨船长正在地精城市藏宝海湾征募海盗。

如果你对海盗生涯感兴趣的话，就去各大主城拜访她和她的随从们吧！"
22,奥特兰克山谷的战斗愈发激烈。在奥特兰克山谷浴血奋战的勇士们必将载誉而归。
23,阿拉希盆地的战斗愈发激烈。在阿拉希盆地浴血奋战的勇士们必将载誉而归。
24,风暴之眼的战斗愈发激烈。在风暴之眼浴血奋战的勇士们必将载誉而归。
25,战歌峡谷的战斗愈发激烈。在战歌峡谷浴血奋战的勇士们必将载誉而归。
26,"这一次，暗月马戏团来到了雷霆崖的脚下。

去拜访希拉斯·暗月和他的马戏团，玩一玩考验头脑和胆量的游戏，看一看来自艾泽拉斯各地的奇特珍品……还有更多的乐趣在等着你！"
27,"这一次，暗月马戏团来到了沙塔斯城外。

去拜访希拉斯·暗月和他的马戏团，玩一玩考验头脑和胆量的游戏，看一看来自艾泽拉斯各地的奇特珍品……还有更多的乐趣在等着你！"
41,远古海滩的战斗愈发激烈。在远古海滩浴血奋战的勇士们必将载誉而归。
61,"巫妖王之怒于11月13日正式上线。

诺森德再会……"
81,"在悼念日，人们会聚集在墓地来告慰逝者的亡魂。

届时任何主城的公墓都会举行仪式，在那里有悼念日食品、舞蹈、化装聚会和其他活动。"
101,感恩节是一场感谢好运，并将自己的幸福和周围的人们共同分享的节日。
121,征服之岛的战斗愈发激烈。在征服之岛浴血奋战的勇士们必将载誉而归。
141,Test test
161,卡鲁亚克人每隔几天就会在诺森德举办一次钓鱼大赛。第一位钓到黑鳍鲨的人将会赢得卡鲁亚克人的敬意，并且获得一份惊喜！
162,在昔日荣耀的阴影中，吉尔尼斯之战仍在继续。入侵的被遗忘者试图从受诅咒的保卫者手中夺取城市的控制权，喋血街头的激烈巷战正在上演。
163,为了争夺艾泽拉斯东部高地上的富饶区域，蛮锤矮人和龙喉兽人已经持续争斗了二十余载。
164,10对10评级战场已经开放。与其他9名玩家组团，在PVP菜单中排队进入评级战场队列以参加比赛，获取征服点数。
165,15对15评级战场已经开放。与其他14名玩家组团，在PVP菜单中排队进入评级战场队列以参加比赛，获取征服点数。
166,25对25评级战场已经开放。与其他24名玩家组团，在PVP菜单中排队进入评级战场队列以参加比赛，获取征服点数。
188,"又到魔兽世界周年庆了！

这是来自魔兽世界开发团队的感谢，希望您能够继续享受在艾泽拉斯世界的冒险，与我们一起探索未知的未来。"
