Name_lang,ID,Field_12_0_0_63967_001,Flags,Field_12_0_0_63724_002,RoomWmoDataID,UiTextureAtlasElementID,WeightCost,ItemID,SortPriority
方形房间（小型）,1,1,4,0,5,31139,5,0,120
走廊,2,1,4,0,7,31132,3,0,150
储藏室,3,1,4,0,4,31130,1,0,145
T形房间,6,1,4,0,162,31143,3,0,320
方形房间（微小）,7,1,4,0,3,31140,2,0,110
L形房间,8,1,4,0,163,31133,3,0,310
八边形房间（中型）,9,1,4,0,165,31135,8,0,220
楼梯间（左）,10,1,6,0,8,31142,7,0,420
方形房间（中型）,11,1,0,0,160,31138,12,0,130
方形房间（大型）,12,1,0,0,6,31137,20,0,140
十字形房间,13,1,4,0,161,31131,4,0,330
八边形房间（小型）,14,1,4,0,164,31136,4,0,210
八边形房间（大型）,15,1,0,0,166,31134,16,0,230
基础中型地块,18,1,5,0,172,0,0,0,0
入口,46,1,5,0,177,0,0,0,0
楼梯间（空）,48,1,6,0,179,31144,6,0,430
楼梯间（右）,50,1,6,0,180,31141,7,0,410
奥格瑞玛议事厅,132,3,8,0,202,35463,20,274673,840
奥格瑞玛石坑室,151,3,8,0,219,35465,5,274675,820
日光圆形房间,223,3,8,0,233,32639,8,272045,710
夜光圆形房间,233,3,8,0,255,32640,8,0,720
暴风城军械库,273,3,8,0,305,35471,12,272997,930
暴风城厨房,277,3,8,0,326,35474,5,274667,920
暴风城陈列室,281,3,8,0,328,35472,5,274666,910
暴风城大厅,282,3,8,0,336,35473,20,274665,940
银月城军械库,283,3,8,0,337,35467,12,274663,1030
银月城高层书房,285,3,8,0,345,35469,20,274664,1040
银月城陈列室,286,3,8,0,346,35468,5,274661,1010
贝拉梅斯神殿室,287,3,8,0,347,35461,20,274670,1140
贝拉梅斯会议室,288,3,8,0,348,35460,12,274668,1130
贝拉梅斯剧院,289,3,8,0,349,35462,5,274669,1120
贝拉梅斯隐秘卧室,290,3,8,0,350,35459,5,274671,1110
奥格瑞玛剧院,292,3,8,0,352,35466,12,274674,830
奥格瑞玛陈列室,294,3,8,0,353,35464,5,274676,810
银月城小型书房,307,3,8,0,371,35470,5,274662,1020
秋日西部荒野谷仓,400,3,8,0,378,36094,18,276243,750
春日西部荒野谷仓,401,3,8,0,379,36095,18,276244,760
