Money,Title_lang,Description_lang,ID,DecorID,DecorQuantity,Field_12_0_0_63534_006,Favor,RewardQuestID
50,tiger test reward [DNT],,1,0,0,0,0,0
0,里程碑 1,文化节商贩解锁新物品,2,0,0,0,0,0
0,里程碑 2,文化节商贩解锁新物品,3,0,0,0,0,0
0,里程碑 3,文化节商贩解锁新物品,4,0,0,0,0,0
0,文化节完成奖励,,5,0,0,0,0,93262
0,文化节完成奖励,,21,0,0,0,0,93262
0,文化节完成奖励,,22,0,0,0,0,93262
0,文化节完成奖励,,23,0,0,0,0,93262
0,文化节完成奖励,,24,0,0,0,0,93262
0,文化节完成奖励,,25,0,0,0,0,93262
0,文化节完成奖励,,26,0,0,0,0,93262
0,文化节完成奖励,,27,0,0,0,0,93262
0,文化节完成奖励,,28,0,0,0,0,93262
0,文化节完成奖励,,29,0,0,0,0,93262
