ID,Display_lang,OverallQualityID,ExpansionID,MinFactionID,MinReputation,AllowableClass,RequiredLevel,RequiredSkill,RequiredSkillRank,RequiredAbility,ItemLevel,Flags[0],Flags[1],Flags[2],Flags[3],Flags[4],AllowableRaces[0],AllowableRaces[1]
25,破损的短剑,1,0,0,0,-1,1,0,0,0,1,0,8192,8388608,0,0,-1,-1
35,弯曲的法杖,1,0,0,0,-1,1,0,0,0,1,0,8192,8388608,0,0,-1,-1
36,用旧的钉锤,1,0,0,0,-1,1,0,0,0,1,0,8192,8388608,0,0,-1,-1
37,破损的斧头,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
38,新兵衬衣,2,0,0,0,-1,0,0,0,0,1,36864,8192,8388608,0,0,-1,-1
39,新兵短裤,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
40,新兵之靴,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
43,侍从之靴,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
44,侍从短裤,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
45,侍从衬衣,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
47,盗贼之鞋,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
48,盗贼短裤,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
49,盗贼衬衣,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
51,见习牧师之靴,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
52,见习牧师短裤,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
53,见习牧师衬衣,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
55,学徒之靴,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
56,学徒长袍,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
57,侍僧长袍,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
59,侍僧鞋,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
60,夹层外衣,1,0,0,0,-1,0,0,0,0,2,0,8192,8388608,0,0,-1,-1
61,矮人皮质短裤,1,0,0,0,-1,0,0,0,0,2,0,8192,8388608,0,0,-1,-1
79,矮人布质短裤,1,0,0,0,-1,0,0,0,0,2,0,8192,8388608,0,0,-1,-1
80,柔软的毛边鞋,1,0,0,0,-1,0,0,0,0,2,0,8192,8388608,0,0,-1,-1
85,肮脏的皮外衣,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
120,刺客短裤,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
121,刺客之靴,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
127,捕兽者衬衣,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
129,皱褶捕兽者之靴,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
139,打斗者短裤,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
140,打斗者之靴,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
147,皱褶捕兽者短裤,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
148,皱褶捕兽者衬衣,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
153,粗糙的褶裙,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
154,粗糙的衬衣,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
193,破布外衣,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
194,破布短裤,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
195,破布战靴,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
200,厚布外衣,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
