ID,Title_lang,BodyText_lang,JournalEncounterID,OrderIndex,ParentSectionID,FirstChildSectionID,NextSiblingSectionID,Type,IconCreatureDisplayInfoID,UiModelSceneID,SpellID,IconFileDataID,Flags,IconFlags,DifficultyMask
816,强力踩踏,索朗格斯重踏地面，使格瑞姆巴托的墙壁开始落石。索朗格斯如果持盾在手则不会使用强力踩踏。,132,1,0,0,817,2,0,0,0,132368,0,0,-1
817,落石,在索朗格斯的强力踩踏将格瑞姆巴托的城墙震松后，石头碎块会纷纷落下，对$74986A1码半径范围内的任意一名玩家造成伤害。如果玩家不离开这个区域，则会每秒受到$74986s1点物理伤害。,132,2,0,0,818,2,0,0,0,132153,0,0,-1
818,拣选武器,索朗格斯有几把让人胆寒的武器。在战斗中的某个时段，他会随机选择使用巨盾、双剑或是一把惩罚之锤。所使用的武器将使其短时间内获得新技能。,132,3,0,0,819,1,0,0,0,134400,0,0,-1
819,盾技能,,132,4,0,820,823,0,0,0,0,0,1,0,-1
820,盾墙,索朗格斯每10秒会随机将他的盾指向一名玩家。站在盾前的玩家对索朗格斯所造成的伤害降低$74909s1%。,132,5,819,0,821,2,0,0,0,331053,0,2,-1
821,烈焰之箭,当索朗格斯装备上他的盾后，弓箭手就会持续从头顶的窗口处向玩家射出火焰箭矢。每被射中一箭，玩家会受到$74944s1点火焰伤害。,132,6,819,0,822,2,0,0,0,132312,0,0,-1
822,烈焰盾,索朗格斯的盾会向正面60度锥形范围内喷出火焰，被火焰所包围的敌对目标每秒会受到$90830s1点火焰伤害。,132,7,819,0,0,2,0,0,0,134982,2,8,14
823,剑技能,,132,8,0,824,828,0,0,0,0,0,1,0,-1
824,双持利刃,索朗格斯双持两把烈焰长剑，在此期间他可以连续使用这两把剑斩杀敌人，但所造成的物理伤害降低$74981s3%。,132,9,823,0,825,2,0,0,0,132147,0,0,-1
825,痛击,当索朗格斯挥动长剑时，偶尔会发动2次额外攻击。,132,10,823,0,826,2,0,0,0,132152,0,0,-1
826,惊魂咆哮,"索朗格斯发出一声惊天的怒吼，使玩家的攻击和施法速度降低$74976s1%。玩家可以通过施放法术或使用技能来移除这个效果。$[!2,4

在英雄模式下惊魂咆哮会使玩家的攻击和施法速度降低150%，每次当玩家施法或使用技能时，这个效果降低$74976s1%。$]",132,11,823,0,827,2,0,0,0,132352,0,0,-1
827,燃烧烈焰,烈焰之刃会灼烧索朗格斯近战攻击的目标，每$90764t1秒造成$90764s1点火焰伤害，持续$90764d。该效果可以叠加，但一次驱散即可清除所有叠加的效果。,132,12,823,0,0,2,0,0,0,135822,2,140,14
828,锤技能,,132,13,0,829,0,0,0,0,0,0,1,0,-1
829,阻挠,索朗格斯手中这柄锤子重量惊人，因此他的移动速度降低$75007s2%，但物理伤害提高$75007s1%。,132,14,828,0,830,2,0,0,0,133490,0,1,-1
830,穿刺猛击,索朗格斯跳向一个随机目标，用手中的锤子猛击对方，每$75056t3秒造成$75056s3点物理伤害，持续$75056d。,132,15,828,0,831,2,0,0,0,133490,0,0,-1
831,火团熔岩,当索朗格斯手持锤子移动时，他的身后会留下一片片火焰。对站在其中的玩家每秒造成$90754s1点火焰伤害。,132,16,828,0,0,2,0,0,0,135822,2,8,14
2010,第一阶段：烈焰之拳和冰霜之拳,,89,1,0,2011,2014,0,0,0,0,0,1,0,-1
2011,烈焰之拳,"格拉布托克的双拳包裹着火焰，使他的每次近战攻击可以造成$87874s1点火焰伤害。

此外，当格拉布托克发动一次近战攻击时，他会有几率造成$87896s1点火焰伤害，并将$87896A1码内的敌人击飞。",89,2,2010,0,2012,2,0,0,0,135817,0,0,-1
2012,寒冰之拳,"格拉布托克的双拳散发着寒气，使他的每次近战攻击可以造成$87899s1点冰霜伤害。

此外，当格拉布托克发动一次近战攻击时，还有几率造成$87901s1点冰霜伤害，并使周围$87901A1码内的所有敌人的移动速度降低$87901s2%，近战和远程攻击频率降低$87901s3%，施法时间延长$87901s3%，持续$87901d。",89,3,2010,0,2013,2,0,0,0,135785,0,0,-1
2013,闪现术,"当烈焰之拳或是寒冰之拳效果消失后，格拉布托克会随机传送到一名玩家身旁。$[!2,4

在英雄难度下，当格拉布托克施放闪现法术时，他对所有敌人的仇恨清零。$]",89,4,2010,0,0,2,0,0,0,135736,0,0,-1
2014,第二阶段：奥术能量！,当格拉布托克的生命值降到50%后，他会闪现到房间的中间，漂浮在空中。随后格拉布托克会在房间中随机施放火焰绽放和冰霜绽放。,89,5,0,2015,0,0,0,0,0,0,1,0,-1
2015,火焰绽放,"格拉布托克向屋内的某个随机位置施放火焰绽放，2秒后落地。当火焰绽放落地后，它会将周围$88173A1码半径内的敌人击飞，并对其造成$88173s1点火焰伤害。$[!2,4

在英雄难度下，无论该法术落在何处，一只盛焰生物都会从烈焰中出现并开始攻击。$]",89,6,2014,2018,2016,2,0,0,0,135817,0,0,-1
2016,冰霜绽放,"格拉布托克向屋内的某个随机位置施放冰霜绽放，2秒后落地。当冰霜绽放落地后，它会对周围$88177A1码半径内所有敌人造成$88177s1点冰霜伤害，并使其移动速度降低$88177s2%，近战和远程攻击频率降低$88177s3%，施法时间延长$88177s3%，持续$88177d。$[!2,4

在英雄模式下，无论该法术落在何处，一只重霜生物都会从寒冰中出现并开始攻击。$]",89,8,2014,2019,2017,2,0,0,0,135785,0,0,-1
2017,火墙,在施放奥术能量后，格拉布托克会召唤一面缓慢围绕他旋转的火墙。没有躲开火墙的玩家将每秒受到$91397s1点火焰伤害。,89,10,2014,0,0,2,0,0,0,135926,2,8,14
2018,盛焰,该元素生物的生命值非常低。,89,7,2015,0,0,1,4607,0,0,0,2,8,14
2019,重霜,该元素生物的生命值非常低。,89,9,2016,0,0,1,30160,0,0,0,2,8,14
2020,第一阶段：炸弹来啦！,赫利克斯·破甲跳到伐木场巨怪的背上，开始命令伐木场巨怪，并同时投掷黏性炸弹。,90,1,0,2021,2026,0,0,0,0,0,1,0,-1
2021,黏性炸弹,赫利克斯会持续地向一名随机玩家所在地投掷一枚黏性炸弹。6秒后如果炸弹侦测到周围1码范围内有玩家，炸弹就会爆炸。黏性炸弹如果没有被玩家触发，则会在侦测结束后的18秒内自爆。黏性炸弹爆炸后会对$88321A1码范围内的敌人造成$88321s1点伤害，并将其击飞。,90,2,2020,0,2022,2,0,0,0,136173,0,0,-1
2022,巨怪碾打,"伐木场巨怪会周期性地抓起一名玩家，然后跑到房间离入口最远的位置。巨怪随后会飞快地奔跑并将该名玩家砸到房间另一侧的原木上，将该玩家击退并造成100点物理伤害。$[!2,4

在英雄模式下，巨怪碾打会对目标玩家造成物理伤害，数值相当于该玩家生命值的$88300s2%。$]",90,3,2020,0,2023,2,0,0,0,132318,0,0,-1
2023,投掷赫利克斯,伐木场巨怪会把赫利克斯从后背上揪下来，然后把这只地精扔向某个玩家，持续10秒。当赫利克斯扑到某个玩家脸上后，他会持续地用拳头捶这名玩家，造成近战伤害。,90,4,2020,0,2024,2,0,0,0,370769,0,0,-1
2024,放置炸弹,当赫利克斯从被附着的玩家身上跳回伐木场巨怪的后背上后，他会给那名玩家留下一颗炸弹。10秒后炸弹爆炸。爆炸会把目标玩家炸到高空，同时对$88250A1码半径内的所有玩家造成$88250s1点火焰伤害。,90,5,2020,0,2025,2,0,0,0,133712,2,8,14
2025,赫利克斯的雇员,赫利克斯的四名雇员会出现在玩家头顶的一根木头上。他们每个人都会周期性地对某个玩家投掷黏性炸弹。,90,6,2020,0,0,1,36379,0,0,0,2,8,14
2026,第二阶段：我不需要他！,在伐木场巨怪死后，赫利克斯·破甲会跌落在地。这时候他会更加频繁地使用黏性炸弹。,90,7,0,2027,0,0,0,0,0,0,1,0,-1
2027,跳跃,赫利克斯会跳到一名玩家的脸上，持续10秒。随后赫利克斯会立即选择一个新玩家，再跳上去。当赫利克斯附着在玩家身上时，他会使用拳头进行近战攻击。,90,8,2026,0,2028,2,0,0,0,370769,0,0,-1
2028,放置炸弹,当赫利克斯跳离一名玩家后，他会留下一颗炸弹。10秒后炸弹爆炸，爆炸会把目标玩家炸到高空，同时对$88250A1码半径内的所有玩家造成$88250s1点火焰伤害。,90,9,2026,0,2029,2,0,0,0,133712,2,8,14
2029,赫利克斯的雇员,玩家头顶的横梁上会出现四名额外的赫利克斯雇员。,90,10,2026,0,0,1,36380,0,0,0,2,8,14
2031,死神打击,死神5000不具备普通近战攻击能力，而是使用死神打击攻击其正前方60度角的锥形区域、半径$88490A1码内的所有目标。,91,2,0,0,2032,2,0,0,0,236303,0,0,-1
2032,超速,死神5000启动超速引擎，每秒对附近的敌人造成$88484s1点物理伤害，持续$88481d。两秒之后，死神5000将开始在屋内疯狂移动，速度提高一倍。,91,3,0,0,2033,2,0,0,0,132369,0,0,-1
2033,收割,死神5000随机选择一个玩家所在的位置，然后朝该位置移动。在移动时，它持续对自己正前方60度角的锥形区域、半径$88501A1码内的所有目标造成$88501s1点物理伤害。当死神5000抵达既定位置后，就会进行一次横扫收割攻击。这种攻击对周围半径$88521A1码范围内的所有敌人造成$88521s1点物理伤害，并将他们击退。,91,4,0,0,2034,2,0,0,0,132338,0,0,-1
