Name_lang,ID,Flags,UiTextureKitID,UiTextureKitElementCount,LearningCurveID
兽人语,1,0,0,0,0
达纳苏斯语,2,0,0,0,0
牛头人语,3,0,0,0,0
矮人语,6,0,0,0,0
通用语,7,0,0,0,0
恶魔语,8,0,0,0,0
泰坦语,9,0,0,0,0
萨拉斯语,10,0,0,0,0
龙语,11,0,0,0,0
卡利麦格语,12,0,0,0,0
侏儒语,13,0,0,0,0
赞达拉语,14,0,0,0,0
亡灵语,33,0,0,0,0
德莱尼语,35,0,0,0,0
僵尸语,36,0,0,0,0
侏儒二进制,37,0,0,0,0
地精二进制,38,0,0,0,0
吉尔尼斯语,39,0,0,0,0
地精语,40,0,0,0,0
熊猫人语,42,0,0,0,0
熊猫人语,43,0,0,0,0
熊猫人语,44,0,0,0,0
林精语,168,0,0,0,0
沙斯亚尔语,178,0,0,0,0
水生语,179,0,0,0,0
枭兽语,180,0,0,0,0
夏拉斯语,181,0,0,0,0
萨拉斯语,182,0,0,0,0
狐人语,285,0,0,0,0
复合密文,287,0,0,0,0
基础密文,288,0,0,0,0
节拍语,290,7,5410,36,0
低音语,291,7,5410,36,0
高音语,292,7,5410,36,0
前调语,293,7,5410,36,0
中调语,294,7,5410,36,0
浅频语,295,7,5410,36,0
深频语,296,7,5410,36,0
嵌入语言,297,2,0,0,0
不可知语,298,7,5410,36,0
熊怪语,303,1,5508,36,62550
土灵语,304,1,0,36,69564
蛛魔语,307,0,0,0,0
