ID,Name_lang,TypeID,Parent_group_ID,Order_index
1,经典地下城,1,0,114
2,燃烧的远征（普通）,1,0,113
3,燃烧的远征（英雄）,1,0,112
4,巫妖王之怒（普通）,1,0,111
5,巫妖王之怒（英雄）,1,0,110
6,经典团队副本,2,0,522
7,燃烧的远征团队副本,2,0,521
8,巫妖王之怒团队副本（10人）,2,0,520
9,巫妖王之怒团队副本（25人）,2,0,519
11,世界事件,0,0,10
12,大地的裂变（英雄）,1,0,108
13,大地的裂变（普通）,1,0,109
14,大地的裂变团队副本（25人）,2,0,517
15,大地的裂变团队副本（10人）,2,0,518
20,评级战场,2,0,1024
33,暮光审判（英雄）,1,0,107
36,熊猫人之谜（英雄）,1,0,105
37,熊猫人之谜（普通）,1,0,106
38,场景战役,1,0,1025
40,熊猫人之谜团队副本（25人）,2,0,516
41,熊猫人之谜团队副本（10人）,2,0,515
43,场景战役（英雄）,1,0,1026
44,时空漫游,0,0,1027
45,熊猫人之谜团队副本（弹性）,2,0,514
46,熊猫人之谜世界首领,2,0,513
47,德拉诺之王（普通）,1,0,104
48,德拉诺之王（英雄）,1,0,103
49,德拉诺之王团队副本（普通）,2,0,510
50,德拉诺之王团队副本（英雄）,2,0,511
51,德拉诺之王团队副本（史诗）,2,0,512
52,军团再临（英雄）,1,0,102
53,军团再临（普通）,1,0,101
54,军团再临团队副本（普通）,2,0,507
55,军团再临团队副本（英雄）,2,0,508
56,军团再临团队副本（史诗）,2,0,509
57,争霸艾泽拉斯（普通）,1,0,99
58,争霸艾泽拉斯（英雄）,1,0,100
159,争霸艾泽拉斯团队副本（普通）,2,0,510
160,争霸艾泽拉斯团队副本（英雄）,2,0,511
161,争霸艾泽拉斯团队副本（史诗）,2,0,512
162,争霸艾泽拉斯（史诗）,1,0,101
163,暗影国度（史诗）,1,0,98
164,暗影国度（英雄）,1,0,97
165,暗影国度（普通）,1,0,96
166,流放者离岛,1,0,115
167,暗影国度团队副本（史诗）,2,0,95
168,暗影国度团队副本（英雄）,2,0,94
169,暗影国度团队副本（普通）,2,0,93
170,巨龙时代（史诗）,1,0,92
171,巨龙时代（英雄）,1,0,91
172,巨龙时代（普通）,1,0,90
