ID,Name_lang,ResourceName_lang,Verb_lang,CursorName,EnumID,TrackingIcon
1,开锁,锁上的物品,开锁,PickLock,0,0
2,草药学,药草,采集,GatherHerbs,1,17635
3,采矿,矿点,采矿,Mine,2,17636
4,解除陷阱,陷阱,解除,,3,0
5,打开,未锁上的物品,打开,,4,0
6,Treasure (DND),宝物,,,5,0
7,Calcified Elven Gems (DND),Calcified Elven Gems,,,6,0
8,关闭,未锁上的物品,关闭,,7,0
9,设置陷阱,陷阱,设置,,8,0
10,快速打开,未锁上的物品,打开,,9,0
11,快速关闭,未锁上的物品,关闭,,10,0
12,Open Tinkering,未锁上的物品,打开,,11,0
13,Open Kneeling,未锁上的物品,打开,,12,0
14,Open Attacking,未锁上的物品,打开,,13,0
15,Gahz'ridian (DND),加兹瑞迪安,,,14,0
16,Blasting,锁上的物品,冲击,,15,0
17,PvP开启,未锁上的物品,打开,,16,0
18,PvP关闭,未锁上的物品,关闭,,17,0
19,钓鱼,钓鱼,钓鱼,FishingCursor,18,17634
20,铭文,书典,译解,,19,0
21,从载具上打开,未锁上的物品,打开,,20,0
22,考古学,碎片,调查,,21,0
23,PvP快速开启,未锁上的物品,开启,,22,0
28,伐木场,木材,收获,HarvestTimber,23,0
29,剥皮,皮革,剥皮,skin,24,0
30,远古魔力,魔力矿脉,精粹,Extract,25,0
31,战况板,战况板,观察,,26,0
32,草药学,草药,采集,GatherHerbs,27,17635
33,草药学,草药,采集,GatherHerbs,28,17635
34,草药学,草药,采集,GatherHerbs,29,17635
35,草药学,草药,采集,GatherHerbs,30,17635
36,草药学,草药,采集,GatherHerbs,31,17635
37,草药学,草药,采集,GatherHerbs,32,17635
38,草药学,草药,采集,GatherHerbs,33,17635
39,草药学,草药,采集,GatherHerbs,34,17635
40,采矿,矿点,采矿,Mine,35,17636
41,采矿,矿点,采矿,Mine,36,17636
42,采矿,矿点,采矿,Mine,37,17636
43,采矿,矿点,采矿,Mine,38,17636
44,采矿,矿点,采矿,Mine,39,17636
45,采矿,矿点,采矿,Mine,40,17636
46,采矿,矿点,采矿,Mine,41,17636
47,采矿,矿点,采矿,Mine,42,17636
48,剥皮,皮革,剥皮,skin,43,0
149,打开（锁上的背包物品打开）,未锁上的物品,打开,,44,0
150,搜索,搜索,搜索,ForagePlants,45,0
152,蜜胶块,蜂蜜,采集,,46,0
153,草药学,草药,采集,GatherHerbs,47,17635
155,采矿,矿点,采矿,Mine,48,17636
157,盟约：法夜,未锁上的物品,开启,,49,0
158,盟约：温西尔,未锁上的物品,开启,,50,0
159,盟约：格里恩,未锁上的物品,开启,,51,0
160,盟约：通灵领主,未锁上的物品,开启,,52,0
161,专业：工程学,,关闭,,53,0
162,巨龙群岛草药学,草药,采集,GatherHerbs,54,17635
163,采矿,矿点,采矿,Mine,55,17636
166,草药学,草药,采集,GatherHerbs,56,17635
167,采矿,矿点,采矿,Mine,57,17636
169,附魔,附魔物品,分解,,58,0
170,巨龙群岛宝藏,宝藏,打开,Open,59,0
172,巨龙群岛炼金 25,未锁上的物品,打开,,60,0
173,巨龙群岛锻造 25,未锁上的物品,打开,,61,0
174,巨龙群岛附魔 25,未锁上的物品,打开,,62,0
175,巨龙群岛工程学 25,未锁上的物品,打开,,63,0
176,巨龙群岛草药学 25,未锁上的物品,打开,,64,17635
177,巨龙群岛铭文 25,未锁上的物品,打开,,65,0
178,巨龙群岛珠宝加工 25,未锁上的物品,打开,,66,0
179,巨龙群岛制皮 25,未锁上的物品,打开,,67,0
180,巨龙群岛采矿 25,未锁上的物品,打开,,68,17636
181,巨龙群岛剥皮 25,未锁上的物品,打开,,69,0
182,巨龙群岛裁缝 25,未锁上的物品,打开,,70,0
186,跪姿打开 - 植物,未锁上的物品,采摘,,71,0
188,巨龙群岛采矿,矿点,矿洞,Mine,72,17636
