ID,Directory,MapName_lang,MapDescription0_lang,MapDescription1_lang,PvpShortDescription_lang,PvpLongDescription_lang,Corpse[0],Corpse[1],MapType,InstanceType,ExpansionID,AreaTableID,LoadingScreenID,TimeOfDayOverride,ParentMapID,CosmeticParentMapID,TimeOffset,MinimapIconScale,CorpseMapID,MaxPlayers,WindSettingsID,ZmpFileDataID,WdtFileDataID,NavigationMaxDistance,Flags[0],Flags[1],Flags[2]
0,Azeroth,东部王国,,,,,0,0,1,0,0,0,4,-1,-1,-1,0,1,-1,0,17,804940,775971,0,142622301,134479888,136
1,Kalimdor,卡利姆多,,,,,0,0,1,0,0,0,3,-1,-1,-1,0,1,-1,0,17,804935,782779,0,142622301,134479888,136
30,PVPZone01,奥特兰克山谷,"坐落在奥特兰克山脉深处的奥特兰克山谷，是霜狼氏族的家园。雷矛矮人在这里建造了一座要塞，并试图深入山谷寻找宝藏，还有关于他们先祖历史的线索。

这是一处大型战场，参战双方都要竭尽全力摧毁对方的防御塔楼，消灭敌方将军（范达尔·雷矛或德雷克塔尔）。","坐落在奥特兰克山脉深处的奥特兰克山谷，是霜狼氏族的家园。雷矛矮人在这里建造了一座要塞，并试图深入山谷寻找宝藏，还有关于他们先祖历史的线索。

这是一处大型战场，参战双方都要竭尽全力摧毁对方的防御塔楼，消灭敌方将军（范达尔·雷矛或德雷克塔尔）。",击杀敌方首领,"- 占领敌方塔楼与碉堡
- 击杀敌方领袖
- 将敌方援军降至0",0,0,1,3,0,0,104,-1,-1,-1,0,1,-1,0,0,0,790112,0,1553,135004168,0
33,Shadowfang,影牙城堡,,,,,-230.989,1571.57,1,1,0,0,204,-1,-1,-1,0,1,0,10,0,0,790796,0,1565,134479880,0
34,StormwindJail,暴风城监狱,,,,,-8762.379,848.0103,2,1,0,717,194,-1,-1,-1,0,1,0,10,0,0,791060,0,1553,134479880,0
36,DeadminesInstance,死亡矿井,,,,,-11207.8,1681.15,1,1,0,0,142,-1,-1,-1,0,1,0,10,0,0,780605,0,1553,134479880,0
43,WailingCaverns,哀嚎洞穴,,,,,-751.1312,-2209.2405,2,1,0,718,143,-1,-1,-1,0,1,1,10,0,0,791429,0,1553,134479880,0
47,RazorfenKraulInstance,剃刀沼泽,,,,,-4459.449,-1660.2118,1,1,0,0,188,-1,-1,-1,0,1,1,10,0,0,790640,0,1553,134479880,0
48,Blackfathom,黑暗深渊,,,,,4249.1206,748.3871,2,1,0,719,196,-1,-1,-1,0,1,1,10,0,0,780169,0,1553,134479880,0
70,Uldaman,奥达曼,,,,,-6060.1816,-2954.9973,2,1,0,1337,144,-1,-1,-1,0,1,0,10,0,0,791372,0,1553,134479880,0
90,GnomeragonInstance,诺莫瑞根,,,,,-5162.6616,931.59875,2,1,0,721,193,-1,-1,-1,0,1,0,10,0,0,782773,0,1553,134479880,0
109,SunkenTemple,沉没的神庙,,,,,-10291.7,-3987.63,2,1,0,1477,191,-1,-1,-1,0,1,0,10,0,0,791166,0,1553,134479880,0
129,RazorfenDowns,剃刀高地,,,,,-4662.883,-2535.8716,1,1,0,0,145,-1,-1,-1,0,1,1,10,0,0,790517,0,1553,134479880,0
169,EmeraldDream,翡翠梦境,,,,,0,0,1,2,0,0,0,-1,-1,-1,0,1,-1,40,0,0,780817,0,1553,134479880,0
189,MonasteryInstances,旧血色修道院,,,,,2892.2354,-811.2637,1,1,0,0,190,-1,-1,-1,0,1,0,10,0,0,788662,0,1553,134479880,0
209,TanarisInstance,祖尔法拉克,,,,,-6790.5767,-2891.278,1,1,0,0,146,-1,-1,-1,0,1,1,10,0,0,791169,0,1553,134479880,0
229,BlackRockSpire,黑石塔下层,,,,,-7522.527,-1233.0415,2,1,0,1583,189,-1,-1,-1,0,1,0,10,0,0,780175,0,1537,134479880,0
230,BlackrockDepths,黑石深渊,,,,,-7178.0947,-928.63947,2,1,0,1584,103,-1,-1,-1,0,1,0,5,0,0,780172,0,1553,134479880,0
249,OnyxiaLairInstance,奥妮克希亚的巢穴,,,,,-4753.3125,-3752.4211,2,2,0,2159,61,-1,-1,-1,0,1,1,40,0,0,789922,0,34305,134479880,0
269,CavernsOfTime,开启黑暗之门,,,,,-8750.827,-4193.513,1,1,1,0,212,-1,-1,-1,0,1,1,5,0,0,829736,0,1553,134479880,0
289,SchoolofNecromancy,通灵学院,,,,,1274.7812,-2552.564,1,1,0,0,102,-1,-1,-1,0,1,0,5,0,0,790713,0,1553,134479880,0
309,Zul'gurub,古城祖尔格拉布,,,,,-11916.06,-1224.5771,1,1,0,1977,161,-1,-1,-1,0,1,0,20,0,0,791432,0,525841,134479880,0
329,Stratholme,斯坦索姆,,,,,3392.317,-3378.4832,1,1,0,0,101,-1,-1,-1,0,1,0,5,0,0,791063,0,1553,134479880,0
349,Mauradon,玛拉顿,,,,,-1432.6971,2924.9775,2,1,0,2100,81,-1,-1,-1,0,1,1,10,0,0,788656,0,1553,134479880,0
369,DeeprunTram,矿道地铁,,,,,-8349.224,517.34796,2,0,0,2257,205,-1,-1,-1,0,1,0,0,0,0,780788,0,268437009,134480384,128
389,OrgrimmarInstance,怒焰裂谷,,,,,1816.7559,-4423.3716,2,1,0,2437,195,-1,-1,-1,0,1,1,10,0,0,789981,0,1553,134479880,0
