ID,Name_lang,HonorLevel,BadgeTextureFileDataID,Flags,AwardedAchievementID
1,荣誉等级5级,5,1375574,0,12893
2,荣誉等级10级,10,1375575,0,12894
3,荣誉等级15级,15,1375576,0,12895
4,荣誉等级20级,20,1375577,0,12900
6,荣誉等级25级,25,1551554,1,12901
8,荣誉等级30级,30,1551555,1,12902
9,荣誉等级40级,40,1551556,1,12903
10,荣誉等级50级,50,1551557,1,12904
11,荣誉等级60级,60,1567394,0,12905
12,荣誉等级70级,70,1597388,0,12906
13,荣誉等级80级,80,1597390,0,12907
14,荣誉等级90级,90,1597392,0,12908
15,荣誉等级100级,100,1597394,0,12909
16,荣誉等级125级,125,1597397,0,12910
17,荣誉等级150级,150,1597398,0,12911
18,荣誉等级175级,175,1597399,0,12912
19,荣誉等级200级,200,1597400,0,12913
20,荣誉等级250级,250,1713158,0,12914
21,荣誉等级300级,300,1713159,0,12915
22,荣誉等级400级,400,1713160,0,12916
23,荣誉等级500级,500,1713161,0,12917
24,荣誉等级600级,253,1713162,0,0
25,荣誉等级750级,254,1713163,0,0
26,荣誉等级1000级,255,1713164,0,0
