ID,InfoName_lang,Type,Modifiers,Profession
1,组队,0,2,0
21,职业,0,0,0
41,PvP,0,0,0
62,团队,0,0,0
81,地下城,0,0,0
82,世界事件,0,0,0
83,传说,0,0,0
84,护送,0,0,0
85,英雄,0,0,0
88,团队（10）,0,0,0
89,团队（25）,0,0,0
98,场景战役,0,0,0
102,账号,0,0,0
104,支线任务,0,0,0
107,神器,0,0,0
109,世界任务,2,256,0
110,史诗世界任务,2,268,0
111,精英世界任务,2,258,0
112,史诗精英世界任务,2,334,0
113,PvP世界任务,3,256,0
114,急救世界任务,1,256,129
115,战斗宠物世界任务,4,256,0
116,锻造世界任务,1,256,164
117,制皮世界任务,1,256,165
118,炼金术世界任务,1,256,171
119,草药学世界任务,1,256,182
120,采矿世界任务,1,256,186
121,裁缝世界任务,1,256,197
122,工程学世界任务,1,256,202
123,附魔世界任务,1,256,333
124,剥皮世界任务,1,256,393
125,珠宝加工世界任务,1,256,755
126,铭文世界任务,1,256,773
128,大使任务,5,272,0
129,考古学世界任务,1,256,794
130,钓鱼世界任务,1,256,356
131,烹饪世界任务,1,256,185
135,稀有世界任务,2,257,0
136,稀有精英世界任务,2,267,0
137,地下城世界任务,6,267,0
139,军团入侵世界任务,7,296,0
140,评级奖励,3,272,0
141,团队副本世界任务,8,266,0
142,军团入侵精英世界任务,7,266,0
143,抗魔联军捐献,9,272,0
144,抗魔联军世界任务,2,334,0
145,抗魔联军地下城世界任务,6,331,0
146,军团入侵世界任务,11,0,0
147,战线 - 贫瘠之地,0,0,0
148,搜索,0,0,0
151,麦格尼世界任务 - 艾泽里特,2,256,0
152,Tortollan World Quest - 8.0,2,256,0
153,战线贡献,9,272,0
254,海岛任务,0,0,0
255,战争模式PvP,0,0,0
256,PvP征服,10,272,0
259,阵营突袭世界任务,12,360,0
260,阵营突袭精英世界任务,12,330,0
261,海岛每周任务,13,144,0
263,公共任务,0,16,0
264,威胁目标,5,272,0
265,隐藏任务,5,272,0
266,战友任务,0,0,0
267,专业,0,0,0
268,威胁结局,14,272,0
270,威胁大使任务,14,272,0
271,使命任务,15,0,0
272,温西尔聚会任务,2,448,0
273,噬渊灵魂刷新追踪,5,272,0
278,PvP精英世界任务,3,258,0
279,禁忌离岛特使任务,9,0,0
281,驭龙竞速,16,0,0
282,重要任务,0,0,0
283,有完成提示的奖励目标,0,512,0
