ID,Name_lang,Description_lang,Rarity,SpellID,ResearchBranchID,NumSockets,TextureFileID,RequiredWeight
9,锡镴酒杯,铁炉堡矮人最初由三个部族组成：铜须、蛮锤和黑铁。经过一次激烈的内战，铜须部族完全掌握了铁炉堡。蛮锤部族撤退到辛特兰和暮光高地。黑铁矮人定居于赤脊山和燃烧平原之间，黑石山的阴影中。,0,86857,1,1,461832,35
13,Test: Rare Dwarf Project Test 1,,1,84796,0,5,0,50
40,陶瓷骨灰坛,铁炉堡矮人最初由三个部族组成：铜须、蛮锤和黑铁。经过一次激烈的内战，铜须部族完全掌握了铁炉堡。蛮锤部族撤退到辛特兰和暮光高地。黑铁矮人定居于赤脊山和燃烧平原之间，黑石山的阴影中。,0,86864,1,1,461832,35
42,破旧的猎刀,铁炉堡矮人最初由三个部族组成：铜须、蛮锤和黑铁。经过一次激烈的内战，铜须部族完全掌握了铁炉堡。蛮锤部族撤退到辛特兰和暮光高地。黑铁矮人定居于赤脊山和燃烧平原之间，黑石山的阴影中。,0,86865,1,0,461832,30
44,骨制游戏骰,铁炉堡矮人最初由三个部族组成：铜须、蛮锤和黑铁。经过一次激烈的内战，铜须部族完全掌握了铁炉堡。蛮锤部族撤退到辛特兰和暮光高地。黑铁矮人定居于赤脊山和燃烧平原之间，黑石山的阴影中。,0,86866,1,0,461832,32
70,狮鹫石像,铁炉堡矮人最初由三个部族组成：铜须、蛮锤和黑铁。经过一次激烈的内战，铜须部族完全掌握了铁炉堡。蛮锤部族撤退到辛特兰和暮光高地。黑铁矮人定居于赤脊山和燃烧平原之间，黑石山的阴影中。,0,88180,1,1,461832,35
72,银制颈环,铁炉堡矮人最初由三个部族组成：铜须、蛮锤和黑铁。经过一次激烈的内战，铜须部族完全掌握了铁炉堡。蛮锤部族撤退到辛特兰和暮光高地。黑铁矮人定居于赤脊山和燃烧平原之间，黑石山的阴影中。,0,88181,1,1,461832,34
77,赞达拉巫毒人偶,已知最早的巨魔来自于赞达拉部族，这个部族也是所有其他巨魔的起源。随着历史的推演，赞达拉巨魔成为超越于一切巨魔之上的牧师阶层，致力于记录和保存巨魔的社会和文化传统。在赞达拉分裂出来的许多部族中，最具权威的是古拉巴什和阿曼尼。,0,88262,8,0,461842,27
87,希里克神像,已知最早的巨魔来自于赞达拉部族，这个部族也是所有其他巨魔的起源。随着历史的推演，赞达拉巨魔成为超越于一切巨魔之上的牧师阶层，致力于记录和保存巨魔的社会和文化传统。在赞达拉分裂出来的许多部族中，最具权威的是古拉巴什和阿曼尼。,0,88907,8,0,461842,30
89,蜥蜴脚足咒符,已知最早的巨魔来自于赞达拉部族，这个部族也是所有其他巨魔的起源。随着历史的推演，赞达拉巨魔成为超越于一切巨魔之上的牧师阶层，致力于记录和保存巨魔的社会和文化传统。在赞达拉分裂出来的许多部族中，最具权威的是古拉巴什和阿曼尼。,0,88908,8,0,461842,32
91,木制口哨,铁炉堡矮人最初由三个部族组成：铜须、蛮锤和黑铁。经过一次激烈的内战，铜须部族完全掌握了铁炉堡。蛮锤部族撤退到辛特兰和暮光高地。黑铁矮人定居于赤脊山和燃烧平原之间，黑石山的阴影中。,0,88909,1,0,461832,28
93,安威玛尔纹饰带扣,铁炉堡矮人最初由三个部族组成：铜须、蛮锤和黑铁。经过一次激烈的内战，铜须部族完全掌握了铁炉堡。蛮锤部族撤退到辛特兰和暮光高地。黑铁矮人定居于赤脊山和燃烧平原之间，黑石山的阴影中。,0,88910,1,0,426727,34
95,黑色三叶虫,化石是远古时代动植物躯体存留至今的遗迹。在漫长的岁月中，生物的有机组织逐渐被矿物质取代，使得这些组织的外形结构能够得以保存。,0,88929,3,0,426727,31
97,美丽的蕨类化石,化石是远古时代动植物躯体存留至今的遗迹。在漫长的岁月中，生物的有机组织逐渐被矿物质取代，使得这些组织的外形结构能够得以保存。,0,88930,3,0,426727,25
99,上层精灵的小盒,卡多雷是艾泽拉斯最古老的种族之一。在卡多雷历史中最黑暗的时刻，他们之中的奎尔多雷，也就是居于高位的上层精灵肆意滥用危险的魔法力量，导致燃烧军团进入这个世界。无数生命因此而毁灭。,0,89009,4,0,426727,30
101,象牙嵌镶梳,卡多雷是艾泽拉斯最古老的种族之一。在卡多雷历史中最黑暗的时刻，他们之中的奎尔多雷，也就是居于高位的上层精灵肆意滥用危险的魔法力量，导致燃烧军团进入这个世界。无数生命因此而毁灭。,0,89012,4,0,426727,30
103,不体面的丝质长袍,卡多雷是艾泽拉斯最古老的种族之一。在卡多雷历史中最黑暗的时刻，他们之中的奎尔多雷，也就是居于高位的上层精灵肆意滥用危险的魔法力量，导致燃烧军团进入这个世界。无数生命因此而毁灭。,0,89014,4,0,426727,30
106,化石幼兽,这些小迅猛龙的骨头颇有些不同寻常的地方。它空空的眼窝却似乎并非空无一物。那里面是不是还闪动着一丝生命的光彩？,1,89693,3,0,458961,85
108,镶角披风,卡多雷是艾泽拉斯最古老的种族之一。在卡多雷历史中最黑暗的时刻，他们之中的奎尔多雷，也就是居于高位的上层精灵肆意滥用危险的魔法力量，导致燃烧军团进入这个世界。无数生命因此而毁灭。,0,89696,4,1,426727,35
112,红目玉角蝰,已知最早的巨魔来自于赞达拉部族，这个部族也是所有其他巨魔的起源。随着历史的推演，赞达拉巨魔成为超越于一切巨魔之上的牧师阶层，致力于记录和保存巨魔的社会和文化传统。在赞达拉分裂出来的许多部族中，最具权威的是古拉巴什和阿曼尼。,0,89701,8,1,426727,35
114,羽饰黄金耳环,已知最早的巨魔来自于赞达拉部族，这个部族也是所有其他巨魔的起源。随着历史的推演，赞达拉巨魔成为超越于一切巨魔之上的牧师阶层，致力于记录和保存巨魔的社会和文化传统。在赞达拉分裂出来的许多部族中，最具权威的是古拉巴什和阿曼尼。,0,89711,8,1,426727,34
118,火拳的宝石杯,铁炉堡矮人最初由三个部族组成：铜须、蛮锤和黑铁。经过一次激烈的内战，铜须部族完全掌握了铁炉堡。蛮锤部族撤退到辛特兰和暮光高地。黑铁矮人定居于赤脊山和燃烧平原之间，黑石山的阴影中。,0,89717,1,1,426727,34
120,诡异的燃棘神像,已知最早的巨魔来自于赞达拉部族，这个部族也是所有其他巨魔的起源。随着历史的推演，赞达拉巨魔成为超越于一切巨魔之上的牧师阶层，致力于记录和保存巨魔的社会和文化传统。在赞达拉分裂出来的许多部族中，最具权威的是古拉巴什和阿曼尼。,0,89890,8,1,426727,35
122,赤红宝石,已知最早的巨魔来自于赞达拉部族，这个部族也是所有其他巨魔的起源。随着历史的推演，赞达拉巨魔成为超越于一切巨魔之上的牧师阶层，致力于记录和保存巨魔的社会和文化传统。在赞达拉分裂出来的许多部族中，最具权威的是古拉巴什和阿曼尼。,0,89891,8,1,426727,35
124,埃雷萨拉斯硬币,卡多雷是艾泽拉斯最古老的种族之一。在卡多雷历史中最黑暗的时刻，他们之中的奎尔多雷，也就是居于高位的上层精灵肆意滥用危险的魔法力量，导致燃烧军团进入这个世界。无数生命因此而毁灭。,0,89893,4,1,426727,35
126,破损的战刃,卡多雷是艾泽拉斯最古老的种族之一。在卡多雷历史中最黑暗的时刻，他们之中的奎尔多雷，也就是居于高位的上层精灵肆意滥用危险的魔法力量，导致燃烧军团进入这个世界。无数生命因此而毁灭。,0,89894,4,1,426727,35
128,扭曲的鹦鹉螺壳,化石是远古时代动植物躯体存留至今的遗迹。在漫长的岁月中，生物的有机组织逐渐被矿物质取代，使得这些组织的外形结构能够得以保存。,0,89895,3,0,426727,35
130,绿龙之环,卡多雷是艾泽拉斯最古老的种族之一。在卡多雷历史中最黑暗的时刻，他们之中的奎尔多雷，也就是居于高位的上层精灵肆意滥用危险的魔法力量，导致燃烧军团进入这个世界。无数生命因此而毁灭。,0,89896,4,1,426727,35
139,救赎者图纳迪尔的残剑,铁炉堡矮人最初由三个部族组成：铜须、蛮锤和黑铁。经过一次激烈的内战，铜须部族完全掌握了铁炉堡。蛮锤部族撤退到辛特兰和暮光高地。黑铁矮人定居于赤脊山和燃烧平原之间，黑石山的阴影中。,0,90410,1,1,426727,35
141,显眼的门环,铁炉堡矮人最初由三个部族组成：铜须、蛮锤和黑铁。经过一次激烈的内战，铜须部族完全掌握了铁炉堡。蛮锤部族撤退到辛特兰和暮光高地。黑铁矮人定居于赤脊山和燃烧平原之间，黑石山的阴影中。,0,90411,1,1,426727,35
143,纹饰靴跟,铁炉堡矮人最初由三个部族组成：铜须、蛮锤和黑铁。经过一次激烈的内战，铜须部族完全掌握了铁炉堡。蛮锤部族撤退到辛特兰和暮光高地。黑铁矮人定居于赤脊山和燃烧平原之间，黑石山的阴影中。,0,90412,1,1,426727,34
145,纯金夜壶,铁炉堡矮人最初由三个部族组成：铜须、蛮锤和黑铁。经过一次激烈的内战，铜须部族完全掌握了铁炉堡。蛮锤部族撤退到辛特兰和暮光高地。黑铁矮人定居于赤脊山和燃烧平原之间，黑石山的阴影中。,0,90413,1,1,426727,35
147,锤核翼盔,铁炉堡矮人最初由三个部族组成：铜须、蛮锤和黑铁。经过一次激烈的内战，铜须部族完全掌握了铁炉堡。蛮锤部族撤退到辛特兰和暮光高地。黑铁矮人定居于赤脊山和燃烧平原之间，黑石山的阴影中。,0,90415,1,1,426727,35
149,铁星的化石盾牌,铁炉堡矮人最初由三个部族组成：铜须、蛮锤和黑铁。经过一次激烈的内战，铜须部族完全掌握了铁炉堡。蛮锤部族撤退到辛特兰和暮光高地。黑铁矮人定居于赤脊山和燃烧平原之间，黑石山的阴影中。,0,90419,1,1,426727,36
153,头骨形种植器,已知最早的巨魔来自于赞达拉部族，这个部族也是所有其他巨魔的起源。随着历史的推演，赞达拉巨魔成为超越于一切巨魔之上的牧师阶层，致力于记录和保存巨魔的社会和文化传统。在赞达拉分裂出来的许多部族中，最具权威的是古拉巴什和阿曼尼。,0,90420,8,1,426727,35
155,玉币手镯,已知最早的巨魔来自于赞达拉部族，这个部族也是所有其他巨魔的起源。随着历史的推演，赞达拉巨魔成为超越于一切巨魔之上的牧师阶层，致力于记录和保存巨魔的社会和文化传统。在赞达拉分裂出来的许多部族中，最具权威的是古拉巴什和阿曼尼。,0,90421,8,1,426727,35
157,加兹瑞拉雕像,已知最早的巨魔来自于赞达拉部族，这个部族也是所有其他巨魔的起源。随着历史的推演，赞达拉巨魔成为超越于一切巨魔之上的牧师阶层，致力于记录和保存巨魔的社会和文化传统。在赞达拉分裂出来的许多部族中，最具权威的是古拉巴什和阿曼尼。,0,90423,8,1,426727,35
159,阿塔莱节杖,已知最早的巨魔来自于赞达拉部族，这个部族也是所有其他巨魔的起源。随着历史的推演，赞达拉巨魔成为超越于一切巨魔之上的牧师阶层，致力于记录和保存巨魔的社会和文化传统。在赞达拉分裂出来的许多部族中，最具权威的是古拉巴什和阿曼尼。,0,90429,8,1,426727,35
161,魔暴龙的牙齿,化石是远古时代动植物躯体存留至今的遗迹。在漫长的岁月中，生物的有机组织逐渐被矿物质取代，使得这些组织的外形结构能够得以保存。,0,90432,3,0,426727,35
163,琥珀里的昆虫,化石是远古时代动植物躯体存留至今的遗迹。在漫长的岁月中，生物的有机组织逐渐被矿物质取代，使得这些组织的外形结构能够得以保存。,0,90433,3,0,426727,35
165,卡多雷土罐,卡多雷是艾泽拉斯最古老的种族之一。在卡多雷历史中最黑暗的时刻，他们之中的奎尔多雷，也就是居于高位的上层精灵肆意滥用危险的魔法力量，导致燃烧军团进入这个世界。无数生命因此而毁灭。,0,90451,4,1,426727,35
167,远古鲨鱼颌骨,化石是远古时代动植物躯体存留至今的遗迹。在漫长的岁月中，生物的有机组织逐渐被矿物质取代，使得这些组织的外形结构能够得以保存。,0,90452,3,0,426727,35
