Name_lang,ID,SpecSetID,InventoryTypeMask,SpellID,ItemBonusListID,PlayerConditionID,Field_9_0_1_34972_007,UnlockItemID,CovenantID,Field_9_1_0_38549_010
顺滑寒冰,2,22,192,327508,6823,85782,63,183281,0,0
冷锋,3,22,1114144,327284,6828,85779,60,183278,0,0
冻结寒风,4,22,1026,327364,6829,85780,61,183279,0,0
冰川碎片,5,22,65664,327492,6830,85781,62,183280,0,0
拓展潜能,6,162,320,327489,6831,85768,49,183267,0,0
纪律严明,7,162,2560,327365,6832,85132,48,183266,0,0
恐怖冰锥,8,162,14,333393,6937,85769,50,183268,0,0
时霎扭曲,9,162,1050656,327351,6834,85774,55,183273,0,0
狂热法咒,10,23,1090,333030,6931,85775,56,183274,0,0
火焰风暴,11,23,2056,333097,6932,85776,58,183275,0,0
熔火天降,12,23,516,333167,6933,85777,57,183276,0,0
太阳之王的祝福,13,23,1536,333313,6934,85778,59,183277,0,0
无穷奥术,14,21,1032,332769,6926,85772,53,183271,0,0
奥术轰炸,15,21,65792,332892,6927,85771,52,183270,0,0
风暴虹吸,16,21,1408,332928,6928,85773,54,183272,0,0
三一结界,17,162,1048612,333373,6936,85770,51,183269,0,92618
聚凝痛楚,18,8,66048,337504,7041,85718,18,183213,0,0
邪能轰炸,19,8,14,337775,7052,85128,19,183210,0,92614
黑眼勋章,20,8,68,337534,7043,85717,17,183212,0,0
至暗时刻,21,8,160,337539,7044,85716,16,183211,0,0
漆黑天性,22,9,392,346264,7218,85722,21,183217,0,0
混沌理论,23,9,1088,337551,7050,85719,20,183214,0,0
古怪的邪能核心,24,9,2304,337685,7051,85720,22,183215,0,0
灼烧之伤,25,9,65568,346279,7219,85721,23,183216,0,0
黑炎之魂,26,10,6,337541,7045,85726,25,183221,0,0
拉瑟莱克的污秽,27,10,640,337544,7046,85725,27,183220,0,0
强固邪焰,28,10,2112,337545,7047,85723,24,183218,0,0
炽热灵魂,29,10,1536,337547,7048,85724,26,183219,0,0
超级菌株,30,43,36,334974,6953,85703,3,182627,0,0
猜疑之息,31,43,14,335177,6954,85702,2,182626,0,92612
死亡之拥,32,43,2560,334728,6947,85127,0,182617,0,0
永生之握,33,43,320,334724,6948,85701,1,182625,0,0
布伦达尔之力,34,5,65792,334501,6940,85704,4,182628,0,0
赤红符文武器,35,5,1096,334525,6941,85705,5,182629,0,0
血魔统御,36,5,384,334580,6943,85706,6,182630,0,0
吸血光环,37,5,2080,334547,6942,85707,7,182631,0,0
库尔迪拉之眷,38,6,2056,334583,6944,85711,10,182635,0,0
刺骨之寒,39,6,66,334678,6945,85709,8,182633,0,0
绝对零度,40,6,516,334692,6946,85708,9,182632,0,0
冰封勇士之怒,41,6,3584,341724,7160,85710,11,182634,0,0
复活的蹒跚者,42,7,192,334836,6949,85715,15,182640,0,0
狂热畸兽,43,7,65664,334888,6950,85714,14,182638,0,0
死亡终途,44,7,1030,334898,6951,85713,13,182637,0,0
致命缠绕,45,7,65568,334949,6952,85712,12,182636,0,0
深度专注饮剂,46,48,1048612,338658,7086,85728,31,183224,0,92615
生死循环,47,48,2050,338657,7085,85727,30,183223,0,0
莱卡拉的惊鸿一瞥,48,48,320,340059,7110,85729,29,183225,0,0
德鲁伊长者之誓,49,48,520,338608,7084,85129,28,183222,0,0
欧奈斯的洞察,50,15,65792,338661,7087,85731,32,183227,0,0
原始奥能脉冲星,51,15,3080,338668,7088,85732,33,183228,0,0
万物平衡,52,15,384,339942,7107,85730,34,183226,0,0
古朴缚梦者,53,15,1050656,339949,7108,85733,35,183229,0,0
狂乱兽群,54,16,576,340053,7109,85737,39,183233,0,0
顶级捕食者的渴望,55,16,72,339139,7091,85734,38,183230,0,0
惊恐对称之眼,56,16,1030,339141,7090,85736,37,183232,0,0
猫眼奇珍,57,16,2052,339144,7089,85735,36,183231,0,0
丝瓜精粹的拥抱,58,17,1114144,339060,7092,85738,40,183234,0,0
自然秩序的意志,59,17,1538,339063,7093,85739,41,183235,0,0
乌索克的铭记之怒,60,17,65664,339056,7094,85740,42,183236,0,0
沉睡者的遗产,61,17,320,339062,7095,85741,43,183237,0,0
母亲之树的回忆,62,18,640,339064,7096,85744,44,183240,0,0
黑暗泰坦之训,63,18,65540,338831,7097,85745,45,183241,0,0
翡翠灌注,64,18,66568,338829,7098,85742,46,183238,0,0
无尽春天的愿景,65,18,386,338832,7099,85743,47,183239,0,0
荒野的召唤,66,163,2560,336742,7003,85131,147,183250,0,0
奈辛瓦里的陷阱装置,67,163,324,336743,7004,85754,146,183252,0,0
魂铸余烬,68,163,2058,336745,7005,85755,145,183253,0,0
示弱战术,69,163,36,336747,7006,85753,144,183251,0,92617
凶暴命令,70,44,2080,336819,7007,85756,151,183254,0,0
火妖的眼镜蛇钉刺,71,44,384,336822,7008,85757,150,183255,0,0
奎普拉，艾瑞达战争指令,72,44,1032,336830,7009,85758,148,183256,0,0
飞龙追猎者的刺骨之牙,73,44,65920,336844,7010,85759,149,183257,0,0
鹰爪的全神贯注,74,14,1090,336849,7011,85760,155,183258,0,0
激涌射击,75,14,516,336867,7012,85763,153,183261,0,0
巨蛇追猎者的诡计,76,14,2056,336870,7013,85762,152,183260,0,0
无懈警戒之秘,77,14,1536,336878,7014,85761,154,183259,0,0
野火弹簇,78,20,192,336895,7015,85767,159,183265,0,0
飞龙追猎者的混乱打击,79,20,65664,336901,7016,85766,157,183264,0,0
潜藏毒素注射器,80,20,1026,336902,7017,85765,158,183263,0,0
屠夫的白骨碎片,81,20,65568,336907,7018,85764,156,183262,0,0
魂游天外,82,164,36,343250,7184,85784,67,183284,0,92619
祈求者之愉,83,164,65546,337298,7082,85783,66,183283,0,0
乾坤腾挪,84,164,320,337294,7080,85785,65,183285,0,0
致命之触,85,164,2560,337296,7081,85133,64,183282,0,0
