SourceText_lang,ID,ItemID,Flags,SourceTypeEnum
|cFFFFD200掉落：|r世界掉落,1,1973,0,0
|cFFFFD200黑市拍卖行|r,4,32566,0,2
|cFFFFD200黑市拍卖行|r,5,33223,0,2
|cFFFFD200黑市拍卖行|r,7,38578,0,2
|cFFFFD200节日：|r情人节|n|cFFFFD200商人出售：|r可爱的商贩|n|cFFFFD200地区：|r各大主城|n|cFFFFD200价格：|r10|TINTERFACE\ICONS\INV_VALENTINESCARD01.BLP:0|t|n|n,9,34480,0,6
|cFFFFD200特殊|r,12,67097,0,7
|cFFFFD200商人出售：|r特克斯·垂旋|n|cFFFFD200地区：|r艾萨拉|n|cFFFFD200价格：|r5000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,16,68806,0,2
|cFFFFD200商人出售：|r艾拉·影暴|n|cFFFFD200地区：|r熔火前线|n|cFFFFD200价格：|r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,17,70161,0,2
|cFFFFD200世界事件：|r万圣节|n|cFFFFD200商人出售：|r查布/多萝西|n|cFFFFD200地区：|r提瑞斯法林地/暴风城|n|cFFFFD200价格：|r150|TINTERFACE\ICONS\ACHIEVEMENT_HALLOWEEN_CANDY_01.BLP:0|t|n|n,18,70722,0,6
|cFFFFD200特殊|r,19,72161,0,7
|cFFFFD200掉落：|r潘达利亚,20,72231,2,0
|cFFFFD200掉落：|r利眼约里克|n|cFFFFD200地区：|r锦绣谷,21,86568,0,0
|cFFFFD200掉落：|r灵魂窃贼康戈|n|cFFFFD200地区：|r锦绣谷,22,86571,0,0
|cFFFFD200掉落：|r哈瓦克|n|cFFFFD200地区：|r昆莱山,23,72221,2,0
|cFFFFD200掉落：|r乌戈拉克斯|n|cFFFFD200地区：|r锦绣谷,24,86575,0,0
|cFFFFD200掉落：|r斯基提克|n|cFFFFD200地区：|r昆莱山,25,72225,2,0
|cFFFFD200任务：|r艾露恩的祝福|n|cFFFFD200地区：|r月光林地,29,21540,0,1
,30,33079,2,7
|cFFFFD200专业技能：|r考古学,33,64651,0,3
|cFFFFD200商人出售：|r奥鲁特·埃雷古、洛尔克·锐须|n|cFFFFD200地区：|r风暴峭壁|n|cFFFFD200价格：|r10|TINTERFACE\ICONS\INV_MISC_RUNE_14.BLP:0|t,34,43499,0,2
|cFFFFD200掉落：|r泰罗克|n|cFFFFD200地区：|r泰罗卡森林,99,32782,0,0
|cFFFFD200黑市拍卖行|r,100,34499,0,2
|cFFFFD200掉落：|r诺森德 - 世界掉落,101,37254,0,0
|cFFFFD200特殊|r,102,38301,0,7
|cFFFFD200成就：|r钱币大师|n|cFFFFD200分类：|r钓鱼,103,44430,0,5
|cFFFFD200世界事件：|r冬幕节,109,46709,0,6
|cFFFFD200特殊|r,110,49703,0,7
|cFFFFD200特殊|r,111,49704,2,7
|cFFFFD200任务：|r穆拉丁的追思|n|cFFFFD200地区：|r冰冠堡垒,112,52201,0,1
|cFFFFD200任务：|r希尔瓦娜斯的复仇|n|cFFFFD200地区：|r冰冠堡垒,114,52253,0,1
|cFFFFD200专业技能：|r考古学,116,64358,0,3
|cFFFFD200专业技能：|r考古学,117,64361,0,3
|cFFFFD200专业技能：|r考古学,118,64373,0,3
|cFFFFD200专业技能：|r考古学,119,64383,0,3
|cFFFFD200专业技能：|r考古学,120,64456,0,3
|cFFFFD200专业技能：|r考古学,121,64481,0,3
|cFFFFD200专业技能：|r考古学,122,64482,0,3
|cFFFFD200专业技能：|r考古学,123,64646,0,3
|cFFFFD200专业技能：|r考古学,124,64881,0,3
|cFFFFD200商人出售：|r梅罗什|n|cFFFFD200地区：|r费伍德森林|n|cFFFFD200阵营：|r木喉要塞 - 崇拜|n|cFFFFD200价格: |r75|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,125,66888,4,2
|cFFFFD200世界事件：|r儿童周|n|cFFFFD200商人出售：|r布雷克斯·瓶装火箭/克拉格·摇塞|n|cFFFFD200地区：|r奥格瑞玛/暴风城|n|cFFFFD200价格：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,126,69895,0,2
|cFFFFD200特殊|r,127,72159,0,7
|cFFFFD200特殊|r,128,79769,0,7
|cFFFFD200掉落：|r被放逐的赞伊|n|cFFFFD200地区：|r昆莱山,129,86581,0,0
|cFFFFD200掉落：|r预言者奈松|n|cFFFFD200地区：|r昆莱山,131,72224,2,0
|cFFFFD200掉落：|r独眼摩尔多|n|cFFFFD200地区：|r锦绣谷,132,86586,0,0
|cFFFFD200掉落：|r漫游者阿波尼|n|cFFFFD200地区：|r昆莱山,133,86588,0,0
|cFFFFD200掉落：|r艾利·天镜|n|cFFFFD200地区：|r恐惧废土,134,86589,0,0
|cFFFFD200掉落：|r迅云艾然|n|cFFFFD200地区：|r锦绣谷,135,72229,2,0
|cFFFFD200掉落：|r波罗波斯|n|cFFFFD200地区：|r四风谷,136,72227,2,0
|cFFFFD200掉落：|r聪明的伊克伊克|n|cFFFFD200地区：|r恐惧废土,137,86593,0,0
|cFFFFD200成就：|r学习榜样|n|cFFFFD200分类：|r钓鱼,139,86596,0,5
|cFFFFD200成就：|r走街串吧|n|cFFFFD200分类：|r熊猫人之谜,140,87528,0,5
|cFFFFD200商人出售：|r吉娜·泥爪|n|cFFFFD200地区：|r四风谷|n|cFFFFD200阵营：|r阡陌客 - 崇拜|n|cFFFFD200价格：|r250|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,142,90175,4,2
|cFFFFD200世界事件：|r冬幕节,143,90883,0,6
|cFFFFD200世界事件：|r冬幕节,144,90888,0,6
|cFFFFD200商人出售：|r吉瓦斯·格里加特|n|cFFFFD200地区：|r暗月岛|n|cFFFFD200价格：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,145,90899,0,6
|cFFFFD200赠与：|r奥瑟尔|n|cFFFFD200地区：|r拉文霍德庄园,147,72220,2,0
|cFFFFD200掉落：|r拉沙|n|cFFFFD200地区：|r雷神岛,148,72226,2,0
|cFFFFD200成就：|r托多斯隐藏喷泉成就|n|cFFFFD200分类：|r潘达利亚团队,151,98132,0,5
|cFFFFD200掉落：|r巨型蜗牛|n|cFFFFD200地区：|r雷电王座,152,98136,0,0
|cFFFFD200商人出售：|r发言人古兰|n|cFFFFD200地区：|r永恒岛,153,72230,2,2
|cFFFFD200商人出售：|r织雾者顾严|n|cFFFFD200地区：|r永恒岛|n|cFFFFD200阵营：|r皇帝少昊 - 崇敬,154,103685,4,2
|cFFFFD200掉落：|r被侵蚀的崖居者|n|cFFFFD200地区：|r永恒岛,155,104262,0,0
|cFFFFD200掉落：|r黑火勇士|n|cFFFFD200地区：|r永恒岛,156,104302,0,0
|cFFFFD200掉落：|r不朽的掌炉者|n|cFFFFD200地区：|r永恒岛,157,104309,0,0
|cFFFFD200世界事件：|r冬幕节,158,104318,0,6
|cFFFFD200商人出售：|r世界商人|n|cFFFFD200价格：|r40|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,159,104323,0,2
|cFFFFD200商人出售：|r世界商人|n|cFFFFD200价格：|r40|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,160,104324,0,2
