Name_lang,ID,SituationEnum,Flags,TransmogSituationGroupID,OrderIndex
所有专精,1,0,13,5,0
专精,2,1,19,6,0
所有位置,3,2,13,2,0
休息区域,4,3,1,3,0
世界,5,6,1,4,0
地下堡,6,7,1,4,1
住宅,7,4,1,3,1
角色选择,8,5,1,3,2
地下城,9,8,1,4,2
团队副本,10,9,1,4,3
竞技场,11,10,1,4,4
战场,12,11,1,4,5
所有移动,13,12,13,7,0
非骑乘移动,14,13,1,8,0
游泳,15,14,1,8,1
地面坐骑,16,15,1,8,2
飞行坐骑,17,16,1,8,3
所有配置方案,18,17,13,9,0
配置方案,19,18,17,10,0
所有种族形态,20,19,13,11,0
原生形态,21,20,17,12,0
非原生形态,22,21,17,12,1
所有天气,32,22,13,14,0
晴朗,33,23,1,15,0
下雨,34,24,1,15,1
下雪,35,25,1,15,2
沙尘暴,36,26,1,15,3
所有时间,37,27,13,16,0
早晨,38,28,1,17,0
中午,39,29,1,17,1
傍晚,40,30,1,17,2
夜间,41,31,1,17,3
