CalloutText_lang,CalloutFrame,ID,Type,Direction,Field_10_1_0_48480_005,UiWidgetSetID,OffsetX,OffsetY
拾取,ContainerFrame1Item1,1,2,1,107628,0,0,0
互换,ContainerFrame1Item1,2,2,1,107628,0,0,0
拾取,MultiBarBottomLeftButton1,9,2,1,107628,0,0,0
互换|n|n（按|cFF00FFFFTab|r键可以在栏位间循环）,MultiBarBottomLeftButton1,10,2,1,107628,0,0,0
互换|n|n（按|cFF00FFFFTab|r键可以在栏位间循环）,MultiBarBottomLeftButton2,11,2,1,107628,0,0,0
拾取,MultiBarBottomLeftButton2,12,2,1,107628,0,0,0
拾取,MultiBarBottomRightButton1,13,2,1,107628,0,0,0
互换|n|n（按|cFF00FFFFTab|r键可以在栏位间循环）,MultiBarBottomRightButton1,14,2,1,107628,0,0,0
拾取,MultiBarBottomRightButton2,15,2,1,107628,0,0,0
互换|n|n（按|cFF00FFFFTab|r键可以在栏位间循环）,MultiBarBottomRightButton2,16,2,1,107628,0,0,0
按[Tab]键切换栏位。,MultiBarBottomLeft,17,3,3,0,0,0,0
升级！,MultiBarBottomLeftButton1,18,2,1,107628,0,0,0
升级！,MultiBarBottomLeftButton2,19,2,1,107628,0,0,0
升级！,MultiBarBottomRightButton1,20,2,1,107628,0,0,0
升级！,MultiBarBottomRightButton2,21,2,1,107628,0,0,0
等待足够的玩家受到群英会的召唤后，即可开始！,UIWidgetBelowMinimapContainerFrame,29,3,3,0,0,0,0
,MultiBarBottomLeft,31,4,0,21439,772,-50000,16
,MultiBarBottomRight,32,4,0,21439,772,-50000,16
Test,ScenarioStageBlock,34,1,3,0,0,0,0
