WarningText_lang,ID,SpellID,OverrideCriticalTimeRemaining,Priority,PlayerConditionID,SoundKitID,Field_10_1_5_50199_007
,2,358434,0,0,0,0,0
,4,388446,2000,1,0,0,0
,5,314124,0,0,0,12197,0
,6,251742,0,0,0,183768,0
碰撞！,10,1218203,0,1,0,0,0
,11,358608,0,0,0,0,0
,12,387623,0,0,0,0,0
,13,395256,3000,1,0,63968,0
,14,396363,4000,0,0,0,0
,19,369192,10000,0,0,0,0
腐蚀即将腐化你的心灵！,24,407406,5000,0,0,0,0
[DNT] Test Stacks,25,409063,15000,1,0,12202,2
滚动的垃圾要崩解了！,27,461536,5000,0,0,0,0
你的命运开始瓦解！,28,1224865,0,0,5793,0,15
结晶震荡波即将出现！,31,1243721,8000,0,0,0,0
水晶覆体即将开始！,32,1227373,6000,0,0,0,0
奥蕾莉亚准备射击了！,33,1233602,3000,0,0,0,0
未知的恐惧即将爆发！,34,1225221,3000,0,0,0,0
翔空雷什即将耗尽！,35,1235114,4000,0,0,0,0
即将被震击！,39,1246457,0,0,0,0,0
重力开始将你压垮！,40,1234570,0,0,0,0,8
奥蕾莉亚准备射击了！,41,1237623,3000,0,0,0,0
空虚之握即将结束！,42,1232470,4000,0,0,0,0
湮灭降临了……,46,1257299,0,0,0,0,0
毁灭！,47,1217973,10000,0,0,0,0
追寻虚空，否则灭亡,48,1262972,0,0,0,0,0
追寻圣光，否则灭亡,49,1262983,0,0,0,0,0
|TInterface\ICONS\SPELL_FIRE_FELFLAMESTRIKE.BLP:20|t你成为了邪能光束的目标！,50,1218187,0,0,0,0,0
|TInterface\ICONS\SPELL_NZinsanity_ChasedByShadows.blp:20|t你的暗影印记即将爆炸！,51,1270497,2500,0,0,0,0
,52,1222088,2000,1,0,12197,0
虚空斥力即将爆发！,53,1283236,3000,0,0,0,0
衰弱瘴气即将结束！,54,1284477,3000,0,0,0,0
螺旋毒素即将爆发！,55,1284590,4000,0,0,0,0
墓缚即将结束！,58,1286837,6000,0,0,0,0
