ID,FeatureDescription_lang,FeatureIcon,ParentID
1,了解全新职业：恶魔猎手,1260827,2
2,征战破碎群岛，升到110级,1064187,2
4,"享受更多便利，轻松
组队、交友、交易！",236669,5
5,征战德拉诺，升到100级,1033987,5
6,建造并升级你的要塞,1033989,5
7,"享受更多便利，轻松
组队、交友、交易！",236669,4
8,奋战至80级,1033586,4
9,解锁十个内容更新，包括“地心之战”,1064187,4
10,招募同盟种族,413576,6
11,征战库尔提拉斯和赞达拉，升到120级,1064187,6
12,将一个角色提升至110级,1033988,6
116,等级上限提升至60级，奋战暗影界,236567,115
117,加入盟约，使用其力量,3726261,115
118,攀登托加斯特，罪魂之塔,3257863,115
122,征战巨龙群岛，升到70级,1064187,135
123,了解全新职业：唤魔师,4696175,135
124,体验驭龙术的精彩刺激,4640496,135
125,开始世界之魂传奇冒险,1064187,143
126,等级上限提升至80级，解锁强力的全新英雄天赋。,135981,143
127,与NPC伙伴一起探索地下堡,1786405,143
131,继续体验新三部曲的剧情,1778229,149
132,探索并征服全新的地下堡、地下城和团队副本,6025441,149
133,获取属于你的住宅钥匙并收集装饰，打造专属空间,7252953,149
