ID,Name_lang,UiMapGroupID,UiMapID,FloorIndex,RelativeHeightIndex
485,法戈第矿洞,139,38,1,0
486,矿洞下层,139,39,2,0
487,黑石塔,140,33,14,0
488,黑石岩窟,140,34,15,0
489,黑石深渊,140,35,16,0
490,麦迪文的酒窖,141,44,23,0
491,酒窖下层,141,45,24,0
492,奥格瑞玛,142,85,0,0
493,暗影裂口,142,86,1,0
496,邪恶洞穴,144,67,21,0
497,毒菇洞穴,144,68,22,0
498,提拉加德城堡,145,3,10,0
499,大厅,145,4,11,0
500,巢穴上层,146,60,4,0
501,巢穴下层,146,61,5,0
502,庭院,147,310,1,0
503,饭厅,147,311,2,0
504,空巢,147,312,3,0
505,下层瞭望台,147,313,4,0
506,上层瞭望台,147,314,5,0
507,高弗雷勋爵的大厅,147,315,6,0
508,城墙走道,147,316,7,0
509,死亡矿井,148,291,1,0
510,铁甲湾,148,292,2,0
511,阿斯卡之池,149,221,1,0
512,月神圣地密室,149,222,2,0
513,遗忘之池,149,223,3,0
514,守护者大厅,150,230,1,0
515,卡兹格罗斯之座,150,231,2,0
516,齿轮大厅,151,226,1,0
517,宿舍,151,227,2,0
518,发射台,151,228,3,0
519,工匠议会,151,229,4,0
520,墓地,152,302,0,0
521,图书馆,152,303,1,0
522,军械库,152,304,2,0
523,大教堂,152,305,3,0
524,塔萨洛尔,153,250,1,0
525,蛛网隧道,153,251,2,0
526,霍德玛尔城,153,252,3,0
527,黑手大厅,153,253,4,0
528,哈雷肯之巢,153,254,5,0
529,战斗之厅,153,255,6,0
530,禁闭室,154,242,1,0
531,暗炉城,154,243,2,0
532,遗骨之穴,155,306,1,0
533,召唤大厅,155,307,2,0
534,书房上层,155,308,3,0
535,院长的书房,155,309,4,0
536,十字军广场,156,317,1,0
537,街巷,156,318,2,0
538,玛拉顿的洞穴,157,280,1,0
539,扎尔塔之墓,157,281,2,0
540,矿道地铁,158,499,1,0
541,比兹莫搏击俱乐部,158,500,2,0
542,戈多克议会,159,235,1,0
543,中心花园,159,236,2,0
544,上层精灵庭院,159,237,3,0
545,伊莫塔尔的牢笼,159,238,4,0
546,扭木广场,159,239,5,0
547,艾德雷斯神殿,159,240,6,0
548,龙喉兵营,160,287,1,0
549,征战大厅,160,288,2,0
550,血色实验室,160,289,3,0
551,奈法利安的巢穴,160,290,4,0
552,地下虫巢,161,319,1,0
553,神殿大门,161,320,2,0
554,克苏恩地穴,161,321,3,0
555,仆役宿舍,162,350,1,0
556,上层马厩,162,351,2,0
557,宴会厅,162,352,3,0
558,会客间,162,353,4,0
559,歌剧院楼座,162,354,5,0
560,主宰的露台,162,355,6,0
561,下层断阶,162,356,7,0
562,上层断阶,162,357,8,0
563,展览馆,162,358,9,0
564,守护者的图书馆,162,359,10,0
565,藏书馆,162,360,11,0
566,上层图书馆,162,361,12,0
567,观星大厅,162,362,13,0
568,象棋大厅,162,363,14,0
569,麦迪文的房间,162,364,15,0
570,能量站,162,365,16,0
571,虚空异界,162,366,17,0
572,构造区,163,162,1,0
573,蜘蛛区,163,163,2,0
574,军事区,163,164,3,0
575,瘟疫区,163,165,4,0
576,浮空城下层,163,166,5,0
