ID,Name_lang,SafeLocID,PlayerConditionID,Flags,Type,Field_8_2_0_30080_006,WaypointMapVolumeID
6,使用巫师圣殿的传送门前往翡翠林,7262,67395,68,1,10,8
7,巫师圣殿，通往翡翠林的传送门,7263,123820,0,2,0,0
8,离开巫师圣殿,7264,20068,84,0,30,8
9,进入巫师圣殿,7266,924,16,0,0,5
10,使用东部大地神殿的传送门前往奥丹姆,7267,37426,0,1,0,0
11,使用东部大地神殿的传送门前往海加尔山,7268,37427,0,1,0,0
12,使用东部大地神殿的传送门前往暮光高地,7269,37428,0,1,0,0
13,使用东部大地神殿的传送门前往瓦丝琪尔,7270,57340,0,1,0,0
14,使用东部大地神殿的传送门前往托尔巴拉德,7271,123820,0,1,0,0
15,使用东部大地神殿的传送门前往深岩之洲,7272,37429,0,1,0,0
16,奥丹姆,7273,0,0,2,0,0
17,海加尔山,7274,0,0,2,0,0
18,使用诺达希尔的传送门前往暴风城,7275,924,0,1,0,0
19,暴风城，东部大地神殿,7276,924,0,2,0,0
20,暮光高地,7277,123820,0,2,0,0
21,瓦丝琪尔,7278,123820,0,2,0,0
22,东部大地神殿，通往托尔巴拉德的传送门,7279,123820,0,2,0,0
23,使用巴拉丁营地的传送门前往暴风城,7280,123820,0,1,0,0
24,深岩之洲,7281,20068,0,2,0,0
25,使用大地神殿的传送门前往暴风城,7282,20068,0,1,0,0
26,使用坡东村的传送门前往暴风城,7283,123820,0,1,0,0
27,使用巫师圣殿的传送门前往晶歌森林,7284,76876,68,1,10,8
28,巫师圣殿，通往晶歌森林的传送门,7285,20068,0,2,0,0
29,使用银色领地的传送门前往暴风城,7286,20068,0,1,0,0
30,使用巫师圣殿的传送门前往埃索达,7287,123820,68,1,10,8
31,巫师圣殿，通往埃索达的传送门,7288,123820,0,2,0,0
32,使用秘蓝岛的传送门前往达纳苏斯,7289,123820,1,1,0,0
33,黑海岸，通往达纳苏斯的传送门,7290,123820,0,2,0,0
36,使用命运阶梯的传送门前往暴风城,7293,123820,0,1,0,0
37,使用巫师圣殿的传送门前往沙塔斯,7294,6289,68,1,10,8
38,沙塔斯，圣光广场,7295,0,0,2,0,0
39,使用圣光广场的传送门前往奎尔丹纳斯岛,7296,0,0,1,0,0
40,圣光广场，通往奎尔丹纳斯岛的传送门,7297,0,0,2,0,0
41,使用圣光广场的传送门前往暴风城,7298,123820,0,1,0,0
42,使用巫师圣殿的传送门前往阿什兰,7299,67397,68,1,10,8
43,阿什兰，暴风之盾,7300,123820,2,2,0,0
44,使用暴风之盾的传送门前往达纳苏斯,7301,123820,1,1,0,0
45,使用暴风之盾的传送门前往铁炉堡,7302,123820,1,1,0,0
46,暴风之盾，通往铁炉堡的传送门,7303,123820,0,2,0,0
47,使用暴风之盾的传送门前往暴风城,7304,123820,0,1,0,0
48,使用巫师圣殿的传送门前往阿苏纳,7305,67396,68,1,10,8
49,巫师圣殿，通往阿苏纳的传送门,7306,20068,0,2,0,0
50,使用倾颓王宫的传送门前往暴风城,7307,20068,0,1,0,0
51,使用巫师圣殿的传送门前往伯拉勒斯,7308,67398,68,1,10,8
52,巫师圣殿，通往伯拉勒斯的传送门,7309,123820,0,2,0,0
53,使用灰牙之地的传送门前往暴风城,7314,0,0,1,0,0
54,使用七星殿的传送门前往暴风城,7315,123820,0,1,0,0
55,使用秘法大厅的传送门前往地狱火半岛,7316,123820,1,1,0,0
56,命运阶梯，通往暴风城的传送门,7317,123820,1,2,0,0
57,进入矿道地铁,7318,123820,0,1,0,0
58,通向铁炉堡的出口,7319,123820,0,2,0,0
59,乘坐地铁,7320,924,0,0,0,0
60,乘坐地铁,7321,924,0,0,0,0
61,使用贤者圣殿的传送门前往暴风城,7322,62085,0,1,0,0
62,使用贤者圣殿的传送门前往埃索达,7323,62085,0,1,0,0
63,使用贤者圣殿的传送门前往铁炉堡,7324,62085,0,1,0,0
64,搭乘暴风城的船前往伯拉勒斯港,7325,123820,0,1,0,0
65,搭乘伯拉勒斯的船前往暴风城,7326,123820,0,1,0,0
66,搭乘暴风城的船前往无畏要塞,7327,123820,0,0,0,0
67,搭乘无畏要塞的船前往暴风城,7343,123820,0,0,0,0
68,搭乘巴拉丁海湾的船前往塞拉摩岛,7328,123820,0,0,0,0
69,搭乘塞拉摩岛的船前往米奈希尔港,7329,123820,0,0,0,0
70,搭乘米奈希尔港的船前往匕鞘湾,7330,123820,0,0,0,0
71,搭乘匕鞘湾的船前往米奈希尔港,7331,123820,0,0,0,0
72,搭乘藏宝海湾的船前往棘齿城,7332,0,0,0,0,0
73,搭乘棘齿城的船前往藏宝海湾,7333,0,0,0,0,0
74,搭乘乌努比的船前往莫亚基港口,7334,0,0,0,0,0
75,搭乘莫亚基港口的船前往乌努比,7335,0,0,0,0,0
76,搭乘莫亚基港口的船前往卡玛古,7336,0,0,0,0,0
77,搭乘卡玛古的船前往莫亚基港口,7337,0,0,0,0,0
78,进入巫师圣殿,7338,924,1,0,0,0
79,进入矿道地铁,7339,924,0,1,0,0
80,通向暴风城的出口,7340,924,0,2,0,0
81,伯拉勒斯港,7344,123820,0,2,0,0
82,和码头管理员交谈，前往伯拉勒斯,7345,123820,0,1,0,0
83,和码头管理员交谈，前往伯拉勒斯,7346,123820,0,1,0,0
84,搭乘沃顿的船前往伯拉勒斯,7347,123820,0,1,0,0
85,使用黑暗之门前往德拉诺,7348,69532,0,1,0,0
86,通往暴风之盾（阿什兰）的黑暗之门,7349,33093,2,2,0,0
87,通往影月谷的黑暗之门,7350,123820,2,2,0,0
88,通往突袭塔纳安的黑暗之门,7351,87481,0,2,0,0
89,通往地狱火半岛的黑暗之门,7352,0,0,2,0,0
90,使用黑暗之门前往诅咒之地,7353,0,0,1,0,0
91,诅咒之地，黑暗之门,7348,0,0,2,0,0
92,使用黑暗之门前往外域,7348,69535,0,1,0,0
93,使用维迪卡尔的传送门前往达拉然,7354,0,0,1,0,0
