ID,Name_lang,Description_lang,ButtonText_lang,RewardDescription_lang,ContinueDescription_lang,Type,PlayerConditionID,Flags,ButtonActionType,TextureFileDataID,LfgDungeonID,QuestID,BattleMasterListID,PriorityMin,PriorityMax,CurrencyType,CurrencyQuantity,UIMapID,BonusPlayerConditionID[0],BonusPlayerConditionID[1],BonusValue[0],BonusValue[1]
7,希爾斯布萊德丘陵,和被遺忘者的戰爭機器一起朝希爾斯布萊德丘陵前進吧，為了部落！,開始任務,,,0,33200,0,3,236779,0,28571,0,9,10,0,0,25,33600,0,1,0
8,梣谷,把夜精靈趕出梣谷，為部落奪下該地的資源！,開始任務,,,0,33201,0,3,236713,0,28493,0,9,10,0,0,63,33636,0,1,0
9,哀嚎洞穴,勇闖哀嚎洞穴，打擊邪惡的尖牙德魯伊。,加入隊伍,,,6,33956,0,1,236450,1,0,0,7,8,0,0,0,33955,33976,0,0
10,死亡礦坑,探索西部荒野的廢棄地下礦坑，迪菲亞兄弟會在該處窩藏了一群法外之徒。,加入隊伍,,,6,33202,0,1,236409,6,0,0,7,8,0,0,0,33957,33974,0,0
12,影牙城堡,俯瞰銀松森林的荒廢要塞，這座幽暗的城堡已經成為一群墮落的吉爾尼斯貴族的謀反據點。,加入隊伍,,,6,33774,0,1,463876,8,0,0,7,8,0,0,0,33958,33975,0,0
13,戰歌峽谷,戰歌峽谷是一座搶旗型戰場，為部落拿下它吧。,加入戰鬥！,,,5,33717,1,4,236350,0,0,2,1,7,0,0,0,34691,0,1,0
14,阿拉希盆地,阿拉希盆地是一座資源戰戰場，擊敗聯盟玩家，為部落拿下它吧。,加入戰鬥！,,,5,33718,1,4,236712,0,0,3,1,7,0,0,0,34691,0,1,0
17,怒焰裂谷,擊敗盤據在奧格瑪地下火山洞窟的灼刃邪教徒。,加入隊伍,,,6,33674,0,1,136216,4,0,0,7,8,0,0,0,33959,33977,0,0
21,隨機地城,參加一場隨機的《德拉諾之霸》地城冒險，升級你的裝備！,加入隊伍,,,6,33723,0,1,1042626,788,0,0,7,8,0,0,0,0,0,0,0
27,隨機戰場,隨機加入一座戰場，與其他玩家戰鬥！,加入戰鬥！,,,5,34154,0,8,132269,0,0,32,2,3,0,0,0,33559,0,4,0
29,銀松森林,協助被遺忘者高階指揮所，為部落奪下吉爾尼斯港！,開始任務,,,0,33561,0,3,236830,0,28568,0,9,10,0,0,21,33596,0,1,0
30,瓦許伊爾,加入先鋒艦隊，拿下出現在聯盟首都暴風城外海的新島嶼。,開始任務,,,0,33562,0,3,409551,0,27718,0,9,10,0,0,203,33597,33748,0,0
31,海加爾山,死亡之翼的爪牙在攻擊世界之樹，我們的盟友塞納里奧議會需要你的協助！,開始任務,,,0,33563,0,3,409547,0,27721,0,9,10,0,0,198,33598,33748,0,0
32,地深之源,索爾和陶土議會需要你的協助，進攻地深之源元素界。,開始任務,,,0,33564,0,3,409546,0,27722,0,9,10,0,0,207,33599,0,0,0
33,希爾斯布萊德丘陵,和被遺忘者的戰爭機器一起朝希爾斯布萊德丘陵前進吧，為了部落！,開始任務,,,0,33565,1,3,236779,0,28089,0,9,10,0,0,0,33600,0,0,0
34,北貧瘠之地,北貧瘠之地需要你的協助，擊退步步進逼的野豬人和半人馬。,開始任務,,,0,33566,0,3,236717,0,28494,0,9,10,0,0,10,33601,34301,1,1
35,艾薩拉,為了部落的榮耀，守住艾薩拉，擊退入侵的聯盟部隊。,開始任務,,,0,33567,0,3,236714,0,28496,0,9,10,0,0,76,33602,34632,1,1
36,千針石林,協助部落軍隊，對抗竊佔了千針石林的恐怖圖騰叛軍。,開始任務,,,0,33568,0,3,236848,0,28504,0,9,10,0,0,64,33603,34328,1,1
37,塔納利斯,協助部落和污水企業聯合，搶在聯盟之前於塔納利斯打下立足之地。,開始任務,,,0,33569,0,3,236846,0,28509,0,9,10,0,0,71,33604,0,1,0
38,菲拉斯,協助部落拿下菲拉斯森林，對抗聯盟與恐怖圖騰氏族。,開始任務,,,0,33570,0,3,236764,0,28510,0,9,10,0,0,69,33605,34299,1,1
39,安戈洛環形山,協助馬紹爾遠征隊的人揭開安戈洛環形山的秘密。,開始任務,,,0,33571,0,3,236850,0,28526,0,9,10,0,0,78,33606,0,1,0
40,希利蘇斯,塞納里奧議會的盟友需要你的協助，擊退希利蘇斯的暮光之錘教徒。,開始任務,,,0,33572,0,3,236829,0,28527,0,9,10,0,0,81,33607,0,1,0
41,石爪山脈,石爪山脈的部落軍隊需要你的協助，擊退聯盟入侵者，保護我們的人民。,開始任務,,,0,33573,0,3,236831,0,28532,0,9,10,0,0,65,33611,0,1,0
42,費伍德森林,塞納里奧議會需要你的協助，掃除費伍德森林裡的惡魔和其他的邪惡怪物！,開始任務,,,0,33574,0,3,236763,0,28542,0,9,10,0,0,77,33612,0,1,0
43,冬泉谷,冬泉谷的多諾瓦‧雪山好像發現能一舉終結冬泉熊怪威脅的關鍵了。,開始任務,,,0,33575,0,3,236854,0,28545,0,9,10,0,0,83,33613,0,1,0
44,淒涼之地,淒涼之地的部落勇士需要你的協助，擊退聯盟部隊和遠古惡魔的進逼。,開始任務,,,0,33576,0,3,236742,0,28548,0,9,10,0,0,66,33614,0,1,0
45,南貧瘠之地,雖然聯盟最近在貧瘠之地獲得了幾場勝利，但我們面臨補給線被敵人切斷的威脅。一定要阻止他們！,開始任務,,,0,33577,0,3,236717,0,28549,0,9,10,0,0,199,33615,0,1,0
46,塵泥沼澤,塵泥沼澤充斥著各式各樣的敵人，而且當地的聯盟部隊十分強大。,開始任務,,,0,33578,0,3,236758,0,28554,0,9,10,0,0,70,33616,34294,1,1
47,奧丹姆,根據古老文獻的記載，奧丹姆埋藏著無可比擬的未知財寶。為了部落，拿下這些寶藏！,開始任務,,,0,33579,0,3,409550,0,28557,0,9,10,0,0,249,33617,0,0,0
48,鬼魂之地,部落需要你的協助以擊退數之不盡的天譴入侵者，並且聯合被遺忘者的戰力，擊敗天譴軍團。,開始任務,,,0,33580,0,3,236765,0,28560,0,9,10,0,0,95,33618,0,1,0
49,阿拉希高地,黑暗女王的部隊需要你的協助，擴張部落的領土，把聯盟的人趕出去。,開始任務,,,0,33581,0,3,236712,0,28572,0,9,10,0,0,14,33619,34630,1,1
50,辛特蘭,辛特蘭的蠻錘矮人正式加入聯盟，一定要擊敗他們！,開始任務,,,0,33582,0,3,236780,0,28574,0,9,10,0,0,26,33620,34631,1,1
51,西瘟疫之地,聯盟部隊正進駐安多哈爾廢墟。一定要在聯盟建立據點之前阻止他們！,開始任務,,,0,33583,0,3,236851,0,28575,0,9,10,0,0,22,33621,34629,1,1
52,東瘟疫之地,銀白十字軍強化了他們在東瘟疫之地的行動，需要你協助他們鞏固勝利的成果。,開始任務,,,0,33584,0,3,236760,0,28577,0,9,10,0,0,23,33622,34627,1,1
53,荒蕪之地,聯盟急於要在荒蕪之地搶下立足點，全力阻止他們進攻！,開始任務,,,0,33585,0,3,236716,0,28580,0,9,10,0,0,15,33623,0,1,0
54,灼熱峽谷,破碎之手回報，灼熱峽谷的黑鐵矮人似乎正在備戰。,開始任務,,,0,33586,0,3,236815,0,28581,0,9,10,0,0,32,33624,0,1,0
55,燃燒平原,伊崔格的兒子，阿利歐克，需要你的協助才能阻止黑石獸人盲目進逼。,開始任務,,,0,33587,0,3,236734,0,28667,0,9,10,0,0,36,33625,0,1,0
56,詛咒之地,巨槌要塞的部落指揮官，歐克里拉，希望你能去幫忙固守前線哨站，對抗作亂的巨魔。,開始任務,,,0,33588,0,3,236720,0,28671,0,9,10,0,0,17,33629,0,1,0
57,悲傷沼澤,說服貿易巨商銀鉗，讓他繼續為部落提供所需的武器和物資！,開始任務,,,0,33589,0,3,236720,0,28677,0,9,10,0,0,51,33630,0,1,0
58,北荊棘谷,北荊棘谷的指揮官需要你的協助，才能保持補給路線的暢通。,開始任務,,,0,33591,0,3,236844,0,28688,0,9,10,0,0,50,33631,0,1,0
59,荊棘谷海角,我們在荊棘谷海角的部隊需要你的協助，解決海盜問題和盤據在叢林裡的納迦。,開始任務,,,0,33592,0,3,236844,0,28704,0,9,10,0,0,210,33632,0,1,0
60,外域,我們需要你的協助，前往殘破的外域對抗燃燒軍團。,開始任務,,,0,33593,0,3,236813,0,28705,0,9,10,0,0,100,33633,0,0,0
61,北裂境,北裂境的戰歌進攻部隊需要你的協助，擊退天譴軍團的不死怪物。,開始任務,,,0,33594,0,3,236812,0,28711,0,9,10,0,0,114,33634,34302,0,0
62,暮光高地,大酋長正準備進攻暮光高地，他需要你的協助。,開始任務,,,0,33595,0,3,409549,0,28717,0,9,10,0,0,241,33635,0,0,0
63,赤脊山,聯盟在赤脊山的兵力太過分散，需要你的鼎力協助。,開始任務,,,0,33637,0,3,236814,0,28563,0,9,10,0,0,49,33638,0,1,0
64,辛特蘭,聯盟的新兄弟需要你的協助，才能阻止部落的積極侵略，保護他們的家園。,開始任務,,,0,33639,0,3,236780,0,26542,0,9,10,0,0,26,33640,0,1,0
65,西部荒野,由於食物和居所的短缺，西部荒野的犯罪率急速飆升。如果你想幫助聯盟，這是個開始的好機會。,開始任務,,,0,33641,0,3,236852,0,28562,0,9,10,0,0,52,33642,0,1,0
66,暮色森林,暮色森林的居民急需你的協助！,開始任務,,,0,33643,0,3,236757,0,28564,0,9,10,0,0,47,33644,0,1,0
67,瓦許伊爾,部落最近在暴風港附近海岸對我們的貿易商船發動攻擊，唯有動作迅速又勢均力敵的部隊才能阻止他們！,開始任務,,,0,33645,0,3,409551,0,27724,0,9,10,0,0,203,33646,33713,0,0
68,海加爾山,海加爾山需要你的協助。塞納里奧議會回報，死亡之翼的僕從已經對世界之樹發動了毀滅性攻擊！,開始任務,,,0,33648,0,3,409547,0,27726,0,9,10,0,0,198,33649,33713,0,0
69,地深之源,陶土議會需要我們的協助！他們指出地深之源的元素界域威脅要侵襲我們的世界，並毀滅艾澤拉斯的一切生靈！,開始任務,,,0,33650,0,3,409546,0,27727,0,9,10,0,0,207,33651,0,0,0
70,黑海岸,洛丹諾的人民需要你的協助，才能保護城鎮不受暮光之錘侵擾。,開始任務,,,0,33652,0,3,236739,0,28490,0,9,10,0,0,62,33653,0,1,0
71,梣谷,部落對梣谷的侵略已經到了無法容忍的地步！驅逐入侵者，讓神聖的森林回復舊觀。,開始任務,,,0,33657,0,3,236713,0,28492,0,9,10,0,0,63,33658,34292,1,1
72,千針石林,在千針石林的哨兵軍團需要你的協助，阻止盤據該地殺人越貨的恐怖圖騰劫掠者。,開始任務,,,0,33659,0,3,236848,0,28503,0,9,10,0,0,64,33660,34328,1,1
73,塔納利斯,聯盟需要你的協助，才能獲得塔納利斯當地巨商的許可，取得沙漠中的無價資源。,開始任務,,,0,33661,0,3,236846,0,28507,0,9,10,0,0,71,33662,0,1,0
74,菲拉斯,菲拉斯的聯盟部隊需要你的協助才能攻克我們的敵人，也就是部落和恐怖圖騰。,開始任務,,,0,33663,0,3,236764,0,28511,0,9,10,0,0,69,33664,34298,1,1
75,安戈洛環形山,聯盟需要你支援馬紹爾遠征隊，才能發掘安戈洛環形山的種種秘密。,開始任務,,,0,33665,0,3,236850,0,28525,0,9,10,0,0,78,33666,0,1,0
76,希利蘇斯,我們在希利蘇斯的塞納里奧議會盟友需要你的協助，才能抵抗暮光之錘的攻擊。,開始任務,,,0,33667,0,3,236829,0,28528,0,9,10,0,0,81,33668,0,1,0
77,淒涼之地,在淒涼之地的勇敢士兵遭受惡魔和部落軍隊圍攻，現在急需你的幫助。,開始任務,,,0,33669,0,3,236742,0,28531,0,9,10,0,0,66,33670,0,1,0
78,石爪山脈,部落的軍隊正在朝石爪山脈推進，一定要好好教訓他們！,開始任務,,,0,33671,0,3,236742,0,28539,0,9,10,0,0,65,33672,0,1,0
79,費伍德森林,翡翠聖地需要你的協助，才能從當地的惡魔手中解救費伍德森林。,開始任務,,,0,33673,0,3,236763,0,28543,0,9,10,0,0,77,33675,0,1,0
80,冬泉谷,冬泉谷的多諾瓦‧雪山需要你的協助，才能克服冬泉熊怪的威脅。,開始任務,,,0,33676,0,3,236854,0,28544,0,9,10,0,0,83,33677,0,1,0
81,南貧瘠之地,聯盟士兵在南貧瘠之地大有斬獲。為了鞏固這場勝利，需要你的鼎力協助！,開始任務,,,0,33678,0,3,236717,0,28550,0,9,10,0,0,199,33679,0,1,0
82,塵泥沼澤,你必須協助軍情七處的卡莉雅‧哈斯丁，查出塞拉摩內外面臨了什麼樣的威脅。,開始任務,,,0,33680,0,3,236758,0,28552,0,9,10,0,0,70,33681,34296,1,1
83,奧丹姆,搶先獲得探索奧丹姆的榮耀，並為聯盟取得其中的寶藏！,開始任務,,,0,33682,0,3,409550,0,28558,0,9,10,0,0,249,33683,0,0,0
84,血謎島,在血謎島上的人們需要你的協助，才能對抗奸詐的血精靈和四處橫行的危險生物。,開始任務,,,0,33684,0,3,236721,0,28559,0,9,10,0,0,106,33685,0,1,0
85,濕地,因為大災變所造成的毀滅，濕地隨處可見野生動物、獸人侵略者和殘暴的豺狼人肆虐！,開始任務,,,0,33686,0,3,236853,0,28565,0,9,10,0,0,56,33687,0,1,0
86,洛克莫丹,巨石水壩崩毀帶來的種種後果讓洛克莫丹的巡山人疲於應付。他們非常需要支援！,開始任務,,,0,33688,0,3,236808,0,28567,0,9,10,0,0,48,33689,0,1,0
87,阿拉希高地,阿拉希高地需要你的幫助。我們一定要重拾古老激流堡的榮耀！,開始任務,,,0,33690,0,3,236712,0,28573,0,9,10,0,0,14,33691,0,1,0
88,西瘟疫之地,雖然我們一開始在安多哈爾取得了勝利，但被遺忘者決定發動反擊。我們需要你的協助，才能擊退天譴軍團和部落的軍隊，把西瘟疫之地的安多哈爾奪回我們手中。,開始任務,,,0,33692,0,3,236851,0,28576,0,9,10,0,0,22,33693,34625,1,1
89,東瘟疫之地,銀白十字軍需要你的協助，才能從天譴軍的魔爪下奪回東瘟疫之地。,開始任務,,,0,33694,0,3,236760,0,28578,0,9,10,0,0,23,33695,0,1,0
90,荒蕪之地,需要你的協助才能調查死亡之翼對荒蕪之地造成什麼傷害，以及部落在當地的兵力部署。,開始任務,,,0,33696,0,3,236716,0,28579,0,9,10,0,0,15,33697,0,1,0
91,灼熱峽谷,軍情七處回報指出，灼熱峽谷的黑鐵矮人似乎想要發動攻擊。在事態無法挽回前阻止他們！,開始任務,,,0,33698,0,3,236815,0,28582,0,9,10,0,0,32,33699,0,1,0
92,燃燒平原,我們現在急需你的幫忙，阻止黑石獸人威脅燃燒平原的安全！,開始任務,,,0,33700,0,3,236734,0,28666,0,9,10,0,0,36,33701,0,1,0
93,詛咒之地,守望堡要塞急需你的協助，才能夠抵擋部落進逼詛咒之地！,開始任務,,,0,33702,0,3,236720,0,28673,0,9,10,0,0,17,33703,0,1,0
94,悲傷沼澤,聯盟部隊需要你讓位於悲傷沼澤的貿易巨商銀鉗源源不絕地提供軍需品！,開始任務,,,0,33704,0,3,236845,0,28675,0,9,10,0,0,51,33705,0,1,0
95,北荊棘谷,庫爾森上校背叛暴風城後已過了悠悠數年，但他的命運依舊無人知曉。協助倖存者查明上校到底發生了什麼事。,開始任務,,,0,33706,0,3,236844,0,28699,0,9,10,0,0,224,33707,0,1,0
96,荊棘谷海角,探險者協會在荊棘谷海角的探險行動需要你的協助，才能從殺人越貨的巨魔侵擾下，固守挖掘場和考古的成果。,開始任務,,,0,33708,0,3,236844,0,28702,0,9,10,0,0,210,33709,0,1,0
97,外域,遠征隊伍需要你的協助，才能克服從外域入侵的燃燒軍團惡魔大軍！,開始任務,,,0,33710,0,3,236813,0,28708,0,9,10,0,0,100,33713,33711,0,0
98,北裂境,在北裂境的驍勇遠征軍急需你的協助，才能壓制天譴軍的部隊、保護文明之地！,開始任務,,,0,33712,0,3,236812,0,28709,0,9,10,0,0,113,33713,33714,0,0
99,暮光高地,瓦里安國王需要一位值得信賴又經得起考驗的英雄來進行最重要的任務。,開始任務,,,0,33715,0,3,409549,0,28716,0,9,10,0,0,241,33716,0,0,0
100,潘達利亞,立即前往葛羅瑪許堡，並宣誓服從新任大酋長！,開始任務,,,0,33727,0,3,652174,0,29611,0,9,10,0,0,371,33728,33748,0,0
101,四風峽,當地人提到一位威力強大的熊貓人武僧在四風峽旅行。你能贏得他的信任，讓我們多一個盟友嗎？,開始任務,,,0,33730,0,3,618317,0,38935,0,9,10,0,0,376,33731,0,0,0
102,崑萊峰,在翠玉林之戰的倖存者已經成功抵達崑萊峰，並急需你的協助。,開始任務,,,0,33735,0,3,617832,0,38936,0,9,10,0,0,379,33736,34300,0,0
103,螳螂荒原,影潘正打算跨越長城攻進螳螂荒原。在這波無懼的攻擊中協助他們！,開始任務,,,0,33738,0,3,618796,0,39127,0,9,10,0,0,388,33739,34329,0,0
104,悚然荒野,在長城上的影潘正在尋求援助，一起對抗悚然荒野的螳螂人大軍。他們需要你的協助！,開始任務,,,0,33740,0,3,624970,0,31000,0,9,10,0,0,422,33741,34293,0,0
105,恆春谷,恆春谷遭到攻擊了。在崑萊峰白虎寺的安杜因‧烏瑞恩王子需要你的幫忙，才能說服潘達利亞的居民在此危急時刻提供協助，讓外來者進入谷中。,開始任務,,,0,33743,0,3,618798,0,31392,0,9,10,0,0,390,33744,34330,0,0
106,恆春谷,恆春谷遭到攻擊了。白虎寺的日行者戴斯可需要你的幫忙。,開始任務,,,0,33745,0,3,618798,0,31393,0,9,10,0,0,390,33746,34330,0,0
107,德拉諾,大法師卡德加，第二次戰爭中的英雄，正在編組艾澤拉斯最強大的聯軍，準備穿過黑暗之門。,開始任務,,幫助大法師卡德加對抗鋼鐵部落，並關閉塔南森林裡的黑暗之門！,0,33747,0,3,1048305,0,34398,0,9,10,0,0,577,33748,33750,0,0
108,德拉諾,大法師卡德加，第二次戰爭中的英雄，正在編組艾澤拉斯最強大的聯軍，準備穿過黑暗之門。,開始任務,,幫助大法師卡德加對抗鋼鐵部落，並關閉塔南森林裡的黑暗之門！,0,34668,0,3,1048305,0,34398,0,9,10,0,0,577,33713,33750,0,0
109,格古隆德,指揮官，杜洛坦需要有人帶領一支小型突擊隊進入格古隆德，對當地的鋼鐵部落堡壘發動反擊。,開始任務,,,0,33751,0,3,1046803,0,35557,0,9,10,0,0,543,33752,0,0,0
110,格古隆德,指揮官，伊芮爾和瑪銳德需要有人帶領一支小型突擊隊進入格古隆德，對當地的鋼鐵部落堡壘發動反擊。,開始任務,,,0,33753,0,3,1046803,0,35556,0,9,10,0,0,543,33754,0,0,0
