Name_lang,Description_lang,ID,DisplayIndex,UiCameraID,AltHandUICameraID,ForgeAttachmentOverride,Flags,ArtifactID
水晶之形,,1,1,72,0,-1,0,1
尖刺型態,,2,2,0,0,-1,0,1
灰燼使者,,3,1,62,0,-1,0,2
正義巨劍,,4,2,65,0,-1,0,2
燃燒報復,,5,3,63,0,-1,0,2
殞落希望,,6,4,66,0,-1,0,2
碎破清算,,7,5,64,0,-1,0,2
欺詐者雙刃,,8,1,72,161,-1,0,3
伊利達瑞之手,,9,2,76,928,-1,0,3
晦暗之刃,,10,3,75,930,-1,0,3
奪焰者,,11,5,77,931,-1,0,3
惡魔之觸,,12,4,73,929,-1,0,3
格哈尼爾，始祖之樹,,13,1,61,0,-1,0,13
長者之樹,,14,2,68,0,-1,0,13
水晶覺醒,,15,3,60,0,-1,0,13
死木守衛者,,16,4,69,0,-1,0,13
看守者之冠,,17,6,70,0,-1,1,13
大地守護者之鱗,,20,1,183,71,-1,0,11
吞噬者之牙,,21,1,168,169,-1,0,17
魔擁,,22,3,172,173,-1,0,17
影刃,,23,2,170,171,-1,0,17
血飲,,24,4,174,175,-1,0,17
冰剪,,25,5,176,177,-1,0,17
遭譴者之顎,,32,1,163,0,-1,0,15
天啟,,33,1,162,0,-1,0,16
墮落王子之刃,,39,1,166,167,-1,0,12
萊公之拳,,40,1,191,192,-1,0,40
"薩斯朵拉
風行者之遺",,41,1,719,0,-1,0,55
弒君之刃,,42,1,391,392,-1,0,43
薩拉達爾，海潮權杖,,43,1,195,958,-1,0,42
末日錘,,44,1,189,0,-1,0,41
杜爾，那魯光杖,,45,1,194,0,-1,0,45
黑暗帝國之刃,,46,1,570,952,-1,0,47
白銀之手,,47,1,198,199,-1,0,48
厄索克之爪,,48,1,188,638,-1,0,57
薩格拉斯權杖,,49,1,357,0,-1,0,38
雪崙，迷霧之杖,,50,1,196,0,-1,0,51
費羅米隆,,51,1,190,935,-1,0,54
猛禽之爪,,52,1,197,0,-1,0,34
亞魯涅斯,,53,1,178,0,-1,0,4
守護者之塔,,54,2,179,0,-1,0,4
尊者降世,,55,3,181,0,-1,0,4
艾格文之殞,,56,4,180,0,-1,0,4
不朽魔導師,,57,5,182,0,-1,0,4
亡靈守衛的凝視,,58,4,184,965,-1,0,11
碎界者的臨終之息,,59,6,185,966,-1,1,11
無畏不屈,,60,3,186,967,-1,0,11
墮王武裝,,61,2,187,968,-1,0,11
黯凜,,64,1,344,0,-1,0,53
守護者的聚能,,65,2,346,0,-1,0,53
大法師的意志,,66,4,351,0,-1,0,53
霜火回憶,,67,6,353,0,-1,1,53
