Description_lang,SortedProperty_lang,ID,ItemClass,ItemSubClass,InventoryType,OrderIndex,ParentCategory,DefaultAuctionHouseFilter,AuctionHouseExtraColumn
武器,裝等,1,3,0,13,100,0,0,1
單手,裝等,2,0,0,0,10,1,0,1
單手斧,裝等,3,3,3,0,10,2,0,1
單手錘,裝等,4,3,7,0,20,2,0,1
單手劍,裝等,5,3,10,0,30,2,0,1
戰刃,裝等,6,3,12,0,40,2,0,1
匕首,裝等,7,3,18,0,50,2,0,1
拳套,裝等,8,3,16,0,60,2,0,1
魔杖,裝等,9,3,56,0,70,2,0,1
雙手,裝等,10,0,0,0,20,1,0,1
雙手斧,裝等,11,3,4,0,10,10,0,1
雙手錘,裝等,12,3,8,0,20,10,0,1
雙手劍,裝等,13,3,11,0,30,10,0,1
長柄武器,裝等,14,3,9,0,40,10,0,1
法杖,裝等,15,3,13,0,50,10,0,1
遠程,裝等,16,0,0,0,30,1,0,1
弓,裝等,17,3,5,0,10,16,0,1
弩,裝等,18,3,55,0,20,16,0,1
槍械,裝等,19,3,6,0,30,16,0,1
投擲武器,裝等,20,3,34,0,40,16,0,1
雜項,裝等,21,0,0,0,40,1,0,1
魚竿,裝等,22,3,57,0,10,21,0,1
其他,裝等,23,3,17,0,20,21,0,1
護甲,裝等,24,5,0,0,200,0,0,1
鎧甲,裝等,25,5,23,0,10,24,0,1
符文雕刻,裝等,26,5,23,0,10,25,12,1
頭部,裝等,27,5,23,1,20,25,0,1
肩部,裝等,28,5,23,3,30,25,0,1
胸部,裝等,29,5,23,5,40,25,0,1
腰部,裝等,30,5,23,6,50,25,0,1
腿部,裝等,31,5,23,7,60,25,0,1
腳部,裝等,32,5,23,8,70,25,0,1
手腕,裝等,33,5,23,9,80,25,0,1
手部,裝等,34,5,23,10,90,25,0,1
鎖甲,裝等,35,5,22,0,20,24,0,1
符文雕刻,裝等,36,5,22,0,10,35,12,1
頭部,裝等,37,5,22,1,20,35,0,1
肩部,裝等,38,5,22,3,30,35,0,1
胸部,裝等,39,5,22,5,40,35,0,1
腰部,裝等,40,5,22,6,50,35,0,1
腿部,裝等,41,5,22,7,60,35,0,1
腳部,裝等,42,5,22,8,70,35,0,1
手腕,裝等,43,5,22,9,80,35,0,1
手部,裝等,44,5,22,10,90,35,0,3
皮甲,裝等,45,5,21,0,30,24,0,1
符文雕刻,裝等,46,5,21,0,10,45,12,1
頭部,裝等,47,5,21,1,20,45,0,1
肩部,裝等,48,5,21,3,30,45,0,1
胸部,裝等,49,5,21,5,40,45,0,1
腰部,裝等,50,5,21,6,50,45,0,1
腿部,裝等,51,5,21,7,60,45,0,1
腳部,裝等,52,5,21,8,70,45,0,1
手腕,裝等,53,5,21,9,80,45,0,1
手部,裝等,54,5,21,10,90,45,0,1
布甲,裝等,55,5,20,0,40,24,0,1
符文雕刻,裝等,56,5,20,0,10,55,12,1
頭部,裝等,57,5,20,1,20,55,0,1
肩部,裝等,58,5,20,3,30,55,0,1
胸部,裝等,59,5,20,5,40,55,0,1
腰部,裝等,60,5,20,6,50,55,0,1
腿部,裝等,61,5,20,7,60,55,0,1
腳部,裝等,62,5,20,8,70,55,0,1
手腕,裝等,63,5,20,9,80,55,0,1
手部,裝等,64,5,20,10,90,55,0,1
雜項,裝等,65,5,19,0,50,24,0,1
符文雕刻,裝等,66,5,19,0,10,65,12,1
頸部,裝等,67,5,19,2,20,65,0,1
披風,裝等,68,5,20,16,30,65,0,1
手指,裝等,69,5,19,11,40,65,0,1
飾品,裝等,70,5,19,12,50,65,0,1
副手物品,裝等,71,5,19,23,60,65,0,1
盾牌,裝等,72,5,25,14,70,65,0,3
襯衣,裝等,73,5,19,4,80,65,0,1
頭部,裝等,74,5,19,1,90,65,0,1
造型,裝等,75,5,24,0,60,24,0,1
容器,欄位,76,2,0,0,300,0,0,2
背包,欄位,77,2,2,0,10,76,0,2
礦石包,欄位,78,2,118,0,20,76,0,2
釣餌箱,欄位,79,2,171,0,30,76,0,2
銘文包,欄位,80,2,167,0,40,76,0,2
製皮包,欄位,81,2,149,0,50,76,0,2
草藥包,欄位,82,2,109,0,60,76,0,2
附魔包,欄位,83,2,110,0,70,76,0,2
工程包,欄位,84,2,111,0,80,76,0,2
寶石包,欄位,85,2,116,0,90,76,0,2
烹飪包,欄位,86,2,179,0,100,76,0,2
寶石,裝等,87,4,0,0,400,0,0,1
神兵聖物,裝等,88,4,187,0,10,87,0,1
智力,裝等,89,4,36,0,20,87,0,1
敏捷,裝等,90,4,119,0,30,87,0,1
力量,裝等,91,4,120,0,40,87,0,1
耐力,裝等,92,4,121,0,50,87,0,1
致命一擊,裝等,93,4,123,0,60,87,0,1
精通,裝等,94,4,124,0,70,87,0,1
加速,裝等,95,4,125,0,80,87,0,1
臨機應變,裝等,96,4,126,0,90,87,0,1
其他,裝等,97,4,169,0,100,87,0,1
多項屬性,裝等,98,4,170,0,110,87,0,1
物品附魔,裝等,99,9,0,0,500,0,0,1
胸部,裝等,100,9,191,0,10,99,0,1
手腕,裝等,101,9,192,0,20,99,0,1
手部,裝等,102,9,193,0,30,99,0,1
雜項,裝等,103,9,201,0,40,99,0,1
頭部,裝等,104,9,48,0,50,99,0,1
雙手武器,裝等,105,9,199,0,60,99,0,1
盾牌/副手,裝等,106,9,200,0,70,99,0,1
