ID,DisplayName_lang,Description_lang,Type,Cost_Modifier,Race,Sex,Data
3,長,,0,1,11,0,0
4,狐尾,,0,1,11,0,1
5,辮子,,0,1,11,0,2
6,後梳,,0,1,11,0,3
7,刺馬尾,,0,1,11,0,4
8,鑲珠辮子,,0,1,11,0,5
9,角狀,,0,1,11,0,6
10,圈圈馬尾,,0,1,11,0,7
11,禿頭,,0,1,11,0,8
19,光滑,,2,0.75,11,0,0
20,分散卷鬚,,2,0.75,11,0,1
21,怒衝,,2,0.75,11,0,2
22,兩頰,,2,0.75,11,0,3
23,大鬍鬚,,2,0.75,11,0,4
24,靈斑鬍,,2,0.75,11,0,5
25,山羊鬍,,2,0.75,11,0,6
26,雙卷鬚,,2,0.75,11,0,7
27,直,,0,1,1,1,0
28,蓬鬆,,0,1,1,1,1
29,瀏海,,0,1,1,1,2
30,厚重,,0,1,1,1,3
31,分線長髮,,0,1,1,1,4
32,輕飄飄,,0,1,1,1,5
33,男生頭,,0,1,1,1,6
34,右分線馬尾,,0,1,1,1,7
35,左分線馬尾,,0,1,1,1,8
36,鮑伯頭,,0,1,1,1,9
37,打層次,,0,1,1,1,10
38,短,,0,1,1,1,11
39,花俏,,0,1,1,1,12
40,波浪,,0,1,1,1,13
41,圓髻,,0,1,1,1,14
42,分線短髮,,0,1,1,1,15
43,捲髮鮑伯,,0,1,1,1,16
44,隨便綁一綁,,0,1,1,1,17
55,無穿孔,,2,0.75,1,1,0
56,耳環,,2,0.75,1,1,1
57,上部耳環,,2,0.75,1,1,2
58,雙上部耳環,,2,0.75,1,1,3
59,全部都穿環,,2,0.75,1,1,4
60,鼻環,,2,0.75,1,1,5
61,鼻和眉環,,2,0.75,1,1,6
62,緊貼,,0,1,1,1,18
63,禿頭,,0,1,1,0,0
64,農夫,,0,1,1,0,1
65,士兵,,0,1,1,0,2
66,僧侶,,0,1,1,0,3
67,野蠻人,,0,1,1,0,4
68,華麗,,0,1,1,0,5
69,蓬鬆,,0,1,1,0,6
70,奉承者,,0,1,1,0,7
71,學者,,0,1,1,0,8
72,盜賊,,0,1,1,0,9
73,驚人,,0,1,1,0,10
74,大力士,,0,1,1,0,11
85,鉤鬍,,2,0.75,1,0,0
86,上校,,2,0.75,1,0,1
87,決鬥者,,2,0.75,1,0,2
88,山羊鬍,,2,0.75,1,0,3
89,巫師,,2,0.75,1,0,4
90,兩頰,,2,0.75,1,0,5
91,落腮鬍,,2,0.75,1,0,6
92,大鬍鬚,,2,0.75,1,0,7
93,清爽,,2,0.75,1,0,8
125,直,,0,1,11,1,0
126,輕飄飄,,0,1,11,1,1
127,可愛,,0,1,11,1,2
128,羽毛,,0,1,11,1,3
129,圓髻,,0,1,11,1,4
130,鑲珠髮帶,,0,1,11,1,5
131,瀏海,,0,1,11,1,6
132,優雅,,0,1,11,1,7
133,彈性,,0,1,11,1,8
134,露頸,,0,1,11,1,9
135,漂亮,,0,1,11,1,10
143,彎曲,,2,0.75,11,1,0
144,捲曲,,2,0.75,11,1,1
145,拱形,,2,0.75,11,1,2
146,高,,2,0.75,11,1,3
147,分散,,2,0.75,11,1,4
148,巨大,,2,0.75,11,1,5
149,短,,2,0.75,11,1,6
175,高馬尾,,0,1,10,1,0
176,分線長髮,,0,1,10,1,1
177,緊貼,,0,1,10,1,2
178,高貴,,0,1,10,1,3
179,鑲珠髮帶,,0,1,10,1,4
180,厚重,,0,1,10,1,5
181,繫帶,,0,1,10,1,6
182,圓髻,,0,1,10,1,7
183,分線短髮,,0,1,10,1,8
184,簡單,,0,1,10,1,9
185,半遮面,,0,1,10,1,10
186,瑞秋頭,,0,1,10,1,11
187,捲曲,,0,1,10,1,12
188,頭帶,,0,1,10,1,13
200,紅寶石,,2,0.75,10,1,1
201,大圈圈,,2,0.75,10,1,2
202,耳環,,2,0.75,10,1,3
203,翡翠耳墜,,2,0.75,10,1,4
204,翡翠和耳飾,,2,0.75,10,1,5
205,上部耳環,,2,0.75,10,1,6
206,珍珠,,2,0.75,10,1,7
207,紅寶石耳墜,,2,0.75,10,1,8
208,翡翠珍珠耳飾,,2,0.75,10,1,9
209,翡翠和上部耳環,,2,0.75,10,1,10
245,輕飄飄,,0,1,10,0,0
246,後梳,,0,1,10,0,1
247,隼鷹,,0,1,10,0,2
248,狐尾,,0,1,10,0,3
249,分線長髮,,0,1,10,0,4
250,刺蝟頭,,0,1,10,0,5
251,長瀏海,,0,1,10,0,6
252,羽毛邊,,0,1,10,0,7
253,光亮,,0,1,10,0,8
254,頭帶,,0,1,10,0,9
255,沖天炮,,0,1,10,0,10
266,清爽,,2,0.75,10,0,0
267,尖頭鬚,,2,0.75,10,0,1
268,靈斑鬍,,2,0.75,10,0,2
269,尖刺,,2,0.75,10,0,3
270,頦尖,,2,0.75,10,0,4
271,短頦鬍,,2,0.75,10,0,5
272,條狀鬍,,2,0.75,10,0,6
273,匕首鬍,,2,0.75,10,0,7
274,山羊鬍,,2,0.75,10,0,8
275,時尚的下巴,,2,0.75,10,0,9
307,毛鬃,,0,1,4,0,0
308,辮子武士頭,,0,1,4,0,1
309,長,,0,1,4,0,2
310,馬尾,,0,1,4,0,3
311,長髮武士頭,,0,1,4,0,4
312,短馬尾,,0,1,4,0,5
313,怒髮衝冠,,0,1,4,0,6
322,清爽,,2,0.75,4,0,0
323,精心修飾,,2,0.75,4,0,1
324,鉤鬍,,2,0.75,4,0,2
325,大鬍鬚,,2,0.75,4,0,3
326,兩頰,,2,0.75,4,0,4
