ID,FlowTitle_lang,PopupTitle_lang,PopupDescription_lang,ServiceType,BoostType,IconFileDataID,Priority,Flags,ProfessionLevel,BoostLevel,Expansion,PopupUITextureKitID,Field_11_0_0_54675_012
1,直升100級,免費直升100級,《魔獸世界：軍臨天下》包含一次角色直升100級的服務。你可以選擇直升已經存在的角色、試玩新職業再使用直升，或者關閉視窗，下次再使用角色直升。,1,2,1033987,90,1,700,100,6,260,0
5,《決戰艾澤拉斯》直升,免費直升110級,《魔獸世界：決戰艾澤拉斯》包含一次角色直升110級的服務。選擇一個下列選項，或者關閉視窗，下次再使用角色直升。,1,3,3573824,80,1,700,48,7,265,0
6,直升90級,免費直升90級,購買《德拉諾之霸》獲得的免費角色直升服務,1,1,614740,100,0,625,90,5,260,0
107,免費試玩《巨龍崛起》,免費試玩《巨龍崛起》,《巨龍崛起》在限時時間內開放免費遊玩！|n|n你可以創建半龍人喚能師或是以任何60級的角色前往探索巨龍群島。,0,0,4723908,1100,0,0,0,7,265,0
118,《暗影之境》直升,免費直升120級,,1,4,3752121,50,1,0,50,7,265,0
120,直升60級,免費直升60級,,1,6,4279397,60,1,0,60,8,265,5595
123,角色轉移,角色轉移,將你的角色轉移至另一個伺服器或帳號,2,1,1530081,40,0,0,0,0,5362,5590
125,陣營轉換,陣營轉換,轉換角色的陣營(由部落變成聯盟，或是由聯盟變成部落),2,2,1126583,35,0,0,0,0,5362,5587
139,種族變更,種族變更,改變角色的種族(僅限你當前的陣營),2,3,1126585,30,0,0,0,0,5362,5589
140,角色更名,角色更名,改變角色的名稱,2,4,1126584,25,0,0,0,0,5362,5588
143,直升70級,免費直升70級,,1,8,4734167,70,0,0,70,9,5468,5594
