ID,Name_lang,Shortcut_lang,Flags,FactionGroup,Ruleset
1,綜合 - %s,綜合,1572875,0,0
2,交易 - %s,交易,1048635,0,0
22,本地防務 - %s,本地防務,1114123,0,0
26,尋求組隊,尋求組隊,262152,0,0
27,大腳世界頻道,大腳世界頻道,8,0,0
28,集合石,集合石,8,0,0
32,新手頻道,新手頻道,14680072,0,1
33,zzOLD Shadowlands Beta Discussion,暗影之境Beta討論,2097160,0,0
34,zzOLD Shadowlands PTR Discussion,暗影之境PTR討論,2097160,0,2
35,War Within Test Discussion,地心之戰測試討論,6291465,0,0
36,克羅米時光 -《浩劫與重生》,克羅米時光,2097160,0,2
37,克羅米時光 -《燃燒的遠征》,克羅米時光,2097160,0,2
38,克羅米時光 -《巫妖王之怒》,克羅米時光,2097160,0,2
39,克羅米時光 -《潘達利亞之謎》,克羅米時光,2097160,0,2
40,克羅米時光 -《德拉諾之霸》,克羅米時光,2097160,0,2
41,克羅米時光 -《軍臨天下》,克羅米時光,2097160,0,2
42,交易 (服務) - %s,服務,1048635,0,0
