Name_lang,Filename,Name_male_lang,Name_female_lang,PetNameToken,Description_lang,RoleInfoString_lang,DisabledString_lang,Hyphenated_name_male_lang,Hyphenated_name_female_lang,ID,CreateScreenFileDataID,SelectScreenFileDataID,IconFileDataID,LowResScreenFileDataID,Flags,SpellTextureBlobFileDataID,ArmorTypeMask,Field_9_0_1_34490_018,MaleCharacterCreationVisualFallback,MaleCharacterCreationIdleVisualFallback,FemaleCharacterCreationVisualFallback,FemaleCharacterCreationIdleVisualFallback,CharacterCreationIdleGroundVisualFallback,CharacterCreationGroundVisualFallback,AlteredFormCharacterCreationIdleVisualFallback,CharacterCreationAnimLoopWaitTimeMsFallback,CinematicSequenceID,DefaultSpec,PrimaryStatPriority,DisplayPower,RangedAttackPowerPerAgility,AttackPowerPerAgility,AttackPowerPerStrength,SpellClassSet,ClassColorR,ClassColorG,ClassColorB,RolesMask
戰士,WARRIOR,戰士,戰士,PET,戰士是身著鎧甲的鬥士，致力於完美的武裝戰技。戰士會在戰鬥中產生怒氣，可用於施展特殊的攻擊招式。,角色類型：|cffffffff坦克、近戰傷害輸出|r,你必須選擇不同的種族才能玩這個職業。,戰士,戰士,1,0,0,626008,0,169010,791568,113,20774,128667,132581,0,0,0,0,133297,15000,0,71,5,1,0,0,1,4,198,155,109,10
聖騎士,PALADIN,聖騎士,聖騎士,PET,聖騎士是身著重裝的鬥士，同時也是使用神聖魔法來治癒傷口並與邪惡抗衡的守護者。聖騎士可以專注於雙手武器、盾牌或治療的能力。,角色類型：|cffffffff坦克、治療者、近戰傷害輸出|r,你必須選擇不同的種族才能玩這個職業。,聖騎士,聖騎士,2,0,0,626003,0,135226,791563,2289,20774,128833,132580,0,0,0,0,0,15000,0,70,4,0,0,0,1,10,244,140,186,14
獵人,HUNTER,獵人,獵人,PET,獵人往往以荒野為家，並且熱愛與野獸為伍。獵人需要仰賴所選擇的武器，以及寵物來造成傷害。,角色類型：|cffffffff遠程或近戰傷害輸出|r,你必須選擇不同的種族才能玩這個職業。,獵人,獵人,3,0,0,626000,0,33174,791560,41,20771,128903,132586,0,0,0,133832,133292,15000,0,253,2,2,1,1,0,9,170,211,114,8
盜賊,ROGUE,盜賊,盜賊,PET,盜賊通常都會擔任刺客或者斥候的角色，而許多盜賊也習慣獨來獨往。盜賊擅於透過潛行來接近敵人，或者從後方偷襲，然後快速地解決敵手。,角色類型：|cffffffff近戰傷害輸出|r,你必須選擇不同的種族才能玩這個職業。,盜賊,盜賊,4,0,0,626005,0,167938,791565,37,20776,129018,132578,0,0,0,133289,133293,15000,0,259,3,3,1,1,0,8,255,244,104,8
牧師,PRIEST,牧師,牧師,PET,牧師是具備各式各樣能力的多元性治療者。話雖如此，牧師也可以犧牲治療能力，改用暗影魔法來造成傷害。,角色類型：|cffffffff治療者、遠程傷害輸出|r,你必須選擇不同的種族才能玩這個職業。,牧師,牧師,5,0,0,626004,0,2,791564,35,20775,129129,132579,0,0,0,134409,133296,15000,0,256,0,0,0,0,0,6,255,255,255,12
死亡騎士,DEATHKNIGHT,死亡騎士,死亡騎士,PET,死亡騎士是所謂的英雄職業，新創角色的起始等級高於一般職業。死亡騎士是近戰職業，但是著重於散播疾病與使用黑暗魔法。,角色類型：|cffffffff坦克、近戰傷害輸出|r,需要購買《暗影之境》，才可以創建所選種族的死亡騎士。,死亡騎士,死亡騎士,6,236082,236082,135771,1560617,189562,791558,3121,20769,128790,132590,0,0,0,131787,133291,20000,165,251,5,6,0,0,1,15,196,30,58,10
薩滿,SHAMAN,薩滿,薩滿,PET,薩滿使用元素的力量來強化他們的武器與法術。薩滿可以在戰鬥中召喚圖騰來牽制敵人、治療隊友，或者對敵人造成傷害。,角色類型：|cffffffff治療者、遠程傷害輸出、近戰傷害輸出|r,你必須選擇不同的種族才能玩這個職業。,薩滿,薩滿,7,0,0,626006,0,294938,791566,2665,20777,128753,132575,0,0,0,0,0,25000,0,262,0,0,0,1,0,11,0,112,221,12
法師,MAGE,法師,法師,PET,法師是艾澤拉斯最具代表性的魔法使用者，他們的技藝來自於本身所熱衷的魔法探索與學習。法師只能穿著輕便的護甲，但擅於組合各式攻擊或防禦性質的強力法術來保護自己。,角色類型：|cffffffff遠程傷害輸出|r,你必須選擇不同的種族才能玩這個職業。,法師,法師,8,0,0,626001,0,4098,791561,35,20772,128789,132585,0,0,0,133322,133295,15000,0,62,0,0,0,0,0,3,63,199,235,8
術士,WARLOCK,術士,術士,DEMON,術士使用火焰與暗影魔法來造成傷害、吸取能量，或者詛咒敵人。他們還會召喚惡魔僕從，供其使喚。,角色類型：|cffffffff遠程傷害輸出|r,你必須選擇不同的種族才能玩這個職業。,術士,術士,9,0,0,626007,0,134,791567,35,20778,129054,132568,0,0,0,133661,133290,15000,0,265,0,0,0,0,0,5,135,136,238,8
武僧,MONK,武僧,武僧,PET,武僧以拳腳功夫而聞名，但不論赤手空拳還是使用武器，身手都同樣俐落。此外，武僧亦可鑽研利用迷霧的療癒之力來醫治伙伴。,角色類型：|cffffffff坦克、治療者、近戰傷害輸出|r,需要潘達利亞之謎,武僧,武僧,10,0,0,626002,0,165378,791562,37,20773,129344,132583,0,0,0,0,0,15000,0,268,2,3,0,1,0,53,0,255,152,14
