ID,Name_lang,Description_lang,DescriptionShort_lang,Icon,Order,ChrRacesID
1,亡靈意志,可移除恐懼、昏睡和魅惑。,移除恐懼、昏睡和魅惑效果,136187,0,5
2,食屍,可吞食屍體，恢復生命力和法力。,吞食屍體以恢復生命力和法力,132278,1,5
3,墓穴之觸,可從敵人身上吸取生命力。,從敵人身上吸取生命力,136157,2,5
4,暗影抗性,對暗影傷害有抗性。,對暗影傷害有抗性,136152,3,5
5,人類精魂,提高加速、致命一擊、精通和臨機應變。,提高加速、致命一擊、精通和臨機應變,132874,0,1
6,回家最好,爐石效果加成,爐石效果加成,134328,1,1
7,人人為己,可解除昏迷效果。,解除昏迷效果,136129,2,1
8,石像形態,可以變為石化形態。,可以變為石化形態,136225,0,3
9,山岳之力,提高致命一擊的效果。,提高致命一擊的效果,133042,1,3
10,冰霜抗性,對冰霜傷害有抗性。,對冰霜傷害有抗性,135865,2,3
11,探險者,發現更多考古學碎片和提高勘察的速度。,發現更多考古學碎片和提高勘察的速度,237387,3,3
98,遠古歷史,提高銘文學技能。,提高銘文學技能,1723985,4,27
99,魔法親和,提高魔法傷害。,提高魔法傷害,1723986,2,27
100,異法咒術,召喚出一部會飛的魔典，讓你可以使用郵箱。,召喚出一部會飛的魔典，讓你可以使用郵箱,1723988,1,27
101,混亂之擁,使用技能有一定機率讓你受到虛無精華的強化。,受到虛無力量的強化,1723992,1,29
102,以太連結,降低使用虛空倉庫和塑形所需的花費。,降低使用虛空倉庫和塑形所需的花費,1723993,3,29
103,超凡沉著,你在施放法術時，不會因為受到傷害而延遲。,施放法術不會因為受到傷害而延遲,1724001,2,29
104,暗夜酷寒,對暗影傷害有抗性。,對暗影傷害有抗性,1723989,4,29
105,空間裂隙,撕開一道空間裂隙，並傳送至目的地。,透過空間裂隙進行傳送,1724004,0,29
106,秘法抗性,對秘法傷害有抗性。,對秘法傷害有抗性,1723997,3,27
107,秘法脈衝,對附近的敵人造成傷害並使其緩速。,對附近的敵人造成傷害並使其緩速,1851463,0,27
108,怒牛暴衝,向前衝鋒，擊倒敵人。,向前衝鋒，擊倒敵人,1723987,0,28
109,鐵角之傲,提高採礦技能和採礦速度。,提高採礦技能和採礦速度,1724002,4,28
110,不浪費，不乏匱,有機會拾取額外的肉類和魚類。,有機會拾取更多肉類和魚類,1724005,3,28
111,山嶺居民,提高臨機應變。,臨機應變提高,1723999,2,28
112,堅忍不屈,降低受到的攻擊傷害。,降低受到的攻擊傷害,1724003,1,28
113,聖光審判,對一個區域造成大量的神聖傷害。,對一個區域造成大量的神聖傷害,1724000,0,30
114,神聖抗性,降低受到的神聖傷害。,降低受到的神聖傷害,1723996,2,30
115,聖光清算,死亡時爆發，對附近的敵人造成神聖傷害，並治療附近的盟友。,死亡時爆發聖光能量，傷害附近的敵人，並治療附近的盟友,1723994,1,30
116,聖光熔爐,提高鍛造技能，並且能召喚一座鐵砧。,提高鍛造技能，並且能召喚一座熔爐,1723995,3,30
117,惡魔剋星,提高殺死惡魔獲得的經驗值。,提高殺死惡魔獲得的經驗值,1723990,4,30
118,焰血,移除有害效果並強化你的能力。,移除有害效果並強化你的能力,1786406,0,34
119,地城鑽研家,在室內時移動速度提高。,提高在室內的移動速度,1786405,1,34
120,大量生產,提升鍛造技能，加快鍛造速度。,提高鍛造技能，加快鍛造速度,1786408,2,34
121,鑽地機,在戶外時召喚一台鑽地機挖掘地底隧道。,召喚鑽地機穿過地底到達目標地點,1786409,3,34
122,火鑄而生,降低受到的物理傷害。,降低受到的物理傷害,1786407,4,34
123,祖靈之喚,祈求祖靈將他們的力量賦予你。,祈求祖靈將他們的力量賦予你,2021574,0,36
124,廣闊藍天,在戶外時提高坐騎速度。,在戶外時提高坐騎速度,2021575,1,36
125,共感活力,提高寵物生命力。,提高寵物生命力,2021577,2,36
126,野蠻之血,縮短所有毒藥、疾病和詛咒在你身上的作用時間。,縮短所有毒藥、疾病和詛咒的作用時間,2021576,3,36
127,再生,集中精神，在短時間內快速地治療自己。,在短時間內快速治療自己,1850550,0,31
128,羅亞之擁,向羅亞祈禱，獲得六位羅亞之中其中一位的恩澤。,向羅亞祈禱，獲得六位羅亞之中其中一位的恩澤,1850548,1,31
129,黃金之城,從生物身上找到更多金幣。,從生物身上找到更多金幣,1850547,2,31
130,翼手龍俯衝,召喚一隻翼手龍以降低你的掉落速度。,召喚一隻翼手龍降低你的掉落速度,1850549,3,31
131,奮力一擊,痛擊對手，使其昏迷並且將其擊退。,痛擊對手，使其昏迷並且將其擊退,2447782,0,32
132,樣樣精通,提高所有專業技能。,提高所有專業技能,2447783,1,32
133,古舟子詠,對冰霜和自然傷害有抗性。,對冰霜和自然傷害有抗性,2447784,2,32
134,海洋之子,在水中可游得更快，閉氣時間更長。,在水中可游得更快，閉氣時間更長,2447781,3,32
135,不拘小節,提高臨機應變，並且將你受到的部份傷害轉為治療。,提高臨機應變，並且將你受到的部份傷害轉為治療,2447780,4,32
144,超有機光學產生器,召喚複製體來引開敵人的注意。,召喚複製體引開敵人的注意,3192686,0,37
145,大師工藝,你的身體可作為專業技能的工作臺。,身體可作為專業技能的工作臺,3192687,2,37
146,戰鬥分析,隨著你在戰鬥中對敵人的分析而逐漸提高戰鬥力。,在戰鬥中分析敵人而逐漸提高戰鬥力,3192685,1,37
147,萬用小指頭,能夠開鎖。,能夠開鎖,3192689,3,37
148,緊急應變,在你受重傷時自動為你治療。,在受重傷時自動為你治療,3192688,4,37
149,百寶袋/翻找背包,使用特殊的計策來傷害一名敵人或是治療一名盟友。在世界裡收集各種不同的計策。,使用計策來傷害敵人或是協助盟友,3193416,0,35
