Name_lang,FemaleName_lang,Description_lang,ID,ClassID,OrderIndex,PetTalentType,Role,Flags,SpellIconFileID,PrimaryStatPriority,AnimReplacements,MasterySpellID[0],MasterySpellID[1]
秘法,秘法,"操縱狂野的秘法能量，以無比強大的法力徹底毀滅敵人。
慣用武器：法杖、魔杖、匕首、劍",62,8,0,0,2,3,135932,0,362,190740,0
火焰,火焰,"擅長集中火焰魔法的純淨精華、以炸裂的燃焰攻擊敵人。
慣用武器：法杖、魔杖、匕首、劍",63,8,1,0,2,3,135810,0,362,12846,0
冰霜,冰霜,"擅長以冰霜魔法先將敵人的行動封住、再進一步將其粉碎的法師。
慣用武器：法杖、魔杖、匕首、劍",64,8,2,0,2,67,135846,0,362,76613,0
神聖,神聖,"能召喚聖光的力量來為盟友進行防護和治療，並從世界上的每個黑暗角落驅逐邪惡勢力。
慣用武器：劍、錘和盾牌",65,2,0,0,1,5,135920,1,0,183997,0
防護,防護,"使用神聖魔法，在敵人的攻擊中保護自身和盟友。

慣用武器：劍、錘、斧和盾牌",66,2,1,0,0,4,236264,5,0,76671,0
懲戒,懲戒,"以武器和神聖魔法來審判與懲罰敵人的正義使者。

慣用武器：雙手劍、錘、斧",70,2,2,0,2,68,135873,5,0,267316,0
武器,武器,"訓練有素的武器大師，擅長以敏捷的身手和威力強大的招式來擊敗敵人。

慣用武器：雙手斧、錘、劍",71,1,0,0,2,68,132355,5,0,262111,0
狂怒,狂怒,"攻勢猛烈的狂怒戰士，擅長雙持武器以怒濤般的攻勢將敵人砍成碎塊。

慣用武器：雙持雙手斧、錘、劍",72,1,1,0,2,20,132347,5,0,76856,0
防護,防護,"英勇的守護者，擅長利用盾牌來保護自己和盟友。

慣用武器：斧、錘、劍和盾牌",73,1,2,0,0,4,132341,5,0,76857,0
凶暴,凶暴,這些肉食性野獸對追殺獵物有近乎瘋狂的執著，沒有任何東西能阻撓牠們，甚至連死亡都只是暫時性的而已。,74,0,0,0,2,0,236159,0,0,0,0
靈巧,靈巧,狡黠的生物，能夠以純熟的技巧來為自身或盟友減輕足以致命的攻擊。,79,0,2,2,2,0,132150,0,0,0,0
堅毅,堅毅,堅實老練的防禦者，忠心耿耿地利用牠們的厚皮堅甲和強韌的體魄來保護同伴。,81,0,1,1,0,0,132121,0,0,0,0
平衡,平衡,"可變形成強大的月夜梟獸，均衡利用秘法系和自然系的魔法消滅敵人。
慣用武器：法杖、匕首、錘",102,11,0,0,2,331,136096,0,363,393014,0
野性戰鬥,野性戰鬥,"變成獵豹形態，以尖牙和利爪對敵人進行撕咬和流血攻擊。
慣用武器：法杖、長柄武器",103,11,1,0,2,260,132115,3,363,77493,0
守護者,守護者,"變成力量強大的熊形態來吸收傷害和保護隊友。

慣用武器：法杖、長柄武器",104,11,2,0,0,4,132276,3,363,155783,0
恢復,恢復,"引導強大的自然之力，治療同伴、讓同伴恢復活力。

慣用武器：法杖、匕首、錘",105,11,3,0,1,3,136041,0,363,77495,0
血魄,血魄,"黑暗守護者，能操控和腐化生命能量來抵禦敵人的猛攻。

慣用武器：雙手斧、錘、劍",250,6,0,0,0,4,135770,5,0,77513,0
冰霜,冰霜,"末日的寒冰先驅者，可以引導符能並進行猛烈的武器打擊。
慣用武器：雙斧、錘、劍",251,6,1,0,2,4,135773,5,0,77514,0
穢邪,穢邪,"精通死亡與凋零之力，能散播疫病以及控制不死僕從為其效命。

慣用武器：雙手斧、錘、劍",252,6,2,0,2,68,135775,5,0,77515,0
野獸控制,野獸控制,"熟悉野生動物習性的獵人，可馴服多種野獸協助其作戰。
慣用武器：弓、弩、槍",253,3,0,0,2,66,461112,2,0,76657,0
射擊,射擊,"技術純熟、老練的神射手，擅長從遠處擊殺敵人。

慣用武器：弓、弩、槍",254,3,1,0,2,2,236179,2,0,193468,0
生存,生存,"適應力超群的遊俠，擅長使用爆裂物、動物毒液、還有與野獸夥伴同步攻擊。
慣用武器：長柄武器、法杖",255,3,2,0,2,260,461113,2,0,263135,0
戒律,戒律,"保護盟友免受攻擊，並能重擊敵人來治癒傷勢。
慣用武器：法杖、魔杖、匕首、錘",256,5,0,0,1,67,135940,0,353,271534,0
神聖,神聖,"機動性強的治療者，可以治療個體或團體所受的傷害，甚至死後都還能繼續治療隊友。
慣用武器：法杖、魔杖、匕首、錘",257,5,1,0,1,3,237542,0,353,77485,0
暗影,暗影,"精於使用詭譎的暗影魔法和恐怖的虛無魔法來徹底消滅敵人。
慣用武器：法杖、魔杖、匕首、錘",258,5,2,0,2,11,136207,0,353,343690,0
刺殺,刺殺,"致命的毒藥專家，擅長用狠毒的匕首連擊來解決敵人。
慣用武器：匕首",259,4,0,0,2,68,236270,3,0,76803,0
暴徒,暴徒,"冷酷無情的亡命之徒，擅長運用各種靈敏狡猾的招式和敵人近身纏鬥。
慣用武器：斧、錘、劍、拳套",260,4,1,0,2,4,236286,3,0,76806,0
敏銳,敏銳,"隱匿行蹤的潛行者，擅長從暗處伏擊毫無戒備的獵物。

慣用武器：匕首",261,4,2,0,2,4,132320,3,0,76808,0
元素,元素,"駕馭大自然與元素的毀滅性力量來攻擊敵人的施法者。
慣用武器：錘、匕首和盾牌",262,7,0,0,2,75,136048,0,369,168534,0
增強,增強,"活用圖騰的戰士，使用灌注元素之力的武器來打擊敵人。
慣用武器：雙斧、錘、拳套",263,7,1,0,2,260,237581,2,369,77223,0
