ID,Description_lang,Parent,Amount,Operator,CriteriaID,OrderIndex,Flags
2,最大持有金幣總額,0,0,4,0,0,0
3,最大持有金幣總額:,2,0,0,4224,1,8
5,持有的坐騎數量,0,0,4,0,0,0
6,擁有的坐騎總數,5,0,0,4787,1,0
8,用增重的南瓜燈籠在下列種族頭上放個南瓜頭。,0,0,4,0,0,0
9,矮人,8,1,0,5776,3,0
10,地精,8,1,0,5772,4,0
11,血精靈,8,1,0,5774,1,0
12,德萊尼,8,1,0,5775,2,0
13,人類,8,1,0,5777,6,0
14,夜精靈,8,1,0,5778,7,0
15,獸人,8,1,0,5779,8,0
16,牛頭人,8,1,0,5780,9,0
17,食人妖,8,1,0,5781,10,0
18,不死族,8,1,0,5782,11,0
19,狼人,8,1,0,17854,12,0
20,哥布林,8,1,0,17855,5,0
22,決鬥落敗次數,0,0,4,0,0,0
23,決鬥落敗次數,22,0,0,3630,1,0
25,死於巫妖王之怒25人團隊首領的總次數,0,0,5,0,0,0
26,XT-002拆解者,25,0,0,11019,25,0
27,芙蕾雅,25,0,0,11027,33,0
28,彌米倫,25,0,0,11028,34,0
29,威札斯將軍,25,0,0,11029,35,0
30,尤格薩倫,25,0,0,11030,36,0
31,『觀察者』艾爾加隆,25,0,0,11031,37,0
32,『風暴看守者』艾瑪隆,25,0,0,11032,38,0
33,烈焰戰輪,25,0,0,11016,22,0
34,銳鱗,25,0,0,11017,23,0
35,『火爐之主』伊格尼司,25,0,0,11018,24,0
36,奧芮雅,25,0,0,11024,30,0
37,霍迪爾,25,0,0,11025,31,0
38,破鋼者,25,0,0,11020,26,0
39,風暴召喚者布倫迪爾,25,0,0,11022,28,0
40,柯洛剛恩,25,0,0,11023,29,0
41,泰迪斯,25,0,0,7839,13,0
42,寇斯艾茲族長,25,0,0,7845,7,0
43,縫補者,25,0,0,7838,14,0
44,薩菲隆,25,0,0,7840,12,0
45,科爾蘇加德,25,0,0,7841,11,0
46,布洛莫斯女士,25,0,0,7842,10,0
47,瑞文戴爾男爵,25,0,0,7843,9,0
48,『瘟疫使者』諾斯,25,0,0,7837,15,0
49,『不潔者』海根,25,0,0,7833,19,0
50,『石之看守者』亞夏梵,25,0,0,7848,4,0
51,阿努比瑞克漢,25,0,0,7828,1,0
52,古魯斯,25,0,0,7829,21,0
53,『收割者』高希,25,0,0,7830,2,0
54,大寡婦費琳娜,25,0,0,7831,20,0
55,葛羅巴斯,25,0,0,7832,3,0
56,講師拉祖維斯,25,0,0,7834,18,0
57,憎恨者,25,0,0,7835,17,0
58,梅克絲娜,25,0,0,7836,16,0
59,撒爾薩里安,25,0,0,7846,6,0
60,阿努巴拉克,25,0,0,13296,44,0
61,亡語女士,25,0,0,13298,46,0
62,『寒冰看守者』拓拉梵,25,0,0,13291,39,0
63,腐臉,25,0,0,13304,52,0
64,冰嚎,25,0,0,13292,40,0
65,札里克爵士,25,0,0,7844,8,0
66,瑪里苟斯,25,0,0,7847,5,0
67,賈拉克瑟斯領主,25,0,0,13293,41,0
68,菲歐拉‧光寂,25,0,0,13294,42,0
69,瑪洛嘉領主,25,0,0,13297,45,0
70,死亡使者薩魯法爾,25,0,0,13299,47,0
71,血腥女王菈娜薩爾,25,0,0,13300,48,0
72,辛德拉苟莎,25,0,0,13301,49,0
73,巫妖王,25,0,0,13302,50,0
74,膿腸,25,0,0,13303,51,0
75,普崔希德教授,25,0,0,13305,53,0
76,艾狄絲‧暗寂,25,0,0,13295,43,0
77,符文大師墨吉姆,25,0,0,11021,27,0
78,索林姆,25,0,0,11026,32,0
80,取得「總元帥」頭銜。,0,0,4,0,0,0
81,總元帥,80,0,0,707,1,2
83,取得「少校」頭銜。,0,0,4,0,0,0
84,少校,83,0,0,711,1,2
86,取得「騎士」頭銜。,0,0,4,0,0,0
87,騎士,86,0,0,721,1,2
89,秘法寶庫（魔古山寶庫下部）,0,0,4,0,0,0
90,四王,89,1,0,19113,0,16
91,艾拉岡,89,1,0,19767,1,16
92,大帝之志,89,1,0,19115,2,16
