ID,Name_lang,Flags,ExpansionID,ParentCategoryID
1,雜項,16,0,0
2,玩家對玩家,16,0,0
3,未使用,19,0,0
4,艾澤拉斯,16,0,257
21,巫妖王之怒,16,2,257
22,地城與團隊,16,0,0
23,燃燒的遠征,16,1,257
41,測試,0,0,0
81,浩劫與重生,16,3,257
82,考古學,4,0,0
89,變量,4,0,0
133,潘達利亞之謎,16,4,257
137,德拉諾之霸,16,5,257
141,軍團,16,6,257
142,Hidden,4,0,0
143,決戰艾澤拉斯,16,7,257
144,虛擬,8,0,0
245,暗影之境,16,8,257
246,除蟲,0,0,0
248,Torghast UI (Hidden),4,8,0
250,巨龍軍團,16,9,0
251,Dragon Racing UI (Hidden),4,9,0
252,巨牙海民 - 漁網(隱藏),4,9,0
253,Test Subcategory 1,4,8,256
254,Test Subcategory 2,4,8,253
255,Test Subcategory 3,4,8,245
256,Test Subcategory 4,4,8,245
257,遺物,16,0,0
260,地心之戰,0,10,0
