Name_lang,ID,UiTextureAtlasElementID,DecorCategoryID,OrderIndex
座椅,1,29176,1,0
床,2,29113,1,3
門,3,29125,2,0
建造,4,29203,2,1
桌子,5,29191,1,1
持有收藏,6,29185,1,2
其他家具,7,30799,1,4
窗戶,8,29206,2,2
大型結構,9,29155,2,3
其他結構,10,30799,2,4
裝飾,11,29164,3,0
壁飾,12,29197,3,1
食物和飲料,13,29131,3,2
地板,14,29128,3,3
其他點綴,15,30799,3,4
大型照明,16,29152,4,0
壁掛照明,17,29200,4,1
天花板照明,18,29140,4,2
小型照明,19,29182,4,3
其他照明,21,30799,4,4
功能性,22,29194,5,0
大型植物裝飾,25,29149,6,0
小型植物裝飾,26,29179,6,1
樹叢,27,29116,6,2
地被,28,29137,6,3
其他自然物件,29,30799,6,4
其他：全部,34,30799,8,0
房間：全部,35,0,9,0
其他功能物件,51,30799,5,1
