Name_lang,EntryOffset[0],EntryOffset[1],EntryOffset[2],ID,Size,ParentComponentID,ModelFileDataID,Flags,Field_12_0_0_63534_007,Type,Field_12_0_0_63534_009,GameObjectID,Field_11_2_7_64044_011,ItemID,HouseExteriorWmoDataID
[DNT] rt_hook01,0,0,0,129,1,0,0,0,1,13,1,0,0,0,9
灰泥,0,0,0,141,2,0,6648736,3,1,9,1,0,0,0,9
石製品,0,0,0,142,2,0,6648737,2,1,9,1,0,0,0,9
灰泥,0,0,0,144,3,0,6648733,3,1,9,1,0,0,0,9
小屋,0,0,0,145,3,0,6648734,2,1,9,1,0,0,0,9
灰泥,0,0,0,147,4,0,6648730,3,1,9,1,0,0,0,9
小屋,0,0,0,148,4,0,6648731,2,1,9,1,0,0,0,9
裝飾屋頂,0,0,0,568,4,0,6892531,2,4,10,1,0,36,267925,55
林地屋頂,0,0,0,569,4,0,6892530,3,4,10,1,0,36,267919,55
石頭,0,0,0,570,3,0,6892517,2,4,9,1,0,0,267867,55
裝飾,0,0,0,571,3,0,6892516,2,4,9,1,0,0,267866,55
林地屋頂,0,0,0,572,3,0,6892524,3,4,10,1,0,36,267937,55
裝飾屋頂,0,0,0,573,3,0,6892525,2,4,10,1,0,36,267943,55
林地,0,0,0,574,3,0,6892497,3,4,9,1,0,0,267865,55
粗製屋頂,0,0,0,575,3,0,6892526,2,4,10,1,0,36,267949,55
粗製屋頂,0,0,0,576,4,0,6892532,2,4,10,1,0,36,267931,55
石頭,0,0,0,577,4,0,6892523,2,4,9,1,0,0,267864,55
林地,0,0,0,578,4,0,6892521,3,4,9,1,0,0,267862,55
粗製屋頂,0,0,0,579,2,0,6892529,2,4,10,1,0,36,267967,55
石頭,0,0,0,580,2,0,6892520,2,4,9,1,0,0,267870,55
裝飾,0,0,0,581,2,0,6892519,2,4,9,1,0,0,267869,55
林地屋頂,0,0,0,582,2,0,6892527,3,4,10,1,0,36,267955,55
林地,0,0,0,583,2,0,6892518,3,4,9,1,0,0,267868,55
裝飾屋頂,0,0,0,584,2,0,6892528,2,4,10,1,0,36,267961,55
裝飾,0,0,0,585,4,0,6892522,2,4,9,1,0,0,267863,55
裝飾煙囪 - 青紫,0,0,0,586,1,0,6892547,2,4,16,1,0,36,267889,55
高古樸煙囪 - 青紫,0,0,0,587,1,0,6892545,2,4,16,1,0,36,267877,55
林地煙囪 - 青紫,0,0,0,588,1,0,6892544,2,4,16,1,0,36,267871,55
林地窗戶,0,0,0,589,1,0,6892536,2,4,12,1,0,0,268016,55
林地入口通道 - 青紫,5.2331,0.0432,1.6591,590,1,0,6892533,3,4,11,1,613904,36,267901,55
林地塔樓 - 青紫,0,0,0,591,1,0,6892550,2,4,15,1,0,36,267986,55
裝飾塔樓 - 青紫,0,0,0,592,1,0,6892551,2,4,15,1,0,36,267992,55
粗製塔樓 - 青紫,0,0,0,593,1,0,6892553,2,4,15,1,0,36,268004,55
石頭塔樓 - 青紫,0,0,0,594,1,0,6892552,2,4,15,1,0,36,267998,55
裝飾石頭塔樓 - 青紫,0,0,0,595,1,0,6892554,2,4,15,1,0,36,268010,55
粗製入口通道 - 青紫,2.9381,0.0423,1.6541,596,1,0,6892535,2,4,11,1,613906,36,267913,55
裝飾入口通道 - 青紫,2.8441,0.0423,1.6625,597,1,0,6892534,2,4,11,1,613905,36,267907,55
粗製煙囪 - 青紫,0,0,0,598,1,0,6892546,2,4,16,1,0,36,267883,55
古樸煙囪 - 青紫,0,0,0,599,1,0,6892548,2,4,16,1,0,36,267895,55
古樸窗戶,0,0,0,600,1,0,6892537,2,4,12,1,0,0,268017,55
古樸屋窗,0,0,0,601,1,0,6892542,2,4,14,1,0,0,267979,55
林地屋窗 - 青紫,0,0,0,602,1,0,6892541,2,4,14,1,0,36,267973,55
裝飾屋窗 - 青紫,0,0,0,603,1,0,6892543,2,4,14,1,0,36,267980,55
拱形窗,0,0,0,604,1,0,6892538,2,4,12,1,0,0,268018,55
花格窗戶,0,0,0,605,1,0,6892539,2,4,12,1,0,0,268019,55
裝飾窗戶,0,0,0,606,1,0,6892540,2,4,12,1,0,0,268020,55
層疊尖塔 - 赤紅,0,0,0,607,1,0,6892591,2,5,15,1,0,37,267693,56
優雅尖塔 - 赤紅,0,0,0,608,1,0,6892589,2,5,15,1,0,37,267694,56
奢華煙囪,0,0,0,609,1,0,6892587,2,5,16,1,0,37,267695,56
鐘塔煙囪,0,0,0,610,1,0,6892586,2,5,16,1,0,37,267696,56
結實的有翼煙囪,0,0,0,611,1,0,6892588,2,5,16,1,0,37,267697,56
華貴煙囪,0,0,0,612,1,0,6892584,2,5,16,1,0,37,267698,56
有翼煙囪,0,0,0,613,1,0,6892585,2,5,16,1,0,37,267699,56
圓頂屋窗 - 赤紅,0,0,0,614,1,0,6892581,2,5,14,1,0,37,267700,56
華貴屋窗 - 赤紅,0,0,0,615,1,0,6892583,2,5,14,1,0,37,267701,56
華貴窗戶 - 赤紅,0,0,0,616,1,0,6892579,2,5,12,1,0,37,267702,56
圓頂窗戶 - 赤紅,0,0,0,617,1,0,6892580,2,5,12,1,0,37,267703,56
簡式入口通道,16.8511,0,1.427,618,1,0,6892573,3,5,11,1,613907,37,267704,56
宏偉入口通道 - 赤紅,16.7481,0.0001,1.427,619,1,0,6892575,2,5,11,1,613909,37,267705,56
優雅入口通道 - 赤紅,16.8511,0,1.427,620,1,0,6892574,2,5,11,1,613908,37,267706,56
圓頂屋頂,0,0,0,621,2,0,6892567,3,5,10,1,0,0,267707,56
紋刻,0,0,0,622,2,0,6892558,3,5,9,1,0,0,267708,56
刻面屋頂,0,0,0,623,4,0,6892571,2,5,10,1,0,0,267709,56
工匠,0,0,0,624,4,0,6892563,2,5,9,1,0,0,267710,56
拱門,0,0,0,625,4,0,6892562,2,5,9,1,0,0,267711,56
層疊屋頂,0,0,0,626,4,0,6892572,2,5,10,1,0,0,267712,56
層疊屋頂,0,0,0,627,3,0,6892566,2,5,10,1,0,0,267713,56
圓頂屋頂,0,0,0,628,3,0,6892564,3,5,10,1,0,0,267714,56
刻面屋頂,0,0,0,629,2,0,6892568,2,5,10,1,0,0,267715,56
工匠,0,0,0,630,3,0,6892557,2,5,9,1,0,0,267716,56
拱門,0,0,0,631,2,0,6892559,2,5,9,1,0,0,267717,56
紋刻,0,0,0,632,3,0,6892555,3,5,9,1,0,0,267718,56
紋刻,0,0,0,633,4,0,6892561,3,5,9,1,0,0,267719,56
圓頂屋頂,0,0,0,634,4,0,6892570,3,5,10,1,0,0,267720,56
拱門,0,0,0,635,3,0,6892556,2,5,9,1,0,0,267721,56
刻面屋頂,0,0,0,636,3,0,6892565,2,5,10,1,0,0,267722,56
工匠,0,0,0,637,2,0,6892560,2,5,9,1,0,0,267723,56
絲紋窗戶,0,0,0,638,1,0,6892576,2,5,12,1,0,0,267724,56
盆栽窗戶,0,0,0,639,1,0,6892577,2,5,12,1,0,0,267725,56
有翼窗戶,0,0,0,640,1,0,6892578,2,5,12,1,0,0,267726,56
優雅屋窗 - 赤紅,0,0,0,641,1,0,6892582,2,5,14,1,0,37,267727,56
簡約尖塔 - 赤紅,0,0,0,642,1,0,6892498,2,5,15,1,0,37,267728,56
刻面尖塔 - 赤紅,0,0,0,643,1,0,6892592,2,5,15,1,0,37,267729,56
結實尖塔 - 赤紅,0,0,0,644,1,0,6892590,2,5,15,1,0,37,267730,56
層疊屋頂,0,0,0,645,2,0,6892569,2,5,10,1,0,0,267731,56
遮頂入口 - 赤紅,-3.7703,0.1048,1.383,975,1,0,7118913,2,2,11,1,602706,37,0,87
吊橋式入口 - 赤紅,-4.4534,0.3277,2.4228,976,1,0,7118912,3,2,11,1,602705,37,0,87
廢金屬入口 - 赤紅,-2.9469,0.4999,2.1383,977,1,0,7118914,2,2,11,1,602707,37,0,87
拱形窗,0,0,0,978,1,0,7118916,2,2,12,1,0,0,0,87
圓形窗,0,0,0,979,1,0,7118917,2,2,12,1,0,0,0,87
遮頂窗,0,0,0,980,1,0,7118918,2,2,12,1,0,0,0,87
百葉窗,0,0,0,981,1,0,7118919,2,2,12,1,0,0,0,87
斜面窗,0,0,0,982,1,0,7118915,3,2,12,1,0,0,0,87
圓形窗,0,0,0,984,1,0,7118922,2,2,14,1,0,0,0,87
輻條煙囪,0,0,0,986,1,0,7338373,2,2,16,1,0,0,0,87
火爐煙囪,0,0,0,987,1,0,7118925,2,2,16,1,0,0,0,87
簡式煙囪,0,0,0,988,1,0,7118924,2,2,16,1,0,0,0,87
石頭煙囪 - 赤紅,0,0,0,989,1,0,7118923,3,2,16,1,0,0,0,87
通氣煙囪,0,0,0,990,1,0,7338375,2,2,16,1,0,0,0,87
光滑石材,0,0,0,999,4,0,6648679,2,2,9,1,0,0,0,87
回收木材,0,0,0,1000,4,0,6648678,3,2,9,1,0,0,0,87
光滑石材,0,0,0,1003,2,0,6648685,2,2,9,1,0,0,0,87
回收木材,0,0,0,1004,2,0,6648684,3,2,9,1,0,0,0,87
回收木材,0,0,0,1006,3,0,6648681,3,2,9,1,0,0,0,87
風化石材,0,0,0,1009,4,0,7118902,2,2,9,1,0,0,0,87
風化石材,0,0,0,1011,2,0,7118901,2,2,9,1,0,0,0,87
風化石材,0,0,0,1012,3,0,7118900,2,2,9,1,0,0,0,87
光滑石材,0,0,0,1207,3,0,6648682,2,2,9,0,0,0,0,87
方形窗,0,0,0,1379,1,0,7118946,2,1,12,0,0,0,0,9
簡式入口通道 - 海洋,-3.0023,0.0171,2.0121,1380,1,0,7450804,3,1,11,0,586576,8,0,9
簡式入口通道 - 芥末黃,-3.0023,0.0171,2.0121,1381,1,1380,7450818,2,1,11,0,586576,44,0,9
簡式入口通道 - 紫羅蘭,-3.0023,0.0171,2.0121,1382,1,1380,7450815,2,1,11,0,586576,36,0,9
簡式入口通道 - 赤紅,-3.0023,0.0171,2.0121,1383,1,1380,7450812,2,1,11,0,586576,37,0,9
簡式入口通道 - 肉荳蔻,-3.0023,0.0171,2.0121,1384,1,1380,7450809,2,1,11,0,586576,9,0,9
簡式入口通道 - 森林,-3.0023,0.0171,2.0121,1385,1,1380,7450805,2,1,11,0,586576,21,0,9
莊嚴塔樓 - 海洋,0,0,0,1386,1,0,7450803,2,1,15,0,0,8,0,9
莊嚴塔樓 - 芥末黃,0,0,0,1387,1,1386,7450862,2,1,15,0,0,44,0,9
莊嚴塔樓 - 紫羅蘭,0,0,0,1388,1,1386,7450857,2,1,15,0,0,36,0,9
莊嚴塔樓 - 赤紅,0,0,0,1389,1,1386,7450852,2,1,15,0,0,37,0,9
莊嚴塔樓 - 肉荳蔻,0,0,0,1390,1,1386,7450847,2,1,15,0,0,9,0,9
莊嚴塔樓 - 森林,0,0,0,1391,1,1386,7450842,2,1,15,0,0,21,0,9
方形塔樓 - 海洋,0,0,0,1392,1,0,7450802,2,1,15,0,0,8,0,9
