ID,ClassSpec_lang,ClassSpec_Male_lang,ClassSpec_Female_lang,UiTextureAtlasMemberID,GarrFollItemSetID,FollowerClassLimit,Flags
2,血魄死亡騎士,血魄死亡騎士,血魄死亡騎士,3487,6,0,0
3,冰霜死亡騎士,冰霜死亡騎士,冰霜死亡騎士,3487,7,0,0
4,穢邪死亡騎士,穢邪死亡騎士,穢邪死亡騎士,3487,8,0,0
5,平衡德魯伊,平衡德魯伊,平衡德魯伊,3485,9,0,0
7,野性戰鬥德魯伊,野性戰鬥德魯伊,野性戰鬥德魯伊,3485,10,0,0
8,守護者德魯伊,守護者德魯伊,守護者德魯伊,3485,11,0,0
9,恢復德魯伊,恢復德魯伊,恢復德魯伊,3485,12,0,0
10,野獸控制獵人,野獸控制獵人,野獸控制獵人,3477,13,0,0
12,射擊獵人,射擊獵人,射擊獵人,3477,14,0,0
13,生存獵人,生存獵人,生存獵人,3477,15,0,0
14,秘法法師,秘法法師,秘法法師,3482,16,0,0
15,火焰法師,火焰法師,火焰法師,3482,17,0,0
16,冰霜法師,冰霜法師,冰霜法師,3482,18,0,0
17,釀酒武僧,釀酒武僧,釀酒武僧,3480,19,0,0
18,織霧武僧,織霧武僧,織霧武僧,3480,20,0,0
19,御風武僧,御風武僧,御風武僧,3480,21,0,0
20,神聖聖騎士,神聖聖騎士,神聖聖騎士,3486,22,0,0
21,防護聖騎士,防護聖騎士,防護聖騎士,3486,23,0,0
22,懲戒聖騎士,懲戒聖騎士,懲戒聖騎士,3486,24,0,0
23,戒律牧師,戒律牧師,戒律牧師,3479,25,0,0
24,神聖牧師,神聖牧師,神聖牧師,3479,26,0,0
25,暗影牧師,暗影牧師,暗影牧師,3479,27,0,0
26,刺殺盜賊,刺殺盜賊,刺殺盜賊,3481,28,0,0
27,戰鬥盜賊,戰鬥盜賊,戰鬥盜賊,3481,29,0,0
28,敏銳盜賊,敏銳盜賊,敏銳盜賊,3481,30,0,0
29,元素薩滿,元素薩滿,元素薩滿,3484,31,0,0
30,增強薩滿,增強薩滿,增強薩滿,3484,32,0,0
31,恢復薩滿,恢復薩滿,恢復薩滿,3484,33,0,0
32,痛苦術士,痛苦術士,痛苦術士,3483,34,0,0
33,惡魔學識術士,惡魔學識術士,惡魔學識術士,3483,35,0,0
34,毀滅術士,毀滅術士,毀滅術士,3483,36,0,0
35,武器戰士,武器戰士,武器戰士,3478,37,0,0
37,狂怒戰士,狂怒戰士,狂怒戰士,3478,38,0,0
38,防護戰士,防護戰士,防護戰士,3478,39,0,0
53,運輸艦,運輸艦,運輸艦,4597,0,0,0
54,驅逐艦,驅逐艦,驅逐艦,4620,0,0,0
55,航空母艦,航空母艦,航空母艦,4838,0,0,0
56,戰艦,戰艦,戰艦,4601,0,0,0
57,潛水艇,潛水艇,潛水艇,4609,0,0,0
58,運輸艦,運輸艦,運輸艦,4597,0,0,0
59,驅逐艦,驅逐艦,驅逐艦,4568,0,0,0
60,航空母艦,航空母艦,航空母艦,4842,0,0,0
61,戰艦,戰艦,戰艦,4601,0,0,0
62,潛水艇,潛水艇,潛水艇,4605,0,0,0
63,災虐惡魔獵人,災虐惡魔獵人,災虐惡魔獵人,5939,0,0,0
64,復仇惡魔獵人,復仇惡魔獵人,復仇惡魔獵人,5940,0,0,0
65,赤吉弟子,赤吉弟子,赤吉弟子,3480,0,4,3
66,雪怒弟子,雪怒弟子,雪怒弟子,3480,0,2,3
67,怒兆弟子,怒兆弟子,怒兆弟子,3480,0,3,3
68,釀酒武僧,釀酒武僧,釀酒武僧,5951,0,0,0
69,織霧武僧,織霧武僧,織霧武僧,5952,0,0,0
70,御風武僧,御風武僧,御風武僧,5953,0,0,0
72,秘法師,秘法師,秘法師,3482,0,2,3
73,元素生物,元素生物,元素生物,3482,0,3,3
74,法師C部隊,法師C部隊,法師C部隊,3482,0,4,3
75,復活大軍,復活大軍,復活大軍,3487,0,3,3
76,黯刃士兵,黯刃士兵,黯刃士兵,3487,0,2,3
77,憎惡體,憎惡體,憎惡體,3487,0,1,3
79,破碎者,破碎者,破碎者,5940,0,3,3
80,伊利達瑞戰士,伊利達瑞戰士,伊利達瑞戰士,5940,0,2,3
81,林中之友,林中之友,林中之友,3485,0,3,3
82,林地看守者,林地看守者,林地看守者,3485,0,2,3
84,獵人C部隊,獵人C部隊,獵人C部隊,3477,0,4,3
85,護林者,護林者,護林者,3477,0,2,3
86,弓箭手,弓箭手,弓箭手,3477,0,3,3
87,白銀之手新兵,白銀之手新兵,白銀之手新兵,3486,0,3,3
88,白銀之手軍官,白銀之手軍官,白銀之手軍官,3486,0,2,3
89,聖騎士C部隊,聖騎士C部隊,聖騎士C部隊,3486,0,4,3
90,牧師C部隊,牧師C部隊,牧師C部隊,3479,0,4,3
91,侍僧,侍僧,侍僧,3479,0,3,3
92,狂熱者,狂熱者,狂熱者,3479,0,2,3
93,盜匪,盜匪,盜匪,3481,0,3,3
94,海盜,海盜,海盜,3481,0,2,3
95,盜賊C部隊,盜賊C部隊,盜賊C部隊,3481,0,4,3
96,戰爭古樹,戰爭古樹,戰爭古樹,3485,0,1,3
97,元素生物,元素生物,元素生物,3484,0,3,3
98,喚地者,喚地者,喚地者,3484,0,2,3
99,華爾拉亞,華爾拉亞,華爾拉亞,3478,0,3,3
100,女盾侍,女盾侍,女盾侍,3478,0,2,3
101,戰士C部隊,戰士C部隊,戰士C部隊,3478,0,4,3
102,魔化部落,魔化部落,魔化部落,3483,0,3,3
