ID,Name_lang,Description_lang,IconFileDataID,Category
1,狂野侵略,這個敵人行為無法預測，必須要控制他的侵略性。,136080,2
2,巨力打擊,這個能力可以製造大量傷害。,132355,2
3,集體傷害,這個能力可以同時對多個隊伍成員造成傷害。,135826,2
4,魔法減益,這個危險的有害效果應該被驅散。,136207,2
6,危險區域,這個能力會影響目標區域，必須要迴避或逃開。,451165,2
7,爪牙成群,這個敵人擁有大量盟友，但容易受到範圍傷害影響。,237511,2
8,強力法術,這個危險的法術應該被打斷。,136197,2
9,致命爪牙,這個敵人擁有強大的盟友，需要控場。,1035504,2
10,計時戰鬥,這個敵人必須要快速解決。,237538,2
11,獸人,不勝即亡！,897144,1
12,巨魔,你看什麼看。,236695,1
13,不死生物,腦子……,236458,1
14,阿拉卡,古老而危險的種族。,236435,1
15,野獸,吼！,298659,1
16,惡魔,末日近了。,254651,1
17,破源者,這種巨人來自德拉諾，不但巨大而且充滿破壞性。,236412,1
18,怒靈,德拉諾的元素生物。,254652,1
19,變異怪,虛空生物。,298680,1
20,源生者,原初德拉諾的遠古生物。,254105,1
21,山區,多山的地帶。,236848,0
22,沙漠,嚴酷乾燥的土地。,236846,0
23,雪地,寒冷的區域。,236833,0
24,地底,地下的黑暗之處。,409595,0
25,叢林,由許多植物和樹木覆蓋的區域。,236850,0
26,森林,充滿樹木的地方,236830,0
27,城鎮,小型的市區,462338,0
28,沼澤,你寧可不要去的噁心地方。,236819,0
29,平原,一片開放的平地，有著緩緩的綠色山丘。,236712,0
58,爐石戰記對戰桌,在爐邊找張椅子坐吧！,4620678,0
60,鍊金術,這個任務需要鍊金術專業技能。,4620669,0
61,鍛造,這個任務需要鍛造專業技能。,4620670,0
62,附魔,這個任務需要附魔專業技能。,4620672,0
63,工程學,這個任務需要工程學專業技能。,136243,0
64,珠寶設計,這個任務需要珠寶設計專業技能。,4620677,0
65,製皮,這個任務需要製皮專業技能。,133611,0
66,裁縫,這個任務需要裁縫專業技能。,4620681,0
67,銘文學,這個任務需要銘文學專業技能。,4620676,0
73,潛水艇,"潛水艇能在水中無聲前進，欺近毫無警覺的船艦。

|cffb2f0ff反制它需要：|r
|TInterface\ICONS\Ships_ABILITY_DepthCharges.blp:24:24:0:0|t|cffffffff驅逐艦|r",1141396,2
74,航空母艦,"航空母艦上配有一支精良的轟炸機中隊。

|cffb2f0ff反制它需要：|r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t|cffffffff潛水艇|r",1141394,2
75,驅逐艦,"驅逐艦速度快又擁有厚重裝甲，專門用來獵殺潛水艇。

|cffb2f0ff反制它需要：|r
|TInterface\ICONS\Ships_ABILITY_ArmorPiercingAmmo.blp:24:24:0:0|t|cffffffff戰艦|r",1141395,2
76,戰艦,"戰艦的大口徑長程火砲在開放水域中是最具有威脅性的船艦。

|cffb2f0ff反制它需要：|r
|TInterface\ICONS\Ships_ABILITY_Bombers.blp:24:24:0:0|t|cffffffff航空母艦|r",1141390,2
77,結冰海域,巨大的冰山浮在海洋表面。穿梭在寒冰構成的迷宮之間，會讓船艦暴露在容易遭受攻擊的危險。,236794,2
78,狂風暴雨,在狂風暴雨的惡劣氣候中航行只需要注意三件事情：強風、巨浪，以及閃電。,463562,2
79,濃霧,濃霧徹底籠罩了這個地方。,132331,2
